代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600517.SH,置信电气,2003-10-10,N/A,0.6182,0.6659,0.6137,0.6398,14224031,181301833,N/A,N/A,12.7462,56.8961,318250000,N/A,1016235900,25000000,0,79830000,58.8649,13.5567,7.463,-565.5292,
600517.SH,置信电气,2003-10-13,0.6398,0.6298,0.681,0.6182,0.6579,9337366,121383055,0.0181,2.828,12.9997,37.3495,327250000,N/A,1044974700,25000000,0,79830000,60.5296,13.9401,7.6741,-581.5222,
600517.SH,置信电气,2003-10-14,0.6579,0.6529,0.6594,0.6358,0.6484,3655739,47146905,-0.0095,-1.4515,12.8967,14.623,322500000,N/A,1029807000,25000000,0,79830000,59.651,13.7377,7.5627,-573.0814,
600517.SH,置信电气,2003-10-15,0.6484,0.6453,0.6584,0.6338,0.6343,2525935,32481209,-0.0141,-2.1705,12.8591,10.1037,315500000,N/A,1007454600,25000000,0,79830000,58.3563,13.4395,7.3985,-560.6425,
600517.SH,置信电气,2003-10-16,0.6343,0.6343,0.6398,0.6122,0.6147,3232616,40066842,-0.0196,-3.0903,12.3946,12.9305,305750000,N/A,976320900,25000000,0,79830000,56.5529,13.0242,7.1699,-543.3167,
600517.SH,置信电气,2003-10-17,0.6147,0.6132,0.6328,0.6107,0.6237,2478077,30852003,0.009,1.4718,12.45,9.9123,310250000,N/A,990690300,25000000,0,79830000,57.3852,13.2159,7.2754,-551.3132,
600517.SH,置信电气,2003-10-20,0.6237,0.6237,0.6252,0.6031,0.6066,1403620,17136686,-0.0171,-2.7397,12.2089,5.6145,301750000,N/A,963548100,25000000,0,79830000,55.813,12.8538,7.0761,-536.2087,
600517.SH,置信电气,2003-10-21,0.6066,0.6031,0.6081,0.5845,0.5971,1928766,22783710,-0.0095,-1.5742,11.8126,7.7151,297000000,N/A,948380400,25000000,0,79830000,54.9344,12.6515,6.9647,-527.768,
600517.SH,置信电气,2003-10-22,0.5971,0.5956,0.6272,0.5926,0.6162,2844016,34772382,0.0191,3.1987,12.2265,11.3761,306500000,N/A,978715800,25000000,0,79830000,56.6916,13.0562,7.1875,-544.6495,
600517.SH,置信电气,2003-10-23,0.6162,0.6167,0.6433,0.6167,0.6197,2477926,31006760,0.0035,0.571,12.5132,9.9117,308250000,N/A,984303900,25000000,0,79830000,57.0153,13.1307,7.2285,-547.7592,
600517.SH,置信电气,2003-10-24,0.6197,0.6127,0.6247,0.5981,0.6021,1093753,13347208,-0.0176,-2.8386,12.2031,4.375,299500000,N/A,956363400,25000000,0,79830000,55.3968,12.758,7.0233,-532.2105,
600517.SH,置信电气,2003-10-27,0.6021,0.5996,0.6071,0.5735,0.5825,1957156,22766839,-0.0196,-3.2554,11.6326,7.8286,289750000,N/A,925229700,25000000,0,79830000,53.5934,12.3426,6.7947,-514.8848,
600517.SH,置信电气,2003-10-28,0.5825,0.579,0.5901,0.5705,0.579,862814,9926896,-0.0035,-0.604,11.5053,3.4513,288000000,N/A,919641600,25000000,0,79830000,53.2697,12.2681,6.7536,-511.775,
600517.SH,置信电气,2003-10-29,0.579,0.5755,0.585,0.5212,0.5267,2351465,25421437,-0.0523,-9.0278,10.8109,9.4059,262000000,N/A,836618400,25000000,0,79830000,48.4607,11.1606,6.1439,-465.5731,
600517.SH,置信电气,2003-10-30,0.5267,0.5267,0.5398,0.5217,0.5312,961928,10131308,0.0045,0.8588,10.5323,3.8477,264250000,N/A,843803100,25000000,0,79830000,48.8768,11.2564,6.1967,-469.5714,
600517.SH,置信电气,2003-10-31,0.5312,0.5323,0.5478,0.5237,0.5338,961269,10291466,0.0025,0.473,10.7061,3.8451,265500000,N/A,847794600,25000000,0,79830000,49.108,11.3097,6.226,-471.7926,
600517.SH,置信电气,2003-11-03,0.5338,0.5338,0.5338,0.5132,0.5277,982068,10212209,-0.006,-1.1299,10.3987,3.9283,262500000,N/A,838215000,25000000,0,79830000,48.5531,11.1819,6.1557,-466.4616,
600517.SH,置信电气,2003-11-04,0.5277,0.5302,0.5463,0.5252,0.5383,1360763,14536933,0.0106,2,10.6829,5.4431,267750000,N/A,854979300,25000000,0,79830000,49.5242,11.4055,6.2788,-475.7909,
600517.SH,置信电气,2003-11-05,0.5383,0.5368,0.5398,0.5172,0.5187,1004024,10532512,-0.0196,-3.6415,10.4903,4.0161,258000000,N/A,823845600,25000000,0,79830000,47.7208,10.9902,6.0501,-458.4651,
600517.SH,置信电气,2003-11-06,0.5187,0.5167,0.5187,0.4915,0.4925,1668710,16667486,-0.0261,-5.0388,9.9882,6.6748,245000000,N/A,782334000,25000000,0,79830000,45.3163,10.4364,5.7453,-435.3642,
600517.SH,置信电气,2003-11-07,0.4925,0.49,0.492,0.4584,0.4709,1496188,14103934,-0.0216,-4.3878,9.4266,5.9848,234250000,N/A,748007100,25000000,0,79830000,43.3279,9.9785,5.4932,-416.2615,
600517.SH,置信电气,2003-11-10,0.4709,0.4699,0.479,0.4634,0.475,413611,3877332,0.004,0.8538,9.3743,1.6544,236250000,N/A,754393500,25000000,0,79830000,43.6978,10.0637,5.5401,-419.8155,
600517.SH,置信电气,2003-11-11,0.475,0.4775,0.4875,0.4704,0.4775,445745,4231735,0.0025,0.5291,9.4936,1.783,237500000,N/A,758385000,25000000,0,79830000,43.929,10.1169,5.5694,-422.0367,
600517.SH,置信电气,2003-11-12,0.4775,0.474,0.475,0.4528,0.4533,793276,7261693,-0.0241,-5.0526,9.1541,3.1731,225500000,N/A,720066600,25000000,0,79830000,41.7095,9.6058,5.288,-400.7127,
600517.SH,置信电气,2003-11-13,0.4533,0.4473,0.4599,0.4453,0.4569,569362,5140298,0.0035,0.7761,9.0282,2.2774,227250000,N/A,725654700,25000000,0,79830000,42.0331,9.6803,5.329,-403.8225,
600517.SH,置信电气,2003-11-14,0.4569,0.4579,0.4624,0.4488,0.4594,348640,3170190,0.0025,0.5501,9.093,1.3946,228500000,N/A,729646200,25000000,0,79830000,42.2644,9.7335,5.3584,-406.0437,
600517.SH,置信电气,2003-11-17,0.4594,0.4619,0.4619,0.4528,0.4579,219720,1994177,-0.0015,-0.3282,9.076,0.8789,227750000,N/A,727251300,25000000,0,79830000,42.1256,9.7016,5.3408,-404.711,
600517.SH,置信电气,2003-11-18,0.4579,0.4538,0.4554,0.4423,0.4448,401302,3592843,-0.0131,-2.854,8.953,1.6052,221250000,N/A,706495500,25000000,0,79830000,40.9234,9.4247,5.1883,-393.1605,
600517.SH,置信电气,2003-11-19,0.4448,0.4423,0.4649,0.4408,0.4619,763137,6946026,0.0171,3.8418,9.1019,3.0525,229750000,N/A,733637700,25000000,0,79830000,42.4956,9.7868,5.3877,-408.265,
600517.SH,置信电气,2003-11-20,0.4619,0.4579,0.4915,0.4579,0.4895,2195149,21029299,0.0276,5.9848,9.5799,8.7806,243500000,N/A,777544200,25000000,0,79830000,45.0388,10.3725,5.7101,-432.6987,
600517.SH,置信电气,2003-11-21,0.4895,0.4875,0.4925,0.4649,0.4694,1282352,12216490,-0.0201,-4.1068,9.5266,5.1294,233500000,N/A,745612200,25000000,0,79830000,43.1892,9.9465,5.4756,-414.9287,
600517.SH,置信电气,2003-11-24,0.4694,0.4714,0.5162,0.4699,0.5162,1748567,17291947,0.0467,9.9572,9.8892,6.9943,256750000,N/A,819854100,25000000,0,79830000,47.4896,10.9369,6.0208,-456.2439,
600517.SH,置信电气,2003-11-25,0.5162,0.5302,0.5503,0.5177,0.5197,4337360,46031249,0.0035,0.6816,10.6127,17.3494,258500000,N/A,825442200,25000000,0,79830000,47.8133,11.0115,6.0619,-459.3536,
600517.SH,置信电气,2003-11-26,0.5197,0.5127,0.5267,0.5076,0.5157,1245761,12808044,-0.004,-0.7737,10.2813,4.983,256500000,N/A,819055800,25000000,0,79830000,47.4434,10.9263,6.015,-455.7997,
600517.SH,置信电气,2003-11-27,0.5157,0.5157,0.5579,0.5127,0.5333,3131555,33536406,0.0176,3.4113,10.7092,12.5262,265250000,N/A,846996300,25000000,0,79830000,49.0618,11.299,6.2201,-471.3484,
600517.SH,置信电气,2003-11-28,0.5333,0.5328,0.5413,0.5252,0.5302,1456678,15421067,-0.003,-0.5655,10.5865,5.8267,263750000,N/A,842206500,25000000,0,79830000,48.7843,11.2351,6.185,-468.6829,
600517.SH,置信电气,2003-12-01,0.5302,0.5292,0.5473,0.5292,0.5403,1306275,14028369,0.0101,1.8957,10.7392,5.2251,268750000,N/A,858172500,25000000,0,79830000,49.7092,11.4481,6.3022,-477.5678,
600517.SH,置信电气,2003-12-02,0.5403,0.5413,0.5473,0.5328,0.5343,1292089,13851241,-0.006,-1.1163,10.72,5.1684,265750000,N/A,848592900,25000000,0,79830000,49.1543,11.3203,6.2319,-472.2368,
600517.SH,置信电气,2003-12-03,0.5343,0.5328,0.5453,0.5247,0.5343,1305272,13888749,0,0,10.6405,5.2211,265750000,N/A,848592900,25000000,0,79830000,49.1543,11.3203,6.2319,-472.2368,
600517.SH,置信电气,2003-12-04,0.5343,0.5368,0.5564,0.5282,0.5529,2208100,23962461,0.0186,3.4807,10.8521,8.8324,275000000,N/A,878130000,25000000,0,79830000,50.8652,11.7143,6.4488,-488.6741,
600517.SH,置信电气,2003-12-05,0.5529,0.5564,0.5569,0.5403,0.5423,933542,10113563,-0.0106,-1.9091,10.8335,3.7342,269750000,N/A,861365700,25000000,0,79830000,49.8941,11.4907,6.3257,-479.3448,
600517.SH,置信电气,2003-12-08,0.5423,0.5418,0.5463,0.5237,0.5267,928692,9829516,-0.0156,-2.873,10.5843,3.7148,262000000,N/A,836618400,25000000,0,79830000,48.4607,11.1606,6.1439,-465.5731,
600517.SH,置信电气,2003-12-09,0.5267,0.5267,0.5323,0.5227,0.5317,389219,4086069,0.005,0.9542,10.4981,1.5569,264500000,N/A,844601400,25000000,0,79830000,48.9231,11.2671,6.2026,-470.0156,
600517.SH,置信电气,2003-12-10,0.5317,0.5317,0.5368,0.5237,0.5368,872655,9236804,0.005,0.9452,10.5847,3.4906,267000000,N/A,852584400,25000000,0,79830000,49.3855,11.3736,6.2612,-474.4581,
600517.SH,置信电气,2003-12-11,0.5368,0.5383,0.5493,0.5383,0.5413,1100874,11895578,0.0045,0.8427,10.8056,4.4035,269250000,N/A,859769100,25000000,0,79830000,49.8017,11.4694,6.3139,-478.4564,
600517.SH,置信电气,2003-12-12,0.5413,0.5403,0.5403,0.5302,0.5353,435971,4631374,-0.006,-1.1142,10.6231,1.7439,266250000,N/A,850189500,25000000,0,79830000,49.2468,11.3416,6.2436,-473.1254,
600517.SH,置信电气,2003-12-15,0.5353,0.5328,0.5403,0.5302,0.5323,331900,3522688,-0.003,-0.5634,10.6137,1.3276,264750000,N/A,845399700,25000000,0,79830000,48.9693,11.2777,6.2084,-470.4599,
600517.SH,置信电气,2003-12-16,0.5323,0.5302,0.5378,0.5127,0.5312,825751,8590450,-0.001,-0.1889,10.4032,3.303,264250000,N/A,843803100,25000000,0,79830000,48.8768,11.2564,6.1967,-469.5714,
600517.SH,置信电气,2003-12-17,0.5312,0.5302,0.5373,0.5177,0.5212,636391,6707273,-0.0101,-1.8921,10.5395,2.5456,259250000,N/A,827837100,25000000,0,79830000,47.952,11.0434,6.0794,-460.6864,
600517.SH,置信电气,2003-12-18,0.5212,0.5177,0.5212,0.5026,0.5046,939206,9542102,-0.0166,-3.1823,10.1598,3.7568,251000000,N/A,801493200,25000000,0,79830000,46.4261,10.692,5.886,-446.0262,
600517.SH,置信电气,2003-12-19,0.5046,0.5016,0.5096,0.4649,0.4805,1420200,13683087,-0.0241,-4.7809,9.6346,5.6808,239000000,N/A,763174800,25000000,0,79830000,44.2065,10.1808,5.6046,-424.7022,
600517.SH,置信电气,2003-12-22,0.4805,0.48,0.4981,0.4659,0.4951,926036,8844956,0.0146,3.0335,9.5514,3.7041,246250000,N/A,786325500,25000000,0,79830000,45.5475,10.4897,5.7746,-437.5854,
600517.SH,置信电气,2003-12-23,0.4951,0.4946,0.4976,0.488,0.491,705454,6914091,-0.004,-0.8122,9.8009,2.8218,244250000,N/A,779939100,25000000,0,79830000,45.1775,10.4045,5.7277,-434.0314,
600517.SH,置信电气,2003-12-24,0.491,0.492,0.5021,0.4825,0.5006,621346,6082914,0.0095,1.9447,9.7899,2.4854,249000000,N/A,795106800,25000000,0,79830000,46.0561,10.6068,5.8391,-442.4722,
600517.SH,置信电气,2003-12-25,0.5006,0.5011,0.5418,0.4951,0.5222,1865012,19347858,0.0216,4.3173,10.3741,7.46,259750000,N/A,829433700,25000000,0,79830000,48.0445,11.0647,6.0912,-461.5749,
600517.SH,置信电气,2003-12-26,0.5222,0.5177,0.5519,0.5177,0.5388,1972233,21187450,0.0166,3.1761,10.7429,7.8889,268000000,N/A,855777600,25000000,0,79830000,49.5704,11.4162,6.2846,-476.2351,
