代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600228.SH,昌九生化,1999-01-19,N/A,3.3108,3.4353,3.2186,3.3108,31929900,229939018,N/A,N/A,7.2014,59.1294,387720000,N/A,1292400000,54000000,0,180000000,42.292,6.851,3.7212,227.2823,
600228.SH,昌九生化,1999-01-20,3.3108,3.2601,3.2878,3.1402,3.1817,10161700,70620457,-0.1291,-3.8997,6.9497,18.818,372600000,N/A,1242000000,54000000,0,180000000,40.6427,6.5838,3.576,218.4189,
600228.SH,昌九生化,1999-01-21,3.1817,3.1633,3.2048,3.1033,3.1909,4445900,30253042,0.0092,0.2899,6.8047,8.2331,373680000,N/A,1245600000,54000000,0,180000000,40.7605,6.6029,3.5864,219.052,
600228.SH,昌九生化,1999-01-22,3.1909,3.2048,3.2186,3.1356,3.1494,2391300,16450756,-0.0415,-1.3006,6.8794,4.4283,368820000,N/A,1229400000,54000000,0,180000000,40.2304,6.517,3.5398,216.2031,
600228.SH,昌九生化,1999-01-25,3.1494,3.1448,3.154,3.071,3.0803,2416800,16251158,-0.0692,-2.1962,6.7242,4.4756,360720000,N/A,1202400000,54000000,0,180000000,39.3469,6.3739,3.462,211.4549,
600228.SH,昌九生化,1999-01-26,3.0803,3.071,3.1264,3.0526,3.0895,1879900,12565735,0.0092,0.2994,6.6843,3.4813,361800000,N/A,1206000000,54000000,0,180000000,39.4647,6.393,3.4724,212.088,
600228.SH,昌九生化,1999-01-27,3.0895,3.0895,3.1079,3.0342,3.0664,2081500,13841544,-0.0231,-0.7463,6.6498,3.8546,359100000,N/A,1197000000,54000000,0,180000000,39.1701,6.3453,3.4465,210.5052,
600228.SH,昌九生化,1999-01-28,3.0664,3.071,3.0757,2.9419,2.9465,2716500,17656058,-0.1199,-3.9098,6.4996,5.0306,345060000,N/A,1150200000,54000000,0,180000000,37.6387,6.0972,3.3117,202.2749,
600228.SH,昌九生化,1999-01-29,2.9465,2.9465,3.0342,2.905,2.988,2178900,14048658,0.0415,1.4085,6.4476,4.035,349920000,N/A,1166400000,54000000,0,180000000,38.1688,6.1831,3.3584,205.1239,
600228.SH,昌九生化,1999-02-01,2.988,2.9696,3.0526,2.9143,3.0019,1532000,9941395,0.0138,0.463,6.4892,2.837,351540000,N/A,1171800000,54000000,0,180000000,38.3455,6.2117,3.3739,206.0735,
600228.SH,昌九生化,1999-02-02,3.0019,3.0019,3.0065,2.9419,2.9696,708300,4553494,-0.0323,-1.0753,6.4288,1.3117,347760000,N/A,1159200000,54000000,0,180000000,37.9332,6.1449,3.3376,203.8577,
600228.SH,昌九生化,1999-02-03,2.9696,2.9558,2.9558,2.8543,2.8635,1541500,9671119,-0.1061,-3.5714,6.2738,2.8546,335340000,N/A,1117800000,54000000,0,180000000,36.5784,5.9255,3.2184,196.5771,
600228.SH,昌九生化,1999-02-04,2.8635,2.8635,2.882,2.822,2.822,1123400,6939208,-0.0415,-1.4493,6.177,2.0804,330480000,N/A,1101600000,54000000,0,180000000,36.0483,5.8396,3.1718,193.7281,
600228.SH,昌九生化,1999-02-05,2.822,2.7898,2.8589,2.7898,2.8082,1241900,7604550,-0.0138,-0.4902,6.1233,2.2998,328860000,N/A,1096200000,54000000,0,180000000,35.8716,5.811,3.1562,192.7785,
600228.SH,昌九生化,1999-02-08,2.8082,2.7944,2.8774,2.7805,2.8082,858500,5271426,0,0,6.1403,1.5898,328860000,N/A,1096200000,54000000,0,180000000,35.8716,5.811,3.1562,192.7785,
600228.SH,昌九生化,1999-02-09,2.8082,2.8174,2.882,2.8174,2.8589,879300,5446334,0.0507,1.8062,6.1939,1.6283,334800000,N/A,1116000000,54000000,0,180000000,36.5195,5.9159,3.2133,196.2605,
600228.SH,昌九生化,1999-03-01,2.8589,2.8774,2.9235,2.8128,2.8958,642800,3995891,0.0369,1.2903,6.2164,1.1904,339120000,N/A,1130400000,54000000,0,180000000,36.9908,5.9922,3.2547,198.7929,
600228.SH,昌九生化,1999-03-02,2.8958,2.8958,2.9696,2.8589,2.9512,1129500,7167588,0.0553,1.9108,6.3458,2.0917,345600000,N/A,1152000000,54000000,0,180000000,37.6976,6.1067,3.3169,202.5915,
600228.SH,昌九生化,1999-03-03,2.9512,2.9465,3.0019,2.9281,2.9927,1576700,10126651,0.0415,1.4062,6.4227,2.9198,350460000,N/A,1168200000,54000000,0,180000000,38.2277,6.1926,3.3636,205.4404,
600228.SH,昌九生化,1999-03-04,2.9927,2.988,3.0157,2.9097,2.9281,1071200,6868514,-0.0646,-2.1572,6.412,1.9837,342900000,N/A,1143000000,54000000,0,180000000,37.4031,6.059,3.291,201.0087,
600228.SH,昌九生化,1999-03-05,2.9281,2.9143,3.0342,2.9097,3.0342,1465100,9491339,0.1061,3.622,6.4783,2.7131,355320000,N/A,1184400000,54000000,0,180000000,38.7578,6.2785,3.4102,208.2894,
600228.SH,昌九生化,1999-03-08,3.0342,3.0434,3.1172,3.0203,3.0849,2956900,19772025,0.0507,1.6717,6.6867,5.4757,361260000,N/A,1204200000,54000000,0,180000000,39.4058,6.3835,3.4672,211.7714,
600228.SH,昌九生化,1999-03-09,3.0849,3.1033,3.1033,3.0111,3.0203,1412100,9299515,-0.0646,-2.0927,6.5856,2.615,353700000,N/A,1179000000,54000000,0,180000000,38.5811,6.2499,3.3946,207.3397,
600228.SH,昌九生化,1999-03-10,3.0203,3.0111,3.1264,2.9927,3.048,1758800,11742563,0.0277,0.916,6.6765,3.257,356940000,N/A,1189800000,54000000,0,180000000,38.9345,6.3071,3.4257,209.239,
600228.SH,昌九生化,1999-03-11,3.048,3.048,3.1079,3.048,3.0941,1603600,10733094,0.0461,1.5129,6.6931,2.9696,362340000,N/A,1207800000,54000000,0,180000000,39.5236,6.4025,3.4776,212.4045,
600228.SH,昌九生化,1999-03-12,3.0941,3.0895,3.0987,3.0342,3.0664,1212900,8049010,-0.0277,-0.8942,6.6362,2.2461,359100000,N/A,1197000000,54000000,0,180000000,39.1701,6.3453,3.4465,210.5052,
600228.SH,昌九生化,1999-03-15,3.0664,3.071,3.1955,3.0434,3.1218,2673500,18194853,0.0553,1.8045,6.8056,4.9509,365580000,N/A,1218600000,54000000,0,180000000,39.877,6.4598,3.5087,214.3038,
600228.SH,昌九生化,1999-03-16,3.1218,3.1125,3.2048,3.0895,3.1679,2321000,15913923,0.0461,1.4771,6.8565,4.2981,370980000,N/A,1236600000,54000000,0,180000000,40.466,6.5552,3.5605,217.4693,
600228.SH,昌九生化,1999-03-17,3.1679,3.1679,3.1817,3.0803,3.0803,1526900,10373672,-0.0876,-2.7656,6.7939,2.8276,360720000,N/A,1202400000,54000000,0,180000000,39.3469,6.3739,3.462,211.4549,
600228.SH,昌九生化,1999-03-18,3.0803,3.0664,3.1033,3.0295,3.048,1191500,7886477,-0.0323,-1.0479,6.6189,2.2065,356940000,N/A,1189800000,54000000,0,180000000,38.9345,6.3071,3.4257,209.239,
600228.SH,昌九生化,1999-03-19,3.048,3.048,3.1356,3.0019,3.1356,1217700,8129209,0.0876,2.8744,6.6759,2.0295,408000000,N/A,1224000000,60000000,0,180000000,40.0537,6.4884,3.5242,215.2534,
600228.SH,昌九生化,1999-03-22,3.1356,3.1633,3.2647,3.1172,3.2324,4200900,29166750,0.0968,3.0882,6.943,7.0015,420600000,N/A,1261800000,60000000,0,180000000,41.2906,6.6888,3.6331,221.901,
600228.SH,昌九生化,1999-03-23,3.2324,3.2278,3.2509,3.1725,3.2094,1751000,12142913,-0.0231,-0.7133,6.9348,2.9183,417600000,N/A,1252800000,60000000,0,180000000,40.9961,6.6411,3.6071,220.3182,
600228.SH,昌九生化,1999-03-24,3.2094,3.2094,3.2463,3.1725,3.1863,1592200,11050760,-0.0231,-0.7184,6.9406,2.6537,414600000,N/A,1243800000,60000000,0,180000000,40.7016,6.5934,3.5812,218.7355,
600228.SH,昌九生化,1999-03-25,3.1863,3.1356,3.1771,3.0803,3.0895,1316900,8910788,-0.0968,-3.0391,6.7665,2.1948,402000000,N/A,1206000000,60000000,0,180000000,39.4647,6.393,3.4724,212.088,
600228.SH,昌九生化,1999-03-26,3.0895,3.071,3.1264,3.0618,3.0941,1066800,7139198,0.0046,0.1493,6.6922,1.778,402600000,N/A,1207800000,60000000,0,180000000,39.5236,6.4025,3.4776,212.4045,
600228.SH,昌九生化,1999-03-29,3.0941,3.071,3.154,3.0664,3.1356,766800,5188531,0.0415,1.3413,6.7665,1.278,408000000,N/A,1224000000,60000000,0,180000000,40.0537,6.4884,3.5242,215.2534,
600228.SH,昌九生化,1999-03-30,3.1356,3.1356,3.1356,3.0434,3.0572,668700,4479105,-0.0784,-2.5,6.6982,1.1145,397800000,N/A,1193400000,60000000,0,180000000,39.0523,6.3262,3.4361,209.8721,
600228.SH,昌九生化,1999-03-31,3.0572,3.0342,3.1587,3.0019,3.0987,901600,6099281,0.0415,1.3575,6.765,1.5027,403200000,N/A,1209600000,60000000,0,180000000,39.5825,6.4121,3.4828,212.7211,
600228.SH,昌九生化,1999-04-01,3.0987,3.1079,3.1448,3.0849,3.0987,835600,5631654,0,0,6.7397,1.3927,403200000,N/A,1209600000,60000000,0,180000000,39.5825,6.4121,3.4828,212.7211,
600228.SH,昌九生化,1999-04-02,3.0987,3.1079,3.4077,3.1079,3.4077,8151800,59135212,0.3089,9.9702,7.2543,13.5863,443400000,N/A,1330200000,60000000,0,180000000,43.5289,7.0514,3.83,233.9299,
