代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600061.SH,国投安信,1997-05-19,N/A,2.9368,3.0067,2.4788,2.5872,13100000,196512840,N/A,N/A,15.001,48.5185,399600000,N/A,1628000000,27000000,0,110000000,52.6463,13.8127,3.973,N/A,
600061.SH,国投安信,1997-05-20,2.5872,2.5662,2.5697,2.4788,2.4997,3894400,55877774,-0.0874,-3.3784,14.3482,14.4237,386100000,N/A,1573000000,27000000,0,110000000,50.8677,13.3461,3.8388,N/A,
600061.SH,国投安信,1997-05-21,2.4997,2.5085,2.6571,2.4491,2.5347,4330300,63495314,0.035,1.3986,14.663,16.0381,391500000,N/A,1595000000,27000000,0,110000000,51.5792,13.5328,3.8925,N/A,
600061.SH,国投安信,1997-05-22,2.5347,2.3022,2.4123,2.2812,2.2812,1744700,23008257,-0.2535,-10,13.1875,6.4619,352350000,N/A,1435500000,27000000,0,110000000,46.4212,12.1795,3.5032,N/A,
600061.SH,国投安信,1997-05-23,2.2812,2.1851,2.3249,2.1676,2.2515,2419700,31082548,-0.0297,-1.3027,12.8456,8.9619,347760000,N/A,1416800000,27000000,0,110000000,45.8165,12.0208,3.4576,N/A,
600061.SH,国投安信,1997-05-26,2.2515,2.2865,2.3075,2.0767,2.1624,1820400,22460793,-0.0892,-3.9596,12.3384,6.7422,333990000,N/A,1360700000,27000000,0,110000000,44.0024,11.5448,3.3207,N/A,
600061.SH,国投安信,1997-05-27,2.1624,2.1851,2.2445,2.1344,2.2061,1551800,19500559,0.0437,2.021,12.5664,5.7474,340740000,N/A,1388200000,27000000,0,110000000,44.8917,11.7782,3.3878,N/A,
600061.SH,国投安信,1997-05-28,2.2061,2.2026,2.283,2.1327,2.2288,2007600,25332434,0.0227,1.0301,12.6183,7.4356,344250000,N/A,1402500000,27000000,0,110000000,45.3541,11.8995,3.4227,N/A,
600061.SH,国投安信,1997-05-29,2.2288,2.2201,2.3582,2.1694,2.1851,2377700,30924654,-0.0437,-1.9608,13.0061,8.8063,337500000,N/A,1375000000,27000000,0,110000000,44.4648,11.6662,3.3556,N/A,
600061.SH,国投安信,1997-05-30,2.1851,2.1938,2.2725,2.1764,2.2655,1314900,16700935,0.0804,3.68,12.7013,4.87,349920000,N/A,1425600000,27000000,0,110000000,46.1011,12.0955,3.4791,N/A,
600061.SH,国投安信,1997-06-02,2.2655,2.3337,2.4106,2.2812,2.4106,2133200,28546619,0.1451,6.4043,13.3821,7.9007,372330000,N/A,1516900000,27000000,0,110000000,49.0536,12.8701,3.7019,N/A,
600061.SH,国投安信,1997-06-03,2.4106,2.4036,2.4963,2.3616,2.3984,3052400,42422139,-0.0122,-0.5076,13.898,11.3052,370440000,N/A,1509200000,27000000,0,110000000,48.8046,12.8048,3.6831,N/A,
600061.SH,国投安信,1997-06-04,2.3984,2.4158,2.4386,2.3214,2.3424,1766600,23813043,-0.0559,-2.3324,13.4796,6.543,361800000,N/A,1474000000,27000000,0,110000000,47.6663,12.5061,3.5972,N/A,
600061.SH,国投安信,1997-06-05,2.3424,2.2812,2.3407,2.2725,2.29,1169700,15365242,-0.0524,-2.2388,13.1361,4.3322,353700000,N/A,1441000000,27000000,0,110000000,46.5991,12.2261,3.5166,N/A,
600061.SH,国投安信,1997-06-06,2.29,2.1292,2.1991,2.061,2.1047,1693800,20528598,-0.1853,-8.0916,12.1198,6.2733,325080000,N/A,1324400000,27000000,0,110000000,42.8285,11.2369,3.2321,N/A,
600061.SH,国投安信,1997-06-09,2.1047,2.0959,2.0977,1.9928,2.04,712000,8308971,-0.0647,-3.0731,11.6699,2.637,315090000,N/A,1283700000,27000000,0,110000000,41.5123,10.8915,3.1328,N/A,
600061.SH,国投安信,1997-06-10,2.04,2.0278,2.1064,1.9491,1.9543,635700,7418979,-0.0857,-4.1988,11.6706,2.3544,301860000,N/A,1229800000,27000000,0,110000000,39.7693,10.4342,3.0012,N/A,
600061.SH,国投安信,1997-06-11,1.9543,1.9543,2.0225,1.8879,2.0068,808100,9047406,0.0524,2.6834,11.1959,2.993,309960000,N/A,1262800000,27000000,0,110000000,40.8365,10.7142,3.0818,N/A,
600061.SH,国投安信,1997-06-12,2.0068,2.0225,2.1327,1.9543,2.0557,1654900,19603805,0.0489,2.439,11.8459,6.1293,317520000,N/A,1293600000,27000000,0,110000000,41.8325,10.9755,3.1569,N/A,
600061.SH,国投安信,1997-06-13,2.0557,1.9596,2.2131,1.9543,2.2043,2154300,26271785,0.1486,7.2279,12.195,7.9789,340470000,N/A,1387100000,27000000,0,110000000,44.8561,11.7688,3.3851,N/A,
600061.SH,国投安信,1997-06-16,2.2043,2.2026,2.2148,2.1152,2.1484,1325200,16393167,-0.0559,-2.5377,12.3703,4.9081,331830000,N/A,1351900000,27000000,0,110000000,43.7178,11.4702,3.2992,N/A,
600061.SH,国投安信,1997-06-17,2.1484,2.1414,2.1414,2.0592,2.068,746300,8911462,-0.0804,-3.7429,11.9409,2.7641,319410000,N/A,1301300000,27000000,0,110000000,42.0815,11.0409,3.1757,N/A,
600061.SH,国投安信,1997-06-18,2.068,2.0505,2.0942,1.9229,2.0103,738100,8536269,-0.0577,-2.7895,11.5652,2.7337,310500000,N/A,1265000000,27000000,0,110000000,40.9076,10.7329,3.0871,N/A,
600061.SH,国投安信,1997-06-19,2.0103,2.0103,2.0715,1.9788,2.0103,790700,9119812,0,0,11.5338,2.9285,310500000,N/A,1265000000,27000000,0,110000000,40.9076,10.7329,3.0871,N/A,
