´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
600217.SH,ÇØÁëË®Äà,1999-12-16,N/A,1.9921,2.0098,1.7597,1.7663,29381700,245362725,N/A,N/A,8.3509,46.6376,502740000,N/A,1647870000,63000000,0,206500000,33.1693,8.6481,7.1518,N/A,
600217.SH,ÇØÁëË®Äà,1999-12-17,1.7663,1.7442,1.7708,1.7309,1.7464,4808500,37863050,-0.0199,-1.1278,7.8742,7.6325,497070000,N/A,1629285000,63000000,0,206500000,32.7952,8.5505,7.0711,N/A,
600217.SH,ÇØÁëË®Äà,1999-12-21,1.7464,1.7265,1.7265,1.6623,1.6667,2937600,22314162,-0.0797,-4.5627,7.5961,4.6629,474390000,N/A,1554945000,63000000,0,206500000,31.2988,8.1604,6.7485,N/A,
600217.SH,ÇØÁëË®Äà,1999-12-22,1.6667,1.6601,1.7044,1.6512,1.6911,1503700,11404650,0.0243,1.4608,7.5844,2.3868,481320000,N/A,1577660000,63000000,0,206500000,31.756,8.2796,6.8471,N/A,
600217.SH,ÇØÁëË®Äà,1999-12-23,1.6911,1.6822,1.6822,1.6114,1.6158,1806152,13337690,-0.0753,-4.4503,7.3846,2.8669,459900000,N/A,1507450000,63000000,0,206500000,30.3428,7.9111,6.5424,N/A,
600217.SH,ÇØÁëË®Äà,1999-12-24,1.6158,1.6158,1.638,1.5937,1.5981,1036300,7510854,-0.0177,-1.0959,7.2478,1.6449,454860000,N/A,1490930000,63000000,0,206500000,30.0103,7.8244,6.4707,N/A,
600217.SH,ÇØÁëË®Äà,1999-12-27,1.5981,1.5981,1.6136,1.5716,1.587,899600,6449927,-0.0111,-0.6925,7.1698,1.4279,451710000,N/A,1480605000,63000000,0,206500000,29.8025,7.7702,6.4259,N/A,
600217.SH,ÇØÁëË®Äà,1999-12-28,1.587,1.5893,1.6557,1.5848,1.6003,1072600,7810887,0.0133,0.8368,7.2822,1.7025,455490000,N/A,1492995000,63000000,0,206500000,30.0519,7.8353,6.4796,N/A,
600217.SH,ÇØÁëË®Äà,1999-12-29,1.6003,1.607,1.6269,1.5826,1.6269,928300,6710146,0.0266,1.6598,7.2284,1.4735,463050000,N/A,1517775000,63000000,0,206500000,30.5506,7.9653,6.5872,N/A,
600217.SH,ÇØÁëË®Äà,1999-12-30,1.6269,1.6269,1.649,1.6048,1.618,795400,5856174,-0.0089,-0.5442,7.3626,1.2625,460530000,N/A,1509515000,63000000,0,206500000,30.3844,7.922,6.5513,N/A,
600217.SH,ÇØÁëË®Äà,2000-01-04,1.618,1.618,1.6712,1.5915,1.6512,1915200,14129877,0.0332,2.052,7.3778,3.04,469980000,N/A,1540490000,63000000,0,206500000,27.1423,2.5194,6.2019,5.0629,
600217.SH,ÇØÁëË®Äà,2000-01-05,1.6512,1.6579,1.6712,1.6269,1.6357,1839900,13732024,-0.0155,-0.9383,7.4635,2.9205,465570000,N/A,1526035000,63000000,0,206500000,26.8876,2.4958,6.1437,5.0154,
600217.SH,ÇØÁëË®Äà,2000-01-06,1.6357,1.6313,1.7176,1.6291,1.711,3346200,25523471,0.0753,4.6008,7.6276,5.3114,486990000,N/A,1596245000,63000000,0,206500000,28.1247,2.6106,6.4263,5.2461,
600217.SH,ÇØÁëË®Äà,2000-01-07,1.711,1.7442,1.7929,1.7243,1.7907,6940500,55113874,0.0797,4.6572,7.9409,11.0167,509670000,N/A,1670585000,63000000,0,206500000,29.4345,2.7322,6.7256,5.4904,
600217.SH,ÇØÁëË®Äà,2000-01-10,1.7907,1.815,1.8438,1.773,1.8438,7097000,58011651,0.0531,2.9666,8.1741,11.2651,524790000,N/A,1720145000,63000000,0,206500000,30.3077,2.8132,6.9252,5.6533,
600217.SH,ÇØÁëË®Äà,2000-01-11,1.8438,1.8438,1.8549,1.7287,1.7442,4115200,33284083,-0.0996,-5.4022,8.0881,6.5321,496440000,N/A,1627220000,63000000,0,206500000,28.6705,2.6613,6.551,5.3479,
600217.SH,ÇØÁëË®Äà,2000-01-12,1.7442,1.7287,1.7663,1.6933,1.6999,2021800,15708859,-0.0443,-2.5381,7.7697,3.2092,483840000,N/A,1585920000,63000000,0,206500000,27.9428,2.5937,6.3848,5.2122,
600217.SH,ÇØÁëË®Äà,2000-01-13,1.6999,1.6844,1.7265,1.6667,1.6867,1147500,8759154,-0.0133,-0.7812,7.6332,1.8214,480060000,N/A,1573530000,63000000,0,206500000,27.7245,2.5735,6.3349,5.1714,
600217.SH,ÇØÁëË®Äà,2000-01-14,1.6867,1.6933,1.6955,1.6335,1.6468,885900,6653661,-0.0398,-2.3622,7.5106,1.4062,468720000,N/A,1536360000,63000000,0,206500000,27.0696,2.5127,6.1853,5.0493,
600217.SH,ÇØÁëË®Äà,2000-01-17,1.6468,1.638,1.711,1.6335,1.7021,973700,7420692,0.0553,3.3602,7.6211,1.5456,484470000,N/A,1587985000,63000000,0,206500000,27.9792,2.5971,6.3931,5.219,
600217.SH,ÇØÁëË®Äà,2000-01-18,1.7021,1.7066,1.7199,1.6601,1.6844,842000,6439047,-0.0177,-1.0403,7.6473,1.3365,479430000,N/A,1571465000,63000000,0,206500000,27.6881,2.5701,6.3266,5.1647,
600217.SH,ÇØÁëË®Äà,2000-01-19,1.6844,1.6778,1.7265,1.6712,1.711,608000,4675127,0.0266,1.5769,7.6894,0.9651,486990000,N/A,1596245000,63000000,0,206500000,28.1247,2.6106,6.4263,5.2461,
600217.SH,ÇØÁëË®Äà,2000-01-20,1.711,1.711,1.7376,1.6844,1.7309,918300,7121723,0.0199,1.1643,7.7553,1.4576,492660000,N/A,1614830000,63000000,0,206500000,28.4521,2.641,6.5012,5.3072,
600217.SH,ÇØÁëË®Äà,2000-01-21,1.7309,1.7265,1.7376,1.68,1.6867,1321100,10118137,-0.0443,-2.5575,7.6589,2.097,480060000,N/A,1573530000,63000000,0,206500000,27.7245,2.5735,6.3349,5.1714,
600217.SH,ÇØÁëË®Äà,2000-01-24,1.6867,1.6999,1.7641,1.6955,1.7531,2122800,16719409,0.0664,3.937,7.8761,3.3695,498960000,N/A,1635480000,63000000,0,206500000,28.816,2.6748,6.5843,5.375,
600217.SH,ÇØÁëË®Äà,2000-01-25,1.7531,1.7641,1.815,1.7619,1.7708,2805900,22655869,0.0177,1.0101,8.0744,4.4538,504000000,N/A,1652000000,63000000,0,206500000,29.1071,2.7018,6.6508,5.4293,
600217.SH,ÇØÁëË®Äà,2000-01-26,1.7708,1.7663,1.7708,1.7376,1.7553,1007700,7967442,-0.0155,-0.875,7.9066,1.5995,499590000,N/A,1637545000,63000000,0,206500000,28.8524,2.6782,6.5926,5.3818,
600217.SH,ÇØÁëË®Äà,2000-01-27,1.7553,1.7575,1.8062,1.7575,1.7752,1781200,14290126,0.0199,1.1349,8.0228,2.8273,505260000,N/A,1656130000,63000000,0,206500000,29.1798,2.7086,6.6674,5.4429,
600217.SH,ÇØÁëË®Äà,2000-01-28,1.7752,1.7752,1.7885,1.7309,1.7663,1917200,15181500,-0.0089,-0.4988,7.9186,3.0432,502740000,N/A,1647870000,63000000,0,206500000,29.0343,2.695,6.6342,5.4158,
600217.SH,ÇØÁëË®Äà,2000-02-14,1.7663,1.815,1.9434,1.7929,1.9434,5869700,50270000,0.1771,10.0251,8.5643,9.317,553140000,N/A,1813070000,63000000,0,206500000,31.945,2.9652,7.2993,5.9587,
600217.SH,ÇØÁëË®Äà,2000-02-15,1.9434,1.9744,1.9899,1.8504,1.8593,6577400,57552886,-0.0841,-4.328,8.7501,10.4403,529200000,N/A,1734600000,63000000,0,206500000,30.5624,2.8369,6.9834,5.7008,
600217.SH,ÇØÁëË®Äà,2000-02-16,1.8593,1.8593,1.8969,1.8372,1.8659,3569400,30031114,0.0066,0.3571,8.4135,5.6657,531090000,N/A,1740795000,63000000,0,206500000,30.6716,2.847,7.0083,5.7212,
600217.SH,ÇØÁëË®Äà,2000-02-17,1.8659,1.8748,1.9567,1.7708,1.8062,3808300,31818186,-0.0598,-3.2028,8.355,6.0449,514080000,N/A,1685040000,63000000,0,206500000,29.6892,2.7558,6.7838,5.5379,
600217.SH,ÇØÁëË®Äà,2000-02-18,1.8062,1.7708,1.8261,1.6601,1.8261,5210800,40749115,0.0199,1.1029,7.8201,7.444,577500000,N/A,1703625000,70000000,0,206500000,30.0167,2.7862,6.8586,5.599,
600217.SH,ÇØÁëË®Äà,2000-02-21,1.8261,1.8172,1.8903,1.7818,1.8659,4278700,35559053,0.0398,2.1818,8.3107,6.1124,590100000,N/A,1740795000,70000000,0,206500000,30.6716,2.847,7.0083,5.7212,
600217.SH,ÇØÁëË®Äà,2000-02-22,1.8659,1.8814,1.9102,1.7818,1.804,2781600,23304276,-0.062,-3.3215,8.378,3.9737,570500000,N/A,1682975000,70000000,0,206500000,29.6528,2.7525,6.7755,5.5311,
600217.SH,ÇØÁëË®Äà,2000-02-23,1.804,1.7708,1.7951,1.7531,1.7818,1636200,13131166,-0.0221,-1.227,8.0254,2.3374,563500000,N/A,1662325000,70000000,0,206500000,29.289,2.7187,6.6924,5.4633,
600217.SH,ÇØÁëË®Äà,2000-02-24,1.7818,1.804,1.8062,1.7663,1.7885,1465900,11790474,0.0066,0.3727,8.0432,2.0941,565600000,N/A,1668520000,70000000,0,206500000,29.3981,2.7288,6.7173,5.4836,
600217.SH,ÇØÁëË®Äà,2000-02-25,1.7885,1.784,1.7885,1.7597,1.7708,1960700,15678579,-0.0177,-0.9901,7.9964,2.801,560000000,N/A,1652000000,70000000,0,206500000,29.1071,2.7018,6.6508,5.4293,
600217.SH,ÇØÁëË®Äà,2000-02-28,1.7708,1.7708,1.8372,1.7663,1.8106,1826800,14913949,0.0398,2.25,8.164,2.6097,572600000,N/A,1689170000,70000000,0,206500000,29.762,2.7626,6.8005,5.5515,
