¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
603609.SH,∫Ã∑·ƒ¡“µ,2014-08-08,N/A,4.6663,5.5983,4.6663,5.5983,277900,2349301,N/A,N/A,8.4538,0.3474,677600000,N/A,4693376461.62,80000000,0,554117646,26.9457,2.731,0.5505,56.0381,
603609.SH,∫Ã∑·ƒ¡“µ,2014-08-11,5.5983,6.1601,6.1601,6.1601,6.1601,110650,1031258,0.5618,10.0354,9.32,0.1383,745600000,N/A,5164376460.72,80000000,0,554117646,29.6499,3.005,0.6058,61.6618,
603609.SH,∫Ã∑·ƒ¡“µ,2014-08-12,6.1601,6.7748,6.7748,6.7748,6.7748,177937,1823854,0.6147,9.9785,10.25,0.2224,820000000,N/A,5679705871.5,80000000,0,554117646,32.6085,3.3049,0.6662,67.8147,
603609.SH,∫Ã∑·ƒ¡“µ,2014-08-13,6.7748,7.4555,7.4555,7.4555,7.4555,948658,10700862,0.6808,10.0488,11.28,1.1858,902400000,N/A,6250447046.88,80000000,0,554117646,35.8852,3.637,0.7332,74.6293,
603609.SH,∫Ã∑·ƒ¡“µ,2014-08-14,7.4555,8.2024,8.2024,8.2024,8.2024,11200310,138995847,0.7469,10.0177,12.41,14.0004,992800000,N/A,6876599986.86,80000000,0,554117646,39.4801,4.0013,0.8066,82.1054,
603609.SH,∫Ã∑·ƒ¡“µ,2014-08-15,8.2024,8.8105,8.8105,7.7331,7.8455,44299529,538565556,-0.3569,-4.3513,12.1574,55.3744,949600000,N/A,6577376458.02,80000000,0,554117646,37.7622,3.8272,0.7715,78.5328,
603609.SH,∫Ã∑·ƒ¡“µ,2014-08-18,7.8455,7.6671,8.0174,7.5877,7.9975,27090032,319648075,0.152,1.9377,11.7995,33.8625,968000000,N/A,6704823516.6,80000000,0,554117646,38.4939,3.9014,0.7864,80.0545,
603609.SH,∫Ã∑·ƒ¡“µ,2014-08-19,7.9975,7.9314,8.7973,7.8521,8.7973,40389211,527052520,0.7998,10,13.0493,50.4865,1064800000,N/A,7375305868.26,80000000,0,554117646,42.3433,4.2915,0.8651,88.0599,
603609.SH,∫Ã∑·ƒ¡“µ,2014-08-20,8.7973,9.0286,9.6764,8.9956,9.6764,41063817,579064959,0.8791,9.9925,14.1016,51.3298,1171200000,N/A,8112282337.44,80000000,0,554117646,46.5744,4.7203,0.9515,96.8593,
603609.SH,∫Ã∑·ƒ¡“µ,2014-08-21,9.6764,9.9143,10.6413,9.8945,10.6413,49077615,773183843,0.965,9.9727,15.7543,61.347,1288000000,N/A,8921294100.6,80000000,0,554117646,51.2192,5.1911,1.0464,106.5187,
