´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
600340.SH,»ªÏÄÐÒ¸£,2003-12-30,N/A,0.5344,0.5626,0.5331,0.5479,16666958,149550899,N/A,N/A,8.9729,41.6674,356800000,N/A,892000000,40000000,0,100000000,40.707,8.6193,5.4905,-477.2998,
600340.SH,»ªÏÄÐÒ¸£,2003-12-31,0.5479,0.5405,0.562,0.5301,0.5503,7232059,64340016,0.0025,0.4484,8.8965,18.0801,358400000,N/A,896000000,40000000,0,100000000,40.8895,8.658,5.5151,-479.4402,
600340.SH,»ªÏÄÐÒ¸£,2004-01-02,0.5503,0.5454,0.5835,0.5448,0.5681,6532701,60108493,0.0178,3.2366,9.2012,16.3318,370000000,N/A,925000000,40000000,0,100000000,42.7861,2.316,5.2907,3.1736,
600340.SH,»ªÏÄÐÒ¸£,2004-01-05,0.5681,0.578,0.6062,0.5773,0.5921,7561144,72513616,0.024,4.2162,9.5903,18.9029,385600000,N/A,964000000,40000000,0,100000000,44.5901,2.4136,5.5137,3.3074,
600340.SH,»ªÏÄÐÒ¸£,2004-01-06,0.5921,0.5909,0.6111,0.5712,0.6093,6917632,66536671,0.0172,2.9046,9.6184,17.2941,396800000,N/A,992000000,40000000,0,100000000,45.8852,2.4837,5.6739,3.4034,
600340.SH,»ªÏÄÐÒ¸£,2004-01-07,0.6093,0.605,0.6154,0.5884,0.5982,4539922,44594349,-0.0111,-1.8145,9.8227,11.3498,389600000,N/A,974000000,40000000,0,100000000,45.0526,2.4387,5.5709,3.3417,
600340.SH,»ªÏÄÐÒ¸£,2004-01-08,0.5982,0.5982,0.656,0.5945,0.6412,6679610,69340574,0.043,7.1869,10.3809,16.699,417600000,N/A,1044000000,40000000,0,100000000,48.2905,2.6139,5.9713,3.5819,
600340.SH,»ªÏÄÐÒ¸£,2004-01-09,0.6412,0.6425,0.6547,0.6124,0.6136,4785376,49210867,-0.0276,-4.3103,10.2836,11.9634,399600000,N/A,999000000,40000000,0,100000000,46.209,2.5013,5.7139,3.4275,
600340.SH,»ªÏÄÐÒ¸£,2004-01-12,0.6136,0.605,0.6339,0.6019,0.6277,2885876,28819060,0.0141,2.3023,9.9862,7.2147,408800000,N/A,1022000000,40000000,0,100000000,47.2729,2.5589,5.8455,3.5064,
600340.SH,»ªÏÄÐÒ¸£,2004-01-13,0.6277,0.6289,0.6345,0.6142,0.6191,2532381,25631064,-0.0086,-1.3699,10.1213,6.331,403200000,N/A,1008000000,40000000,0,100000000,46.6253,2.5238,5.7654,3.4583,
600340.SH,»ªÏÄÐÒ¸£,2004-01-14,0.6191,0.6173,0.6203,0.5988,0.6001,1969900,19438280,-0.019,-3.0754,9.8676,4.9247,390800000,N/A,977000000,40000000,0,100000000,45.1914,2.4462,5.5881,3.352,
600340.SH,»ªÏÄÐÒ¸£,2004-01-15,0.6001,0.5964,0.6068,0.5902,0.5921,2153619,20899972,-0.008,-1.3306,9.7046,5.384,385600000,N/A,964000000,40000000,0,100000000,44.5901,2.4136,5.5137,3.3074,
600340.SH,»ªÏÄÐÒ¸£,2004-01-16,0.5921,0.5945,0.6056,0.5909,0.5958,1476645,14399580,0.0037,0.6224,9.7516,3.6916,388000000,N/A,970000000,40000000,0,100000000,44.8676,2.4287,5.5481,3.328,
600340.SH,»ªÏÄÐÒ¸£,2004-01-29,0.5958,0.6007,0.6136,0.5988,0.6081,1197276,11819687,0.0123,2.0619,9.8721,2.9932,396000000,N/A,990000000,40000000,0,100000000,45.7927,2.4787,5.6625,3.3966,
600340.SH,»ªÏÄÐÒ¸£,2004-01-30,0.6081,0.6068,0.6068,0.578,0.5804,1877724,18057424,-0.0276,-4.5455,9.6167,4.6943,378000000,N/A,945000000,40000000,0,100000000,43.7112,2.3661,5.4051,3.2422,
600340.SH,»ªÏÄÐÒ¸£,2004-02-02,0.5804,0.5804,0.6019,0.5638,0.5945,2259088,21587158,0.0141,2.4339,9.5557,5.6477,387200000,N/A,968000000,40000000,0,100000000,44.7751,2.4236,5.5366,3.3211,
600340.SH,»ªÏÄÐÒ¸£,2004-02-03,0.5945,0.5976,0.624,0.5958,0.6203,4449862,44646711,0.0258,4.3388,10.0333,11.1247,404000000,N/A,1010000000,40000000,0,100000000,46.7178,2.5288,5.7768,3.4652,
600340.SH,»ªÏÄÐÒ¸£,2004-02-04,0.6203,0.6228,0.6326,0.6148,0.6234,3076160,31254715,0.0031,0.495,10.1603,7.6904,406000000,N/A,1015000000,40000000,0,100000000,46.9491,2.5413,5.8054,3.4824,
600340.SH,»ªÏÄÐÒ¸£,2004-02-05,0.6234,0.6246,0.632,0.6093,0.6296,3003770,30382637,0.0061,0.9852,10.1148,7.5094,410000000,N/A,1025000000,40000000,0,100000000,47.4117,2.5664,5.8626,3.5167,
600340.SH,»ªÏÄÐÒ¸£,2004-02-06,0.6296,0.6357,0.6541,0.6265,0.6271,5265853,54934934,-0.0025,-0.3902,10.4323,13.1646,408400000,N/A,1021000000,40000000,0,100000000,47.2266,2.5563,5.8398,3.5029,
600340.SH,»ªÏÄÐÒ¸£,2004-02-09,0.6271,0.6253,0.6345,0.6203,0.6308,1955532,19988538,0.0037,0.5877,10.2215,4.8888,410800000,N/A,1027000000,40000000,0,100000000,47.5042,2.5714,5.8741,3.5235,
600340.SH,»ªÏÄÐÒ¸£,2004-02-10,0.6308,0.6308,0.6351,0.6173,0.621,1904124,19323344,-0.0098,-1.5579,10.1482,4.7603,404400000,N/A,1011000000,40000000,0,100000000,46.7641,2.5313,5.7826,3.4686,
600340.SH,»ªÏÄÐÒ¸£,2004-02-11,0.621,0.6234,0.6345,0.621,0.6345,2177913,22313500,0.0135,2.1761,10.2454,5.4448,413200000,N/A,1033000000,40000000,0,100000000,47.7817,2.5864,5.9084,3.5441,
600340.SH,»ªÏÄÐÒ¸£,2004-02-12,0.6345,0.6357,0.6449,0.6246,0.6283,1560192,16074809,-0.0061,-0.9681,10.3031,3.9005,409200000,N/A,1023000000,40000000,0,100000000,47.3191,2.5614,5.8512,3.5098,
600340.SH,»ªÏÄÐÒ¸£,2004-02-13,0.6283,0.6265,0.651,0.6216,0.6382,3342591,34744261,0.0098,1.564,10.3944,8.3565,415600000,N/A,1039000000,40000000,0,100000000,48.0592,2.6014,5.9427,3.5647,
600340.SH,»ªÏÄÐÒ¸£,2004-02-16,0.6382,0.6425,0.6621,0.6394,0.6596,3792809,40470873,0.0215,3.3686,10.6704,9.482,429600000,N/A,1074000000,40000000,0,100000000,49.6782,2.689,6.1429,3.6848,
600340.SH,»ªÏÄÐÒ¸£,2004-02-17,0.6596,0.6603,0.6732,0.6535,0.6596,2886253,31129675,0,0,10.7855,7.2156,429600000,N/A,1074000000,40000000,0,100000000,49.6782,2.689,6.1429,3.6848,
600340.SH,»ªÏÄÐÒ¸£,2004-02-18,0.6596,0.6615,0.6646,0.6498,0.6596,2092096,22325771,0,0,10.6715,5.2302,429600000,N/A,1074000000,40000000,0,100000000,49.6782,2.689,6.1429,3.6848,
600340.SH,»ªÏÄÐÒ¸£,2004-02-19,0.6596,0.6603,0.6842,0.6603,0.6756,2904261,31904948,0.016,2.4209,10.9856,7.2607,440000000,N/A,1100000000,40000000,0,100000000,50.8808,2.7541,6.2916,3.774,
600340.SH,»ªÏÄÐÒ¸£,2004-02-20,0.6756,0.6848,0.6867,0.6652,0.6738,1550625,16924389,-0.0018,-0.2727,10.9146,3.8766,438800000,N/A,1097000000,40000000,0,100000000,50.742,2.7466,6.2745,3.7637,
600340.SH,»ªÏÄÐÒ¸£,2004-02-23,0.6738,0.6811,0.6818,0.6431,0.648,2127430,22938649,-0.0258,-3.8286,10.7823,5.3186,422000000,N/A,1055000000,40000000,0,100000000,48.7993,2.6415,6.0342,3.6196,
600340.SH,»ªÏÄÐÒ¸£,2004-02-24,0.648,0.6449,0.648,0.621,0.6351,2067362,21324856,-0.0129,-1.9905,10.315,5.1684,413600000,N/A,1034000000,40000000,0,100000000,47.8279,2.5889,5.9141,3.5475,
600340.SH,»ªÏÄÐÒ¸£,2004-02-25,0.6351,0.6351,0.648,0.6148,0.6191,1477602,15237298,-0.016,-2.5145,10.3122,3.694,403200000,N/A,1008000000,40000000,0,100000000,46.6253,2.5238,5.7654,3.4583,
600340.SH,»ªÏÄÐÒ¸£,2004-02-26,0.6191,0.6191,0.6296,0.6142,0.6265,1298524,13174940,0.0074,1.1905,10.1461,3.2463,408000000,N/A,1020000000,40000000,0,100000000,47.1804,2.5538,5.834,3.4995,
600340.SH,»ªÏÄÐÒ¸£,2004-02-27,0.6265,0.6265,0.6314,0.6191,0.6296,906112,9218603,0.0031,0.4902,10.1738,2.2653,410000000,N/A,1025000000,40000000,0,100000000,47.4117,2.5664,5.8626,3.5167,
600340.SH,»ªÏÄÐÒ¸£,2004-03-01,0.6296,0.6296,0.6314,0.613,0.6265,1022516,10308850,-0.0031,-0.4878,10.0818,2.5563,408000000,N/A,1020000000,40000000,0,100000000,47.1804,2.5538,5.834,3.4995,
600340.SH,»ªÏÄÐÒ¸£,2004-03-02,0.6265,0.6253,0.6418,0.616,0.6332,1445304,14873413,0.0068,1.0784,10.2909,3.6133,412400000,N/A,1031000000,40000000,0,100000000,47.6892,2.5814,5.897,3.5372,
600340.SH,»ªÏÄÐÒ¸£,2004-03-03,0.6332,0.6326,0.6449,0.621,0.6259,949342,9767722,-0.0074,-1.1639,10.2889,2.3734,407600000,N/A,1019000000,40000000,0,100000000,47.1341,2.5513,5.8283,3.4961,
600340.SH,»ªÏÄÐÒ¸£,2004-03-04,0.6259,0.6265,0.64,0.6234,0.6388,1087147,11203306,0.0129,2.0608,10.3052,2.7179,416000000,N/A,1040000000,40000000,0,100000000,48.1055,2.6039,5.9484,3.5681,
600340.SH,»ªÏÄÐÒ¸£,2004-03-05,0.6388,0.6412,0.6412,0.6283,0.6296,744696,7689859,-0.0092,-1.4423,10.3262,1.8617,410000000,N/A,1025000000,40000000,0,100000000,47.4117,2.5664,5.8626,3.5167,
600340.SH,»ªÏÄÐÒ¸£,2004-03-08,0.6296,0.6296,0.632,0.6068,0.6099,1224935,12274849,-0.0197,-3.122,10.0208,3.0623,397200000,N/A,993000000,40000000,0,100000000,45.9315,2.4862,5.6796,3.4069,
600340.SH,»ªÏÄÐÒ¸£,2004-03-09,0.6099,0.605,0.6142,0.5952,0.5952,675689,6653839,-0.0147,-2.4169,9.8475,1.6892,387600000,N/A,969000000,40000000,0,100000000,44.8214,2.4262,5.5423,3.3245,
600340.SH,»ªÏÄÐÒ¸£,2004-03-10,0.5952,0.5915,0.6099,0.5902,0.6099,653139,6387739,0.0147,2.4768,9.7801,1.6328,397200000,N/A,993000000,40000000,0,100000000,45.9315,2.4862,5.6796,3.4069,
600340.SH,»ªÏÄÐÒ¸£,2004-03-11,0.6099,0.6087,0.6173,0.6019,0.6111,671356,6665535,0.0012,0.2014,9.9285,1.6784,398000000,N/A,995000000,40000000,0,100000000,46.024,2.4913,5.6911,3.4137,
600340.SH,»ªÏÄÐÒ¸£,2004-03-12,0.6111,0.6117,0.6124,0.5988,0.605,668014,6582125,-0.0061,-1.005,9.8533,1.67,394000000,N/A,985000000,40000000,0,100000000,45.5614,2.4662,5.6339,3.3794,
600340.SH,»ªÏÄÐÒ¸£,2004-03-15,0.605,0.6019,0.6167,0.5964,0.6148,691228,6876480,0.0098,1.6244,9.9482,1.7281,400400000,N/A,1001000000,40000000,0,100000000,46.3015,2.5063,5.7254,3.4343,
600340.SH,»ªÏÄÐÒ¸£,2004-03-16,0.6148,0.6148,0.621,0.6124,0.6173,705943,7076138,0.0025,0.3996,10.0237,1.7649,402000000,N/A,1005000000,40000000,0,100000000,46.4865,2.5163,5.7482,3.448,
600340.SH,»ªÏÄÐÒ¸£,2004-03-17,0.6173,0.6203,0.6234,0.6093,0.6154,635968,6359819,-0.0018,-0.2985,10.0002,1.5899,400800000,N/A,1002000000,40000000,0,100000000,46.3478,2.5088,5.7311,3.4378,
