¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
600793.SH,ST“À÷Ω,1997-02-20,N/A,6.2772,9.0004,5.6541,8.1811,10429200,141109000,N/A,N/A,13.5302,40.4233,365844000,N/A,1148580000,25800000,0,81000000,58.2952,6.3703,3.6166,N/A,
600793.SH,ST“À÷Ω,1997-02-21,8.1811,7.8927,8.0023,7.558,7.7542,4684100,62600000,-0.4269,-5.2186,13.3644,18.1554,346752000,N/A,1088640000,25800000,0,81000000,55.253,6.0379,3.4279,N/A,
600793.SH,ST“À÷Ω,1997-02-24,7.7542,7.7196,7.7254,7.2119,7.2523,2618000,33253000,-0.5019,-6.4732,12.7017,10.1473,324306000,N/A,1018170000,25800000,0,81000000,51.6764,5.6471,3.206,N/A,
600793.SH,ST“À÷Ω,1997-02-25,7.2523,7.1253,7.5292,7.0965,7.3157,1222600,15522000,0.0635,0.8751,12.6959,4.7388,327144000,N/A,1027080000,25800000,0,81000000,52.1286,5.6965,3.234,N/A,
600793.SH,ST“À÷Ω,1997-02-26,7.3157,7.408,7.4311,7.2119,7.385,743500,9439000,0.0692,0.9464,12.6954,2.8818,330240000,N/A,1036800000,25800000,0,81000000,52.6219,5.7504,3.2646,N/A,
600793.SH,ST“À÷Ω,1997-02-27,7.385,7.2119,7.3792,7.2119,7.235,700100,8840000,-0.15,-2.0313,12.6268,2.7136,323532000,N/A,1015740000,25800000,0,81000000,51.5531,5.6336,3.1983,N/A,
600793.SH,ST“À÷Ω,1997-02-28,7.235,7.3157,7.4427,7.258,7.3619,792500,10097000,0.1269,1.7544,12.7407,3.0717,329208000,N/A,1033560000,25800000,0,81000000,52.4575,5.7324,3.2544,N/A,
600793.SH,ST“À÷Ω,1997-03-03,7.3619,7.3907,7.8177,7.3676,7.7888,1769100,23329359,0.4269,5.7994,13.1871,6.857,348300000,N/A,1093500000,25800000,0,81000000,55.4997,6.0649,3.4432,N/A,
600793.SH,ST“À÷Ω,1997-03-04,7.7888,7.7888,7.8465,7.5465,7.633,1097000,14578990,-0.1558,-2,13.2899,4.2519,341334000,N/A,1071630000,25800000,0,81000000,54.3897,5.9436,3.3743,N/A,
600793.SH,ST“À÷Ω,1997-03-05,7.633,7.6734,7.7311,7.4715,7.4888,770000,10072798,-0.1442,-1.8896,13.0816,2.9845,334884000,N/A,1051380000,25800000,0,81000000,53.3619,5.8312,3.3105,N/A,
600793.SH,ST“À÷Ω,1997-03-06,7.4888,7.4138,7.7311,7.385,7.6677,776900,10155680,0.1789,2.3883,13.0721,3.0112,342882000,N/A,1076490000,25800000,0,81000000,54.6364,5.9705,3.3896,N/A,
600793.SH,ST“À÷Ω,1997-03-07,7.6677,7.7138,7.7311,7.4888,7.5003,774500,10208601,-0.1673,-2.1821,13.1809,3.0019,335400000,N/A,1053000000,25800000,0,81000000,53.4442,5.8402,3.3156,N/A,
600793.SH,ST“À÷Ω,1997-03-10,7.5003,7.5003,7.6042,7.4427,7.4427,674500,8772335,-0.0577,-0.7692,13.0057,2.6143,332820000,N/A,1044900000,25800000,0,81000000,53.033,5.7953,3.2901,N/A,
600793.SH,ST“À÷Ω,1997-03-11,7.4427,7.5292,7.6504,7.333,7.5696,1055200,13765515,0.1269,1.7054,13.0454,4.0899,338496000,N/A,1062720000,25800000,0,81000000,53.9375,5.8941,3.3462,N/A,
600793.SH,ST“À÷Ω,1997-03-12,7.5696,7.6734,7.8927,7.5869,7.8465,2918400,39204000,0.2769,3.6585,13.4334,11.3116,350880000,N/A,1101600000,25800000,0,81000000,55.9108,6.1098,3.4687,N/A,
600793.SH,ST“À÷Ω,1997-03-13,7.8465,7.8465,7.9619,7.5003,7.6907,1361300,18371419,-0.1558,-1.9853,13.4955,5.2764,343914000,N/A,1079730000,25800000,0,81000000,54.8008,5.9885,3.3998,N/A,
600793.SH,ST“À÷Ω,1997-03-14,7.6907,7.7196,7.7773,7.4427,7.6273,953800,12550337,-0.0635,-0.8252,13.1582,3.6969,341076000,N/A,1070820000,25800000,0,81000000,54.3486,5.9391,3.3717,N/A,
600793.SH,ST“À÷Ω,1997-03-17,7.6273,7.6734,7.7888,7.6157,7.6619,1522100,20290014,0.0346,0.4539,13.3303,5.8996,342624000,N/A,1075680000,25800000,0,81000000,54.5953,5.966,3.387,N/A,
600793.SH,ST“À÷Ω,1997-03-18,7.6619,7.7196,7.8234,7.2119,7.7023,2211500,29538064,0.0404,0.5271,13.3566,8.5717,344430000,N/A,1081350000,25800000,0,81000000,54.883,5.9975,3.4049,N/A,
600793.SH,ST“À÷Ω,1997-03-19,7.7023,7.7023,8.3369,7.7023,7.9965,3540700,49050930,0.2942,3.8202,13.8535,13.7236,357588000,N/A,1122660000,25800000,0,81000000,56.9797,6.2266,3.535,N/A,
600793.SH,ST“À÷Ω,1997-03-20,7.9965,8.0081,8.06,7.5003,7.558,1715000,23166863,-0.4385,-5.4834,13.5084,6.6473,337980000,N/A,1061100000,25800000,0,81000000,53.8553,5.8852,3.3411,N/A,
600793.SH,ST“À÷Ω,1997-03-21,7.558,7.5061,7.7715,7.5003,7.7542,1403800,18554576,0.1962,2.5954,13.2174,5.4411,346752000,N/A,1088640000,25800000,0,81000000,55.253,6.0379,3.4279,N/A,
600793.SH,ST“À÷Ω,1997-03-24,7.7542,7.7888,7.9331,7.6157,7.7023,1668000,22580094,-0.0519,-0.6696,13.5372,6.4651,344430000,N/A,1081350000,25800000,0,81000000,54.883,5.9975,3.4049,N/A,
600793.SH,ST“À÷Ω,1997-03-25,7.7023,7.7023,7.7023,7.4888,7.5119,1391100,18227313,-0.1904,-2.4719,13.1028,5.3919,335916000,N/A,1054620000,25800000,0,81000000,53.5264,5.8492,3.3207,N/A,
600793.SH,ST“À÷Ω,1997-03-26,7.5119,7.558,7.6446,7.4888,7.6388,1119200,14664627,0.1269,1.6897,13.1028,4.338,341592000,N/A,1072440000,25800000,0,81000000,54.4308,5.948,3.3768,N/A,
