代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600729.SH,重庆百货,1996-07-02,N/A,3.1186,3.188,2.9454,3.1117,6769200,60597000,N/A,N/A,8.9519,22.564,269400000,N/A,1077600000,30000000,0,120000000,21.5363,4.077,1.5728,N/A,
600729.SH,重庆百货,1996-07-03,3.1117,3.0355,3.3092,3.0355,3.3092,5260900,47546046,0.1975,6.3474,9.0376,17.5363,286500000,N/A,1146000000,30000000,0,120000000,22.9033,4.3358,1.6726,N/A,
600729.SH,重庆百货,1996-07-04,3.3092,3.3785,3.8775,3.3266,3.777,8298000,86485985,0.4678,14.1361,10.4225,27.66,327000000,N/A,1308000000,30000000,0,120000000,26.1409,4.9487,1.9091,N/A,
600729.SH,重庆百货,1996-07-05,3.777,3.8498,4.2136,3.8117,3.8637,7304200,84253721,0.0866,2.2936,11.535,24.3473,334500000,N/A,1338000000,30000000,0,120000000,26.7405,5.0622,1.9529,N/A,
600729.SH,重庆百货,1996-07-08,3.8637,3.9538,3.9849,3.6731,3.8775,3356900,37014000,0.0139,0.3587,11.0262,11.1897,335700000,N/A,1342800000,30000000,0,120000000,26.8364,5.0804,1.9599,N/A,
600729.SH,重庆百货,1996-07-09,3.8775,3.9156,3.9676,3.7424,3.881,2014500,22407586,0.0035,0.0894,11.1232,6.715,336000000,N/A,1344000000,30000000,0,120000000,26.8604,5.0849,1.9616,N/A,
600729.SH,重庆百货,1996-07-10,3.881,3.881,3.978,3.7874,3.8429,1617600,18088909,-0.0381,-0.9821,11.1826,5.392,332700000,N/A,1330800000,30000000,0,120000000,26.5966,5.035,1.9424,N/A,
600729.SH,重庆百货,1996-07-11,3.8429,3.8637,4.0542,3.7944,3.8117,2908600,33132177,-0.0312,-0.8115,11.3911,9.6953,330000000,N/A,1320000000,30000000,0,120000000,26.3808,4.9941,1.9266,N/A,
600729.SH,重庆百货,1996-07-12,3.8117,3.8117,3.881,3.7493,3.8394,1160700,12799002,0.0277,0.7273,11.027,3.869,332400000,N/A,1329600000,30000000,0,120000000,26.5726,5.0305,1.9406,N/A,
600729.SH,重庆百货,1996-07-15,3.8394,3.8637,3.9572,3.8186,3.881,1432700,16008234,0.0416,1.083,11.1735,4.7757,336000000,N/A,1344000000,30000000,0,120000000,26.8604,5.0849,1.9616,N/A,
600729.SH,重庆百货,1996-07-16,3.881,3.9399,4.1928,3.9156,4.0542,2641400,30776568,0.1733,4.4643,11.6516,8.8047,351000000,N/A,1404000000,30000000,0,120000000,28.0595,5.312,2.0492,N/A,
600729.SH,重庆百货,1996-07-17,4.0542,4.1235,4.1478,3.8117,3.8741,1532200,17706722,-0.1802,-4.4444,11.5564,5.1073,335400000,N/A,1341600000,30000000,0,120000000,26.8125,5.0759,1.9581,N/A,
600729.SH,重庆百货,1996-07-18,3.8741,3.829,3.978,3.829,3.8844,949000,10607650,0.0104,0.2683,11.1777,3.1633,336300000,N/A,1345200000,30000000,0,120000000,26.8844,5.0895,1.9634,N/A,
600729.SH,重庆百货,1996-07-19,3.8844,3.881,3.9503,3.7043,3.8117,1797600,19709483,-0.0728,-1.8733,10.9643,5.992,330000000,N/A,1320000000,30000000,0,120000000,26.3808,4.9941,1.9266,N/A,
600729.SH,重庆百货,1996-07-22,3.8117,3.8463,3.9226,3.7805,3.7944,1209100,13363167,-0.0173,-0.4545,11.0522,4.0303,328500000,N/A,1314000000,30000000,0,120000000,26.2609,4.9714,1.9178,N/A,
600729.SH,重庆百货,1996-07-23,3.7944,3.7944,3.8706,3.777,3.7944,1084900,11968910,0,0,11.0323,3.6163,328500000,N/A,1314000000,30000000,0,120000000,26.2609,4.9714,1.9178,N/A,
600729.SH,重庆百货,1996-07-24,3.7944,3.8463,3.8463,3.7424,3.7701,1209100,13203487,-0.0243,-0.6393,10.9201,4.0303,326400000,N/A,1305600000,30000000,0,120000000,26.093,4.9397,1.9056,N/A,
600729.SH,重庆百货,1996-07-25,3.7701,3.777,3.9087,3.6904,3.6904,1035600,11408841,-0.0797,-2.114,11.0166,3.452,319500000,N/A,1278000000,30000000,0,120000000,25.5414,4.8352,1.8653,N/A,
600729.SH,重庆百货,1996-07-26,3.6904,3.7077,3.8117,3.6627,3.7216,1325400,14282249,0.0312,0.8451,10.7758,4.418,322200000,N/A,1288800000,30000000,0,120000000,25.7572,4.8761,1.8811,N/A,
600729.SH,重庆百货,1996-07-29,3.7216,3.7424,3.8706,3.7424,3.8082,580600,6382031,0.0866,2.3277,10.9921,1.9353,329700000,N/A,1318800000,30000000,0,120000000,26.3568,4.9896,1.9248,N/A,
600729.SH,重庆百货,1996-07-30,3.8082,3.8394,3.8637,3.7008,3.7112,630100,6823262,-0.097,-2.5478,10.8289,2.1003,321300000,N/A,1285200000,30000000,0,120000000,25.6853,4.8625,1.8758,N/A,
600729.SH,重庆百货,1996-07-31,3.7112,3.7597,3.777,3.5726,3.6384,592000,6251915,-0.0728,-1.9608,10.5607,1.9733,315000000,N/A,1260000000,30000000,0,120000000,25.1816,4.7671,1.839,N/A,
600729.SH,重庆百货,1996-08-01,3.6384,3.6384,3.7077,3.5275,3.6211,462900,4813437,-0.0173,-0.4762,10.3984,1.543,313500000,N/A,1254000000,30000000,0,120000000,25.0617,4.7444,1.8303,N/A,
600729.SH,重庆百货,1996-08-02,3.6211,3.6384,3.777,3.5518,3.6315,334700,3495350,0.0104,0.2871,10.4432,1.1157,314400000,N/A,1257600000,30000000,0,120000000,25.1337,4.7581,1.8355,N/A,
600729.SH,重庆百货,1996-08-05,3.6315,3.6315,3.6731,3.5518,3.5968,288500,2985895,-0.0347,-0.9542,10.3497,0.9617,311400000,N/A,1245600000,30000000,0,120000000,24.8939,4.7127,1.818,N/A,
