¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
603003.SH,¡˙”Ó»º”Õ,2012-08-17,N/A,12.4142,12.9108,10.5471,10.6266,44295526,528007032,N/A,N/A,11.9201,87.7139,540350000,N/A,2161400000,50500000,0,202000000,26.5097,4.5088,0.3973,13.4612,
603003.SH,¡˙”Ó»º”Õ,2012-08-20,10.6266,10.4279,10.4776,9.5639,9.6235,31047798,307275763,-1.0031,-9.4393,9.8969,61.4808,489345000,N/A,1957380000,50500000,0,202000000,24.0074,4.0832,0.3598,12.1905,
603003.SH,¡˙”Ó»º”Õ,2012-08-21,9.6235,9.5341,9.991,9.5143,9.7327,20273075,198945063,0.1092,1.1352,9.8133,40.1447,494900000,N/A,1979600000,50500000,0,202000000,24.2799,4.1295,0.3639,12.3289,
603003.SH,¡˙”Ó»º”Õ,2012-08-22,9.7327,9.6334,10.706,9.5441,10.706,27505977,287130375,0.9733,10,10.4388,54.4673,544390000,N/A,2177560000,50500000,0,202000000,26.7079,4.5425,0.4002,13.5618,
603003.SH,¡˙”Ó»º”Õ,2012-08-23,10.706,10.6961,11.7687,10.5471,11.1728,29483159,333299926,0.4668,4.3599,11.3048,58.3825,568125000,N/A,2272500000,50500000,0,202000000,27.8723,4.7405,0.4177,14.1531,
603003.SH,¡˙”Ó»º”Õ,2012-08-24,11.1728,10.8351,11.5105,10.4478,10.5769,20645574,229696764,-0.5959,-5.3333,11.1257,40.8823,537825000,N/A,2151300000,50500000,0,202000000,26.3858,4.4877,0.3954,13.3983,
603003.SH,¡˙”Ó»º”Õ,2012-08-27,10.5769,10.2194,10.4081,9.5242,9.9413,15667010,155405464,-0.6356,-6.0094,9.9193,31.0238,505505000,N/A,2022020000,50500000,0,202000000,24.8002,4.218,0.3716,12.5931,
603003.SH,¡˙”Ó»º”Õ,2012-08-28,9.9413,9.8122,10.9344,9.6632,10.9344,15248254,159573663,0.9931,9.99,10.465,30.1946,556005000,N/A,2224020000,50500000,0,202000000,27.2777,4.6394,0.4088,13.8512,
603003.SH,¡˙”Ó»º”Õ,2012-08-29,10.9344,11.1231,11.8084,10.9742,11.1629,24749945,281081565,0.2284,2.089,11.3569,49.0098,567620000,N/A,2270480000,50500000,0,202000000,27.8475,4.7363,0.4173,14.1405,
603003.SH,¡˙”Ó»º”Õ,2012-08-30,11.1629,10.7755,12.2752,10.6762,11.729,28152859,326373491,0.5661,5.0712,11.5929,55.7482,596405000,N/A,2385620000,50500000,0,202000000,29.2597,4.9765,0.4385,14.8576,
603003.SH,¡˙”Ó»º”Õ,2012-08-31,11.729,11.4012,12.0865,11.2225,11.431,20413950,239456751,-0.2979,-2.5402,11.7301,40.4237,581255000,N/A,2325020000,50500000,0,202000000,28.5165,4.8501,0.4273,14.4802,
603003.SH,¡˙”Ó»º”Õ,2012-09-03,11.431,11.4012,12.5731,11.2225,12.5731,25434920,309154712,1.1421,9.9913,12.1547,50.3662,639330000,N/A,2557320000,50500000,0,202000000,31.3657,5.3347,0.47,15.927,
603003.SH,¡˙”Ó»º”Õ,2012-09-04,12.5731,12.4142,13.8344,12.3149,13.1889,31787215,410678691,0.6157,4.8973,12.9196,62.945,670640000,N/A,2682560000,50500000,0,202000000,32.9017,5.5959,0.4931,16.7069,
603003.SH,¡˙”Ó»º”Õ,2012-09-05,13.1889,12.8711,13.3478,12.593,12.8313,21516373,279869683,-0.3575,-2.7108,13.0073,42.6067,652460000,N/A,2609840000,50500000,0,202000000,32.0098,5.4442,0.4797,16.254,
603003.SH,¡˙”Ó»º”Õ,2012-09-06,12.8313,12.8313,13.2882,12.6228,13.02,18458734,240980864,0.1887,1.4706,13.0551,36.5519,662055000,N/A,2648220000,50500000,0,202000000,32.4805,5.5243,0.4867,16.4931,
603003.SH,¡˙”Ó»º”Õ,2012-09-07,13.02,13.0101,13.7053,12.6426,13.0002,21561093,284241763,-0.0199,-0.1526,13.1831,42.6952,661045000,N/A,2644180000,50500000,0,202000000,32.431,5.5159,0.486,16.4679,
603003.SH,¡˙”Ó»º”Õ,2012-09-10,13.0002,13.0002,13.6556,12.7916,13.3577,20665275,275112512,0.3575,2.7502,13.3128,40.9213,679225000,N/A,2716900000,50500000,0,202000000,33.3229,5.6676,0.4994,16.9208,
603003.SH,¡˙”Ó»º”Õ,2012-09-11,13.3577,13.3875,13.3875,12.6724,12.8015,17267042,224526842,-0.5562,-4.1636,13.0032,34.1922,650945000,N/A,2603780000,50500000,0,202000000,31.9355,5.4316,0.4786,16.2163,
603003.SH,¡˙”Ó»º”Õ,2012-09-12,12.8015,12.7221,13.0101,12.1659,12.6526,14426942,182775972,-0.149,-1.1637,12.6691,28.5682,643370000,N/A,2573480000,50500000,0,202000000,31.5639,5.3684,0.473,16.0276,
603003.SH,¡˙”Ó»º”Õ,2012-09-13,12.6526,12.5632,12.881,12.1957,12.2454,12014657,152690322,-0.4072,-3.2182,12.7087,23.7914,622665000,N/A,2490660000,50500000,0,202000000,30.5481,5.1956,0.4578,15.5118,
603003.SH,¡˙”Ó»º”Õ,2012-09-14,12.2454,12.3944,12.7618,12.1163,12.3944,11055871,138886413,0.149,1.2165,12.5622,21.8928,630240000,N/A,2520960000,50500000,0,202000000,30.9197,5.2588,0.4634,15.7005,
603003.SH,¡˙”Ó»º”Õ,2012-09-17,12.3944,12.4043,12.5632,11.6992,11.7389,8756892,106352481,-0.6555,-5.2885,12.145,17.3404,596910000,N/A,2387640000,50500000,0,202000000,29.2845,4.9807,0.4388,14.8702,
603003.SH,¡˙”Ó»º”Õ,2012-09-18,11.7389,11.6694,11.8581,11.5403,11.6793,6149488,72320618,-0.0596,-0.5076,11.7604,12.1772,593880000,N/A,2375520000,50500000,0,202000000,29.1359,4.9554,0.4366,14.7947,
603003.SH,¡˙”Ó»º”Õ,2012-09-19,11.6793,11.6495,11.8183,11.3714,11.6793,5792663,67534885,0,0,11.6587,11.4706,593880000,N/A,2375520000,50500000,0,202000000,29.1359,4.9554,0.4366,14.7947,
603003.SH,¡˙”Ó»º”Õ,2012-09-20,11.6793,11.5601,11.6495,10.6762,10.7755,8451731,94876842,-0.9038,-7.7381,11.2257,16.7361,547925000,N/A,2191700000,50500000,0,202000000,26.8813,4.572,0.4028,13.6499,
