代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600767.SH,运盛医疗,1996-11-15,N/A,3.4233,3.4975,3.2537,3.4657,16993900,216592000,N/A,N/A,12.7453,67.9756,327000000,N/A,1308000000,25000000,0,100000000,48.2645,7.5678,8.9728,N/A,
600767.SH,运盛医疗,1996-11-18,3.4657,3.4736,3.6909,3.4736,3.5955,7481200,101135494,0.1298,3.7462,13.5186,29.9248,339250000,N/A,1357000000,25000000,0,100000000,50.0725,7.8514,9.309,N/A,
600767.SH,运盛医疗,1996-11-19,3.5955,3.6564,3.6697,3.5107,3.5478,4901800,66630871,-0.0477,-1.3265,13.5931,19.6072,334750000,N/A,1339000000,25000000,0,100000000,49.4084,7.7472,9.1855,N/A,
600767.SH,运盛医疗,1996-11-20,3.5478,3.5637,3.8684,3.5505,3.8154,4924800,69173723,0.2676,7.5429,14.046,19.6992,360000000,N/A,1440000000,25000000,0,100000000,53.1352,8.3316,9.8783,N/A,
600767.SH,运盛医疗,1996-11-21,3.8154,3.8419,4.0141,3.4524,3.524,5046100,72665240,-0.2915,-7.6389,14.4003,20.1844,332500000,N/A,1330000000,25000000,0,100000000,49.0763,7.6951,9.1238,N/A,
600767.SH,运盛医疗,1996-11-22,3.524,3.5187,3.7068,3.4975,3.7068,3452900,47046909,0.1828,5.188,13.6253,13.8116,349750000,N/A,1399000000,25000000,0,100000000,51.6223,8.0944,9.5971,N/A,
600767.SH,运盛医疗,1996-11-25,3.7068,3.7624,3.8817,3.7094,3.7916,3098600,44391870,0.0848,2.2873,14.3264,12.3944,357750000,N/A,1431000000,25000000,0,100000000,52.8031,8.2795,9.8166,N/A,
600767.SH,运盛医疗,1996-11-26,3.7916,3.8419,3.8552,3.6432,3.6856,1980900,27710475,-0.106,-2.7952,13.9888,7.9236,347750000,N/A,1391000000,25000000,0,100000000,51.3271,8.0481,9.5422,N/A,
600767.SH,运盛医疗,1996-11-27,3.6856,3.7306,3.7889,3.6564,3.7041,1432700,20125433,0.0185,0.5032,14.0472,5.7308,349500000,N/A,1398000000,25000000,0,100000000,51.5854,8.0886,9.5902,N/A,
600767.SH,运盛医疗,1996-11-28,3.7041,3.7094,3.879,3.7041,3.7624,1995100,28558290,0.0583,1.5737,14.3142,7.9804,355000000,N/A,1420000000,25000000,0,100000000,52.3972,8.2159,9.7411,N/A,
600767.SH,运盛医疗,1996-11-29,3.7624,3.7545,3.9691,3.7386,3.9002,2530700,37112364,0.1378,3.662,14.6649,10.1228,368000000,N/A,1472000000,25000000,0,100000000,54.316,8.5167,10.0979,N/A,
600767.SH,运盛医疗,1996-12-02,3.9002,4.0539,4.3321,4.0539,4.2738,3726300,59554464,0.3736,9.5788,15.9822,14.9052,403250000,N/A,1613000000,25000000,0,100000000,59.5188,9.3325,11.0651,N/A,
600767.SH,运盛医疗,1996-12-03,4.2738,4.3718,4.3957,4.0804,4.0857,2937900,47087752,-0.1881,-4.4017,16.0277,11.7516,385500000,N/A,1542000000,25000000,0,100000000,56.8989,8.9217,10.5781,N/A,
