´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
600449.SH,ÄþÏÄ½¨²Ä,2003-08-29,N/A,2.1742,2.3159,2.1742,2.2668,21774456,170115546,N/A,N/A,7.8126,45.3635,376320000,N/A,964320000,48000000,0,123000000,38.082,5.8763,4.4017,-17.2172,
600449.SH,ÄþÏÄ½¨²Ä,2003-09-01,2.2668,2.2523,2.4489,2.2089,2.4171,13638792,109604651,0.1503,6.6327,8.0362,28.4142,401280000,N/A,1028280000,48000000,0,123000000,40.6079,6.266,4.6937,-18.3592,
600449.SH,ÄþÏÄ½¨²Ä,2003-09-02,2.4171,2.394,2.4142,2.3361,2.3477,9381235,76847948,-0.0694,-2.8708,8.1917,19.5442,389760000,N/A,998760000,48000000,0,123000000,39.4421,6.0861,4.5589,-17.8321,
600449.SH,ÄþÏÄ½¨²Ä,2003-09-03,2.3477,2.3304,2.3477,2.2899,2.3159,4312750,34521894,-0.0318,-1.3547,8.0046,8.9849,384480000,N/A,985230000,48000000,0,123000000,38.9078,6.0037,4.4972,-17.5906,
600449.SH,ÄþÏÄ½¨²Ä,2003-09-04,2.3159,2.3246,2.3708,2.3072,2.3188,3963289,32093663,0.0029,0.1248,8.0977,8.2569,384960000,N/A,986460000,48000000,0,123000000,38.9564,6.0112,4.5028,-17.6125,
600449.SH,ÄþÏÄ½¨²Ä,2003-09-05,2.3188,2.313,2.3188,2.2494,2.261,3420526,26991357,-0.0578,-2.4938,7.891,7.1261,375360000,N/A,961860000,48000000,0,123000000,37.9849,5.8613,4.3905,-17.1733,
600449.SH,ÄþÏÄ½¨²Ä,2003-09-08,2.261,2.2552,2.2928,2.2407,2.2668,1392972,10920945,0.0058,0.2558,7.84,2.902,376320000,N/A,964320000,48000000,0,123000000,38.082,5.8763,4.4017,-17.2172,
600449.SH,ÄþÏÄ½¨²Ä,2003-09-09,2.2668,2.2668,2.2841,2.2234,2.2321,1274508,9897292,-0.0347,-1.5306,7.7656,2.6552,370560000,N/A,949560000,48000000,0,123000000,37.4991,5.7863,4.3343,-16.9537,
600449.SH,ÄþÏÄ½¨²Ä,2003-09-10,2.2321,2.2234,2.2696,2.2205,2.2436,1116097,8682587,0.0116,0.5181,7.7794,2.3252,372480000,N/A,954480000,48000000,0,123000000,37.6934,5.8163,4.3568,-17.0416,
600449.SH,ÄþÏÄ½¨²Ä,2003-09-11,2.2436,2.2436,2.261,2.2234,2.2436,781158,6060565,0,0,7.7584,1.6274,372480000,N/A,954480000,48000000,0,123000000,37.6934,5.8163,4.3568,-17.0416,
