´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
600316.SH,ºé¶¼º½¿Õ,2000-12-15,N/A,5.7186,5.8105,5.0911,5.1486,29312146,689094162,N/A,N/A,23.5088,48.8536,1344000000,N/A,3136000000,60000000,0,140000000,104.3373,25.4799,11.6442,N/A,
600316.SH,ºé¶¼º½¿Õ,2000-12-18,5.1486,5.0566,5.0566,4.7348,4.7854,5893999,123652671,-0.3632,-7.0536,20.9794,9.8233,1249200000,N/A,2914800000,60000000,0,140000000,96.9778,23.6826,10.8229,N/A,
600316.SH,ºé¶¼º½¿Õ,2000-12-19,4.7854,4.7992,4.8727,4.7578,4.7877,2541465,53185196,0.0023,0.048,20.927,4.2358,1249800000,N/A,2916200000,60000000,0,140000000,97.0244,23.694,10.8281,N/A,
600316.SH,ºé¶¼º½¿Õ,2000-12-20,4.7877,4.8107,5.0566,4.7923,4.9992,4378907,94358863,0.2115,4.4167,21.5485,7.2982,1305000000,N/A,3045000000,60000000,0,140000000,101.3097,24.7405,11.3063,N/A,
600316.SH,ºé¶¼º½¿Õ,2000-12-21,4.9992,4.9992,5.0061,4.8727,4.8796,2211485,47348238,-0.1195,-2.3908,21.4102,3.6858,1273800000,N/A,2972200000,60000000,0,140000000,98.8876,24.149,11.036,N/A,
600316.SH,ºé¶¼º½¿Õ,2000-12-22,4.8796,4.8727,4.8727,4.7808,4.79,1711427,35829072,-0.0896,-1.837,20.9352,2.8524,1250400000,N/A,2917600000,60000000,0,140000000,97.071,23.7054,10.8333,N/A,
600316.SH,ºé¶¼º½¿Õ,2000-12-25,4.79,4.7808,4.7808,4.6843,4.6866,1890215,38889543,-0.1034,-2.1593,20.5741,3.1504,1223400000,N/A,2854600000,60000000,0,140000000,94.9749,23.1935,10.5993,N/A,
600316.SH,ºé¶¼º½¿Õ,2000-12-26,4.6866,4.6889,4.8038,4.6866,4.8038,1197512,24678123,0.1172,2.5012,20.6078,1.9959,1254000000,N/A,2926000000,60000000,0,140000000,97.3504,23.7736,10.8644,N/A,
600316.SH,ºé¶¼º½¿Õ,2000-12-27,4.8038,4.8222,4.8475,4.7371,4.7578,909700,18876913,-0.046,-0.9569,20.7507,1.5162,1242000000,N/A,2898000000,60000000,0,140000000,96.4189,23.5461,10.7605,N/A,
600316.SH,ºé¶¼º½¿Õ,2000-12-28,4.7578,4.7371,4.8268,4.7004,4.7555,774914,16053060,-0.0023,-0.0483,20.7159,1.2915,1241400000,N/A,2896600000,60000000,0,140000000,96.3723,23.5348,10.7553,N/A,
600316.SH,ºé¶¼º½¿Õ,2000-12-29,4.7555,4.7808,4.8498,4.7348,4.8038,1000431,20904645,0.0483,1.015,20.8956,1.6674,1254000000,N/A,2926000000,60000000,0,140000000,97.3504,23.7736,10.8644,N/A,
600316.SH,ºé¶¼º½¿Õ,2001-01-02,4.8038,4.8038,4.9118,4.7923,4.8957,1775696,37405172,0.0919,1.9139,21.0651,2.9595,1278000000,N/A,2982000000,60000000,0,140000000,72.6189,2.9412,10.3286,3.0815,
600316.SH,ºé¶¼º½¿Õ,2001-01-03,4.8957,4.8957,4.9164,4.8337,4.8957,1425784,30222980,0,0,21.1974,2.3763,1278000000,N/A,2982000000,60000000,0,140000000,72.6189,2.9412,10.3286,3.0815,
600316.SH,ºé¶¼º½¿Õ,2001-01-04,4.8957,4.898,5.0038,4.8498,4.9463,2497215,53705922,0.0506,1.0329,21.5063,4.162,1291200000,N/A,3012800000,60000000,0,140000000,73.3689,2.9715,10.4352,3.1134,
600316.SH,ºé¶¼º½¿Õ,2001-01-05,4.9463,4.9716,5.1003,4.9716,5.0773,2849725,62662827,0.131,2.6487,21.9891,4.7495,1325400000,N/A,3092600000,60000000,0,140000000,75.3122,3.0502,10.7116,3.1958,
600316.SH,ºé¶¼º½¿Õ,2001-01-08,5.0773,5.0681,5.0888,4.944,4.9785,1599912,34828096,-0.0988,-1.9466,21.7688,2.6665,1299600000,N/A,3032400000,60000000,0,140000000,73.8462,2.9909,10.5031,3.1336,
600316.SH,ºé¶¼º½¿Õ,2001-01-09,4.9785,4.9647,5.0061,4.8842,4.9371,912061,19616236,-0.0414,-0.831,21.5076,1.5201,1288800000,N/A,3007200000,60000000,0,140000000,73.2325,2.966,10.4158,3.1076,
600316.SH,ºé¶¼º½¿Õ,2001-01-10,4.9371,4.9371,4.9946,4.9371,4.9831,870431,18827602,0.046,0.9311,21.6302,1.4507,1300800000,N/A,3035200000,60000000,0,140000000,73.9144,2.9936,10.5128,3.1365,
