¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
600651.SH,∑…¿÷“ÙœÏ,1990-12-19,N/A,0.0552,0.0552,0.0552,0.0552,N/A,N/A,N/A,N/A,N/A,N/A,10550041.4,N/A,10550041.4,32938,0,32938,N/A,N/A,N/A,N/A,
600651.SH,∑…¿÷“ÙœÏ,1990-12-20,0.0552,0.0552,0.0552,0.0552,0.0552,N/A,N/A,0,0,N/A,N/A,10550041.4,N/A,10550041.4,32938,0,32938,N/A,N/A,N/A,N/A,
600651.SH,∑…¿÷“ÙœÏ,1990-12-21,0.0552,0.058,0.058,0.058,0.058,100,1000,0.0028,4.9953,10,0.3036,11077049.4,N/A,11077049.4,32938,0,32938,N/A,N/A,N/A,N/A,
600651.SH,∑…¿÷“ÙœÏ,1990-12-24,0.058,0.058,0.0609,0.058,0.0609,1700,23000,0.0029,5.0253,13.5294,5.1612,11633701.6,N/A,11633701.6,32938,0,32938,N/A,N/A,N/A,N/A,
600651.SH,∑…¿÷“ÙœÏ,1990-12-25,0.0609,0.0609,0.0609,0.0609,0.0609,N/A,N/A,0,0,N/A,N/A,11633701.6,N/A,11633701.6,32938,0,32938,N/A,N/A,N/A,N/A,
600651.SH,∑…¿÷“ÙœÏ,1990-12-26,0.0609,0.0671,0.0671,0.0671,0.0671,400,6000,0.0063,10.2775,15,1.2144,12829351,N/A,12829351,32938,0,32938,N/A,N/A,N/A,N/A,
600651.SH,∑…¿÷“ÙœÏ,1990-12-27,0.0671,0.0678,0.0678,0.0678,0.0678,6600,104000,0.0007,1.0013,15.7576,20.0376,12957809.2,N/A,12957809.2,32938,0,32938,N/A,N/A,N/A,N/A,
600651.SH,∑…¿÷“ÙœÏ,1990-12-28,0.0678,0.0685,0.0685,0.0685,0.0685,3000,48000,0.0007,0.9914,16,9.108,13086267.4,N/A,13086267.4,32938,0,32938,N/A,N/A,N/A,N/A,
600651.SH,∑…¿÷“ÙœÏ,1990-12-31,0.0685,0.0692,0.0692,0.0692,0.0692,1000,16000,0.0007,1.0068,16,3.036,13218019.4,N/A,13218019.4,32938,0,32938,N/A,N/A,N/A,N/A,
600651.SH,∑…¿÷“ÙœÏ,1991-01-02,0.0692,0.0699,0.0699,0.0699,0.0699,1000,21,0.0007,0.9968,0.021,3.036,13349771.4,N/A,13349771.4,32938,0,32938,27.3243,6.2073,1.3243,N/A,
