¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
600804.SH,≈Ù≤© ø,1994-01-03,N/A,0.9612,0.9676,0.8612,0.8625,1276600,9124000,N/A,N/A,7.1471,2.5547,336298100,N/A,546341400,49970000,0,81180000,16.6799,2.4682,2.0207,N/A,
600804.SH,≈Ù≤© ø,1994-01-04,0.8625,0.833,0.833,0.751,0.7907,989900,6046000,-0.0718,-8.321,6.1077,1.981,308314900,N/A,500880600,49970000,0,81180000,15.292,2.2628,1.8525,N/A,
600804.SH,≈Ù≤© ø,1994-01-05,0.7907,0.7754,0.801,0.7689,0.7984,679200,4145000,0.0077,0.9724,6.1028,1.3592,311313100,N/A,505751400,49970000,0,81180000,15.4407,2.2848,1.8705,N/A,
600804.SH,≈Ù≤© ø,1994-01-06,0.7984,0.792,0.833,0.7754,0.833,748100,4677000,0.0346,4.3339,6.2518,1.4971,324805000,N/A,527670000,49970000,0,81180000,16.1099,2.3838,1.9516,N/A,
600804.SH,≈Ù≤© ø,1994-01-07,0.833,0.8266,0.8433,0.8074,0.8433,634200,4094000,0.0103,1.2308,6.4554,1.2692,328802600,N/A,534164400,49970000,0,81180000,16.3082,2.4131,1.9756,N/A,
600804.SH,≈Ù≤© ø,1994-01-10,0.8433,0.8202,0.8587,0.8202,0.8587,685400,4519000,0.0154,1.8237,6.5932,1.3716,334799000,N/A,543906000,49970000,0,81180000,16.6056,2.4571,2.0116,N/A,
600804.SH,≈Ù≤© ø,1994-01-11,0.8587,0.8458,0.8458,0.8253,0.8266,298300,1942000,-0.032,-3.7313,6.5102,0.597,322306500,N/A,523611000,49970000,0,81180000,15.986,2.3655,1.9366,N/A,
600804.SH,≈Ù≤© ø,1994-01-12,0.8266,0.8202,0.8215,0.8074,0.8215,295700,1883000,-0.0051,-0.6202,6.3679,0.5918,320307700,N/A,520363800,49970000,0,81180000,15.8868,2.3508,1.9246,N/A,
600804.SH,≈Ù≤© ø,1994-01-13,0.8215,0.8215,0.8433,0.8138,0.833,496800,3220000,0.0115,1.4041,6.4815,0.9942,324805000,N/A,527670000,49970000,0,81180000,16.1099,2.3838,1.9516,N/A,
600804.SH,≈Ù≤© ø,1994-01-14,0.833,0.833,0.8446,0.7689,0.7805,675200,4210000,-0.0525,-6.3077,6.2352,1.3512,304317300,N/A,494386200,49970000,0,81180000,15.0937,2.2334,1.8285,N/A,
