測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
600510.SH,窪警竣,2002-06-18,N/A,3.4497,3.7525,3.4267,3.5685,16702855,314305840,N/A,N/A,18.8175,43.9549,707560000,N/A,2720821432,38000000,0,146123600,31.2561,12.1778,3.0896,-103.6819,
600510.SH,窪警竣,2002-06-19,3.5685,3.5551,3.6701,3.5225,3.5973,5754292,107770227,0.0287,0.8056,18.7287,15.1429,713260000,N/A,2742739972,38000000,0,146123600,31.5079,12.2759,3.1144,-104.5171,
600510.SH,窪警竣,2002-06-20,3.5973,3.5839,3.6567,3.5762,3.5992,3155663,59443527,0.0019,0.0533,18.8371,8.3044,713640000,N/A,2744201208,38000000,0,146123600,31.5247,12.2825,3.1161,-104.5728,
600510.SH,窪警竣,2002-06-21,3.5992,3.6088,3.7238,3.5839,3.6893,5415585,103518675,0.0901,2.5027,19.115,14.2515,731500000,N/A,2812879300,38000000,0,146123600,32.3136,12.5899,3.1941,-107.1899,
600510.SH,窪警竣,2002-06-24,3.6893,4.0592,4.0592,4.0208,4.0592,5478517,115942794,0.3699,10.026,21.1632,14.4172,804840000,N/A,3094897848,38000000,0,146123600,35.5534,13.8521,3.5143,-117.9367,
600510.SH,窪警竣,2002-06-25,4.0592,4.1972,4.2738,4.0074,4.1109,8066233,175208295,0.0517,1.2748,21.7212,21.2269,815100000,N/A,3134351220,38000000,0,146123600,36.0066,14.0287,3.5591,-119.4402,
600510.SH,窪警竣,2002-06-26,4.1109,4.0802,4.1473,4.0247,4.0879,2322603,49303724,-0.023,-0.5594,21.2278,6.1121,810540000,N/A,3116816388,38000000,0,146123600,35.8052,13.9502,3.5392,-118.772,
600510.SH,窪警竣,2002-06-27,4.0879,4.0917,4.1109,3.9863,4.0304,1935548,40838737,-0.0575,-1.4065,21.0993,5.0935,799140000,N/A,3072979308,38000000,0,146123600,35.3016,13.754,3.4894,-117.1015,
600510.SH,窪警竣,2002-06-28,4.0304,4.0419,4.063,3.9058,3.9212,2509580,52018229,-0.1092,-2.7104,20.7279,6.6042,777480000,N/A,2989688856,38000000,0,146123600,34.3448,13.3812,3.3949,-113.9275,
600510.SH,窪警竣,2002-07-01,3.9212,3.925,3.9691,3.902,3.9193,853390,17500953,-0.0019,-0.0489,20.5076,2.2458,777100000,N/A,2988227620,38000000,0,146123600,34.328,13.3747,3.3932,-113.8719,
600510.SH,窪警竣,2002-07-02,3.9193,3.9097,3.9672,3.8656,3.9672,748519,15329951,0.0479,1.2225,20.4804,1.9698,786600000,N/A,3024758520,38000000,0,146123600,34.7476,13.5382,3.4347,-115.2639,
600510.SH,窪警竣,2002-07-03,3.9672,3.9768,3.994,3.9346,3.948,497153,10279469,-0.0192,-0.4831,20.6767,1.3083,782800000,N/A,3010146160,38000000,0,146123600,34.5798,13.4728,3.4181,-114.7071,
600510.SH,窪警竣,2002-07-04,3.948,3.9499,4.0419,3.9499,4.0017,1416991,29596072,0.0537,1.3592,20.8866,3.7289,793440000,N/A,3051060768,38000000,0,146123600,35.0498,13.6559,3.4646,-116.2662,
600510.SH,窪警竣,2002-07-05,4.0017,3.9691,4.1742,3.9672,4.063,2079233,44399637,0.0613,1.5326,21.3539,5.4717,805600000,N/A,3097820320,38000000,0,146123600,35.587,13.8652,3.5176,-118.0481,
600510.SH,窪警竣,2002-07-08,4.063,4.0822,4.1358,4.0438,4.0687,586346,12470978,0.0057,0.1415,21.269,1.543,806740000,N/A,3102204028,38000000,0,146123600,35.6373,13.8848,3.5226,-118.2151,
600510.SH,窪警竣,2002-07-09,4.0687,4.0726,4.109,4.0093,4.0132,554495,11726557,-0.0556,-1.366,21.1482,1.4592,795720000,N/A,3059828184,38000000,0,146123600,35.1505,13.6952,3.4745,-116.6003,
600510.SH,窪警竣,2002-07-10,4.0132,4.0093,4.0515,3.948,3.9672,741389,15425161,-0.046,-1.1461,20.8058,1.951,786600000,N/A,3024758520,38000000,0,146123600,34.7476,13.5382,3.4347,-115.2639,
600510.SH,窪警竣,2002-07-11,3.9672,3.9576,3.9863,3.9288,3.9576,507323,10483654,-0.0096,-0.2415,20.6647,1.3351,784700000,N/A,3017452340,38000000,0,146123600,34.6637,13.5055,3.4264,-114.9855,
600510.SH,窪警竣,2002-07-12,3.9576,3.9576,3.9959,3.9384,3.9672,309185,6387736,0.0096,0.2421,20.6599,0.8136,786600000,N/A,3024758520,38000000,0,146123600,34.7476,13.5382,3.4347,-115.2639,
600510.SH,窪警竣,2002-07-15,3.9672,3.9633,3.9653,3.8771,3.8828,457498,9351169,-0.0843,-2.1256,20.4398,1.2039,769880000,N/A,2960464136,38000000,0,146123600,34.009,13.2504,3.3617,-112.8139,
600510.SH,窪警竣,2002-07-16,3.8828,3.8809,3.9135,3.8311,3.8656,646265,13020097,-0.0172,-0.4442,20.1467,1.7007,766460000,N/A,2947313012,38000000,0,146123600,33.858,13.1916,3.3467,-112.3127,
600510.SH,窪警竣,2002-07-17,3.8656,3.8713,3.8733,3.7755,3.8388,718847,14280646,-0.0268,-0.6941,19.866,1.8917,761140000,N/A,2926855708,38000000,0,146123600,33.623,13.1,3.3235,-111.5332,
