´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
600196.SH,¸´ÐÇÒ½Ò©,1998-08-07,N/A,1.8937,1.9316,1.7877,1.871,33911900,830343401,N/A,N/A,24.4853,75.3598,1111500000,N/A,3722290000,45000000,0,150700000,103.3183,36.9584,19.555,N/A,
600196.SH,¸´ÐÇÒ½Ò©,1998-08-10,1.871,1.8634,1.9505,1.8392,1.8483,10086200,251848091,-0.0227,-1.2146,24.9696,22.4138,1098000000,N/A,3677080000,45000000,0,150700000,102.0634,36.5095,19.3175,N/A,
600196.SH,¸´ÐÇÒ½Ò©,1998-08-11,1.8483,1.8407,1.8763,1.6635,1.6741,9303100,215718341,-0.1742,-9.4262,23.1878,20.6736,994500000,N/A,3330470000,45000000,0,150700000,92.4427,33.0681,17.4966,N/A,
600196.SH,¸´ÐÇÒ½Ò©,1998-08-12,1.6741,1.6665,1.7862,1.6445,1.7536,6154100,139518286,0.0795,4.7511,22.6708,13.6758,1041750000,N/A,3488705000,45000000,0,150700000,96.8347,34.6392,18.3279,N/A,
600196.SH,¸´ÐÇÒ½Ò©,1998-08-13,1.7536,1.7513,1.824,1.7294,1.7483,5091500,119777317,-0.0053,-0.3024,23.525,11.3144,1038600000,N/A,3478156000,45000000,0,150700000,96.5419,34.5344,18.2724,N/A,
600196.SH,¸´ÐÇÒ½Ò©,1998-08-14,1.7483,1.7347,1.765,1.6347,1.6574,4503000,100257421,-0.0909,-5.1993,22.2646,10.0067,984600000,N/A,3297316000,45000000,0,150700000,91.5224,32.7389,17.3224,N/A,
600196.SH,¸´ÐÇÒ½Ò©,1998-08-17,1.6574,1.6286,1.6551,1.5165,1.5589,4435200,91563118,-0.0985,-5.9415,20.6446,9.856,926100000,N/A,3101406000,45000000,0,150700000,86.0846,30.7937,16.2932,N/A,
600196.SH,¸´ÐÇÒ½Ò©,1998-08-18,1.5589,1.5529,1.6975,1.5377,1.6968,4591200,98575289,0.1379,8.8435,21.4705,10.2027,1008000000,N/A,3375680000,45000000,0,150700000,93.6975,33.517,17.7341,N/A,
600196.SH,¸´ÐÇÒ½Ò©,1998-08-19,1.6968,1.6892,1.7498,1.6604,1.7119,3382800,76198734,0.0151,0.8929,22.5253,7.5173,1017000000,N/A,3405820000,45000000,0,150700000,94.5341,33.8162,17.8924,N/A,
600196.SH,¸´ÐÇÒ½Ò©,1998-08-20,1.7119,1.7119,1.7384,1.665,1.696,2097500,46943043,-0.0159,-0.9292,22.3805,4.6611,1007550000,N/A,3374173000,45000000,0,150700000,93.6557,33.502,17.7262,N/A,
