代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600250.SH,南纺股份,2001-03-06,N/A,6.3128,6.4383,6.2169,6.3387,36145740,618476028,N/A,N/A,17.1106,65.7195,944900000,N/A,2279146904,55000000,0,132662800,59.6275,12.4688,0.9056,59.3571,
600250.SH,南纺股份,2001-03-07,6.3387,6.3387,6.4346,6.3128,6.3387,5409164,93352851,0,0,17.2583,9.8348,944900000,N/A,2279146904,55000000,0,132662800,59.6275,12.4688,0.9056,59.3571,
600250.SH,南纺股份,2001-03-08,6.3387,6.3423,6.3645,6.239,6.2722,3684275,62812854,-0.0664,-1.0477,17.0489,6.6987,935000000,N/A,2255267600,55000000,0,132662800,59.0028,12.3382,0.8961,58.7352,
600250.SH,南纺股份,2001-03-09,6.2722,6.3276,6.3387,6.1911,6.1984,3567337,60389868,-0.0738,-1.1765,16.9286,6.4861,924000000,N/A,2228735040,55000000,0,132662800,58.3086,12.1931,0.8856,58.0442,
600250.SH,南纺股份,2001-03-12,6.1984,6.1911,6.2501,6.1099,6.239,3145924,52487568,0.0406,0.6548,16.6843,5.7199,930050000,N/A,2243327948,55000000,0,132662800,58.6904,12.2729,0.8914,58.4243,
600250.SH,南纺股份,2001-03-13,6.239,6.2317,6.287,6.1837,6.2353,1269833,21478878,-0.0037,-0.0591,16.9147,2.3088,929500000,N/A,2242001320,55000000,0,132662800,58.6557,12.2656,0.8908,58.3897,
600250.SH,南纺股份,2001-03-14,6.2353,6.2353,6.3276,6.2206,6.3165,1457898,24835213,0.0812,1.3018,17.0349,2.6507,941600000,N/A,2271187136,55000000,0,132662800,59.4193,12.4253,0.9024,59.1498,
600250.SH,南纺股份,2001-03-15,6.3165,6.3165,6.3276,6.2612,6.2759,1668083,28420608,-0.0406,-0.6425,17.0379,3.0329,935550000,N/A,2256594228,55000000,0,132662800,59.0375,12.3455,0.8966,58.7698,
600250.SH,南纺股份,2001-03-16,6.2759,6.2759,6.3423,6.2353,6.3387,1470636,25065082,0.0627,0.9994,17.0437,2.6739,944900000,N/A,2279146904,55000000,0,132662800,59.6275,12.4688,0.9056,59.3571,
600250.SH,南纺股份,2001-03-19,6.3387,6.3387,6.3645,6.2907,6.3128,1193078,20446888,-0.0258,-0.4075,17.1379,2.1692,941050000,N/A,2269860508,55000000,0,132662800,59.3846,12.418,0.9019,59.1153,
600250.SH,南纺股份,2001-03-20,6.3128,6.3054,6.3645,6.2649,6.3091,1262159,21536529,-0.0037,-0.0584,17.0632,2.2948,940500000,N/A,2268533880,55000000,0,132662800,59.3499,12.4108,0.9014,59.0807,
600250.SH,南纺股份,2001-03-21,6.3091,6.3165,6.4383,6.3091,6.4014,2265021,39172916,0.0922,1.462,17.2947,4.1182,954250000,N/A,2301699580,55000000,0,132662800,60.2176,12.5922,0.9146,59.9445,
600250.SH,南纺股份,2001-03-22,6.4014,6.4051,6.4752,6.3682,6.4088,1904835,33134055,0.0074,0.1153,17.3947,3.4633,955350000,N/A,2304352836,55000000,0,132662800,60.287,12.6067,0.9156,60.0136,
600250.SH,南纺股份,2001-03-23,6.4088,6.4198,6.4198,6.2796,6.2907,1650965,28388598,-0.1181,-1.8423,17.1952,3.0018,937750000,N/A,2261900740,55000000,0,132662800,59.1763,12.3745,0.8988,58.908,
600250.SH,南纺股份,2001-03-26,6.2907,6.2649,6.3755,6.2649,6.346,797603,13697424,0.0553,0.8798,17.1732,1.4502,946000000,N/A,2281800160,55000000,0,132662800,59.6969,12.4834,0.9067,59.4262,
600250.SH,南纺股份,2001-03-27,6.346,6.3497,6.4309,6.3276,6.4014,1608730,27836872,0.0553,0.8721,17.3036,2.925,954250000,N/A,2301699580,55000000,0,132662800,60.2176,12.5922,0.9146,59.9445,
600250.SH,南纺股份,2001-03-28,6.4014,6.3977,6.3977,6.3387,6.3497,897760,15495361,-0.0517,-0.8069,17.26,1.6323,946550000,N/A,2283126788,55000000,0,132662800,59.7317,12.4906,0.9072,59.4608,
600250.SH,南纺股份,2001-03-29,6.3497,6.3571,6.4678,6.3387,6.4235,2065655,35891714,0.0738,1.1621,17.3755,3.7557,957550000,N/A,2309659348,55000000,0,132662800,60.4258,12.6358,0.9177,60.1518,
600250.SH,南纺股份,2001-03-30,6.4235,6.453,6.5453,6.4198,6.5084,2722604,47972366,0.0849,1.3211,17.62,4.9502,970200000,N/A,2340171792,55000000,0,132662800,61.2241,12.8027,0.9299,60.9464,
600250.SH,南纺股份,2001-04-02,6.5084,6.5305,6.6264,6.5231,6.549,2887511,51443077,0.0406,0.6236,17.8157,5.25,976250000,N/A,2354764700,55000000,0,132662800,61.6059,12.8825,0.9357,61.3265,
600250.SH,南纺股份,2001-04-03,6.549,6.5563,6.5674,6.4567,6.5305,1524800,26942945,-0.0184,-0.2817,17.6698,2.7724,973500000,N/A,2348131560,55000000,0,132662800,61.4323,12.8463,0.933,61.1537,
600250.SH,南纺股份,2001-04-04,6.5305,6.5231,6.5305,6.3829,6.4051,2177042,38192506,-0.1254,-1.9209,17.5433,3.9583,954800000,N/A,2303026208,55000000,0,132662800,60.2523,12.5995,0.9151,59.979,
600250.SH,南纺股份,2001-04-05,6.4051,6.3903,6.549,6.3866,6.5416,1455563,25583543,0.1365,2.1313,17.5764,2.6465,975150000,N/A,2352111444,55000000,0,132662800,61.5364,12.868,0.9346,61.2574,
600250.SH,南纺股份,2001-04-06,6.5416,6.549,6.5895,6.5157,6.56,1302988,23133364,0.0184,0.282,17.7541,2.3691,977900000,N/A,2358744584,55000000,0,132662800,61.71,12.9043,0.9372,61.4301,
600250.SH,南纺股份,2001-04-09,6.56,6.5563,6.6043,6.5194,6.5932,1187183,21068368,0.0332,0.5062,17.7465,2.1585,982850000,N/A,2370684236,55000000,0,132662800,62.0224,12.9696,0.942,61.7411,
