測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
600983.SH,需奧ひ,2004-07-27,N/A,2.0432,2.1353,1.9302,2.0432,49753789,242485523,N/A,N/A,4.8737,58.5339,414800000,N/A,1625040000,85000000,0,333000000,45.8497,5.333,5.1828,-57.9388,
600983.SH,需奧ひ,2004-07-28,2.0432,2.0139,2.1856,2.0097,2.1646,35377402,176904534,0.1214,5.9426,5.0005,41.6205,439450000,N/A,1721610000,85000000,0,333000000,48.5743,5.6499,5.4908,-61.3819,
600983.SH,需奧ひ,2004-07-29,2.1646,2.1521,2.1646,2.1102,2.1563,19913156,101669047,-0.0084,-0.3868,5.1056,23.4272,437750000,N/A,1714950000,85000000,0,333000000,48.3864,5.628,5.4696,-61.1445,
600983.SH,需奧ひ,2004-07-30,2.1563,2.1604,2.1856,2.0641,2.0809,18833612,94783191,-0.0754,-3.4951,5.0327,22.1572,422450000,N/A,1655010000,85000000,0,333000000,46.6953,5.4313,5.2784,-59.0074,
600983.SH,需奧ひ,2004-08-02,2.0809,2.0683,2.0851,2.0139,2.0725,9394986,45996240,-0.0084,-0.4024,4.8958,11.0529,420750000,N/A,1648350000,85000000,0,333000000,46.5073,5.4095,5.2571,-58.7699,
600983.SH,需奧ひ,2004-08-03,2.0725,2.0516,2.0893,2.0432,2.0809,6444267,31890468,0.0084,0.404,4.9487,7.5815,422450000,N/A,1655010000,85000000,0,333000000,46.6953,5.4313,5.2784,-59.0074,
600983.SH,需奧ひ,2004-08-04,2.0809,2.0767,2.2526,2.0725,2.1856,23797523,123319244,0.1047,5.0302,5.182,27.9971,443700000,N/A,1738260000,85000000,0,333000000,49.0441,5.7045,5.5439,-61.9756,
600983.SH,需奧ひ,2004-08-05,2.1856,2.1688,2.1814,2.1144,2.1186,11921389,61077223,-0.067,-3.0651,5.1233,14.0252,430100000,N/A,1684980000,85000000,0,333000000,47.5408,5.5297,5.374,-60.0759,
600983.SH,需奧ひ,2004-08-06,2.1186,2.106,2.1437,2.0641,2.1102,7178180,35961666,-0.0084,-0.3953,5.0099,8.4449,428400000,N/A,1678320000,85000000,0,333000000,47.3529,5.5078,5.3527,-59.8385,
600983.SH,需奧ひ,2004-08-09,2.1102,2.0935,2.106,2.0558,2.0893,4041732,20041757,-0.0209,-0.9921,4.9587,4.755,424150000,N/A,1661670000,85000000,0,333000000,46.8832,5.4532,5.2996,-59.2448,
