¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
600346.SH,*STœÀ‹,2001-08-20,N/A,3.0011,3.0011,2.7662,2.8875,26843543,511813373,N/A,N/A,19.0665,69.7235,733425000,N/A,2000250000,38500000,0,105000000,144.8926,15.3647,9.4838,500.6903,
600346.SH,*STœÀ‹,2001-08-21,2.8875,2.8617,2.9193,2.8193,2.8268,7571203,143174940,-0.0606,-2.0997,18.9105,19.6655,718025000,N/A,1958250000,38500000,0,105000000,141.8502,15.042,9.2846,490.1771,
600346.SH,*STœÀ‹,2001-08-22,2.8268,2.8193,2.9072,2.7859,2.886,6425024,120834624,0.0591,2.0912,18.8069,16.6884,733040000,N/A,1999200000,38500000,0,105000000,144.8165,15.3566,9.4788,500.4275,
600346.SH,*STœÀ‹,2001-08-23,2.886,2.8784,2.889,2.8329,2.8556,2586330,48847865,-0.0303,-1.0504,18.8869,6.7177,725340000,N/A,1978200000,38500000,0,105000000,143.2954,15.1953,9.3792,495.1709,
600346.SH,*STœÀ‹,2001-08-24,2.8556,2.8647,2.8784,2.6465,2.6753,6053915,109940955,-0.1804,-6.3163,18.1603,15.7245,679525000,N/A,1853250000,38500000,0,105000000,134.2443,14.2355,8.7868,463.8942,
600346.SH,*STœÀ‹,2001-08-27,2.6753,2.6525,2.7101,2.5949,2.6268,2902897,50827327,-0.0485,-1.813,17.5092,7.54,667205000,N/A,1819650000,38500000,0,105000000,131.8104,13.9774,8.6275,455.4836,
600346.SH,*STœÀ‹,2001-08-28,2.6268,2.6071,2.7647,2.5995,2.7586,2899286,51757327,0.1319,5.0202,17.8517,7.5306,700700000,N/A,1911000000,38500000,0,105000000,138.4276,14.6791,9.0606,478.3498,
600346.SH,*STœÀ‹,2001-08-29,2.7586,2.7586,2.7708,2.6844,2.7056,1676755,30273418,-0.0531,-1.9231,18.0548,4.3552,687225000,N/A,1874250000,38500000,0,105000000,135.7655,14.3968,8.8864,469.1508,
600346.SH,*STœÀ‹,2001-08-30,2.7056,2.7207,2.7814,2.701,2.7374,1234482,22393099,0.0318,1.1765,18.1397,3.2064,695310000,N/A,1896300000,38500000,0,105000000,137.3628,14.5662,8.9909,474.6702,
600346.SH,*STœÀ‹,2001-08-31,2.7374,2.7283,2.7586,2.7101,2.7132,664065,11952563,-0.0243,-0.8859,17.9991,1.7248,689150000,N/A,1879500000,38500000,0,105000000,136.1458,14.4371,8.9112,470.4649,
600346.SH,*STœÀ‹,2001-09-03,2.7132,2.7056,2.7207,2.598,2.6222,1704766,29702183,-0.0909,-3.352,17.423,4.428,666050000,N/A,1816500000,38500000,0,105000000,131.5823,13.9532,8.6125,454.6951,
600346.SH,*STœÀ‹,2001-09-04,2.6222,2.6222,2.7086,2.6192,2.6965,1308483,23084786,0.0743,2.8324,17.6424,3.3987,684915000,N/A,1867950000,38500000,0,105000000,135.3092,14.3484,8.8565,467.5738,
600346.SH,*STœÀ‹,2001-09-05,2.6965,2.7056,2.7556,2.6647,2.6783,1144094,20464286,-0.0182,-0.6745,17.8869,2.9717,680295000,N/A,1855350000,38500000,0,105000000,134.3964,14.2516,8.7967,464.4198,
600346.SH,*STœÀ‹,2001-09-06,2.6783,2.6783,2.7192,2.6601,2.6889,601564,10650769,0.0106,0.3962,17.7051,1.5625,682990000,N/A,1862700000,38500000,0,105000000,134.9289,14.3081,8.8316,466.2596,
