代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600889.SH,南京化纤,1996-03-08,N/A,1.6476,1.8014,1.6476,1.7707,22851300,177020000,N/A,N/A,7.7466,91.4052,201500000,N/A,735305554.62,25000000,0,91228977,31.9632,5.8443,1.9727,N/A,
600889.SH,南京化纤,1996-03-11,1.7707,1.7311,1.7333,1.4609,1.6652,7988600,60934065,-0.1054,-5.9553,7.6276,31.9544,189500000,N/A,691515645.66,25000000,0,91228977,30.0597,5.4963,1.8552,N/A,
600889.SH,南京化纤,1996-03-12,1.6652,1.6257,1.6257,1.5158,1.5598,4663600,33137119,-0.1054,-6.3325,7.1055,18.6544,177500000,N/A,647725736.7,25000000,0,91228977,28.1562,5.1482,1.7378,N/A,
600889.SH,南京化纤,1996-03-13,1.5598,1.5378,1.5905,1.529,1.5664,1791900,12796882,0.0066,0.4225,7.1415,7.1676,178250000,N/A,650462606.01,25000000,0,91228977,28.2751,5.17,1.7451,N/A,
600889.SH,南京化纤,1996-03-14,1.5664,1.5488,1.5773,1.5378,1.551,1452500,10286085,-0.0154,-0.9818,7.0816,5.81,176500000,N/A,644076577.62,25000000,0,91228977,27.9975,5.1192,1.728,N/A,
600889.SH,南京化纤,1996-03-15,1.551,1.5356,1.5686,1.5202,1.5444,1123100,7865168,-0.0066,-0.4249,7.0031,4.4924,175750000,N/A,641339708.31,25000000,0,91228977,27.8786,5.0975,1.7206,N/A,
600889.SH,南京化纤,1996-03-18,1.5444,1.5378,1.5905,1.5378,1.5795,1541000,11063831,0.0351,2.276,7.1796,6.164,179750000,N/A,655936344.63,25000000,0,91228977,28.5131,5.2135,1.7598,N/A,
600889.SH,南京化纤,1996-03-19,1.5795,1.5861,1.5883,1.54,1.5532,1056000,7505455,-0.0264,-1.669,7.1074,4.224,176750000,N/A,644988867.39,25000000,0,91228977,28.0372,5.1265,1.7304,N/A,
600889.SH,南京化纤,1996-03-20,1.5532,1.5686,1.5993,1.551,1.5839,1287700,9262261,0.0308,1.9802,7.1929,5.1508,180250000,N/A,657760924.17,25000000,0,91228977,28.5924,5.228,1.7647,N/A,
600889.SH,南京化纤,1996-03-21,1.5839,1.5817,1.6081,1.5598,1.5686,1477900,10709414,-0.0154,-0.9709,7.2464,5.9116,178500000,N/A,651374895.78,25000000,0,91228977,28.3148,5.1772,1.7476,N/A,
600889.SH,南京化纤,1996-03-22,1.5686,1.5598,1.5773,1.5488,1.5664,822800,5840863,-0.0022,-0.1401,7.0988,3.2912,178250000,N/A,650462606.01,25000000,0,91228977,28.2751,5.17,1.7451,N/A,
600889.SH,南京化纤,1996-03-25,1.5664,1.5729,1.5817,1.551,1.5532,541700,3858151,-0.0132,-0.8415,7.1223,2.1668,176750000,N/A,644988867.39,25000000,0,91228977,28.0372,5.1265,1.7304,N/A,
600889.SH,南京化纤,1996-03-26,1.5532,1.5554,1.5598,1.5312,1.5334,913000,6411652,-0.0198,-1.273,7.0226,3.652,174500000,N/A,636778259.46,25000000,0,91228977,27.6803,5.0612,1.7084,N/A,
600889.SH,南京化纤,1996-03-27,1.5334,1.5158,1.5598,1.4961,1.5598,1162800,8065509,0.0264,1.7192,6.9363,4.6512,177500000,N/A,647725736.7,25000000,0,91228977,28.1562,5.1482,1.7378,N/A,
600889.SH,南京化纤,1996-03-28,1.5598,1.5598,1.5642,1.4961,1.4961,666800,4608812,-0.0637,-4.0845,6.9118,2.6672,170250000,N/A,621269333.37,25000000,0,91228977,27.0061,4.9379,1.6668,N/A,
600889.SH,南京化纤,1996-03-29,1.4961,1.4763,1.4961,1.4521,1.4653,900600,6032810,-0.0308,-2.0558,6.6987,3.6024,166750000,N/A,608497276.59,25000000,0,91228977,26.4509,4.8364,1.6325,N/A,
600889.SH,南京化纤,1996-04-01,1.4653,1.5158,1.551,1.4609,1.4675,934600,6369135,0.0022,0.1499,6.8148,3.7384,167000000,N/A,609409566.36,25000000,0,91228977,26.4906,4.8437,1.635,N/A,
600889.SH,南京化纤,1996-04-02,1.4675,1.4565,1.4675,1.428,1.4323,625700,4112663,-0.0351,-2.3952,6.5729,2.5028,163000000,N/A,594812930.04,25000000,0,91228977,25.8561,4.7277,1.5958,N/A,
600889.SH,南京化纤,1996-04-03,1.4323,1.4236,1.4499,1.4236,1.4323,381800,2493029,0,0,6.5297,1.5272,163000000,N/A,594812930.04,25000000,0,91228977,25.8561,4.7277,1.5958,N/A,
600889.SH,南京化纤,1996-04-04,1.4323,1.4389,1.4389,1.428,1.4367,325100,2121000,0.0044,0.3067,6.5241,1.3004,163500000,N/A,596637509.58,25000000,0,91228977,25.9354,4.7422,1.6007,N/A,
600889.SH,南京化纤,1996-04-05,1.4367,1.4367,1.5026,1.428,1.4829,602200,4035085,0.0461,3.211,6.7006,2.4088,168750000,N/A,615795594.75,25000000,0,91228977,26.7682,4.8944,1.6521,N/A,
