代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600143.SH,金发科技,2004-06-23,N/A,0.9401,0.9791,0.8799,0.9056,24223326,399459039,N/A,N/A,16.4907,53.8296,731700000,N/A,2845500000,45000000,0,175000000,30.7559,9.0958,1.8234,169.5806,
600143.SH,金发科技,2004-06-24,0.9056,0.9078,0.9523,0.8833,0.8911,8077098,131238883,-0.0145,-1.599,16.2483,17.9491,720000000,N/A,2800000000,45000000,0,175000000,30.2641,8.9504,1.7943,166.869,
600143.SH,金发科技,2004-06-25,0.8911,0.8799,0.8911,0.8025,0.8036,9079234,135434672,-0.0874,-9.8125,14.917,20.1761,649350000,N/A,2525250000,45000000,0,175000000,27.2944,8.0721,1.6182,150.495,
600143.SH,金发科技,2004-06-28,0.8036,0.7908,0.802,0.7518,0.7819,4564570,63871897,-0.0217,-2.7027,13.993,10.1435,631800000,N/A,2457000000,45000000,0,175000000,26.5567,7.854,1.5745,146.4276,
600143.SH,金发科技,2004-06-29,0.7819,0.783,0.817,0.7736,0.8103,3740070,53470778,0.0284,3.6325,14.2967,8.3113,654750000,N/A,2546250000,45000000,0,175000000,27.5214,8.1393,1.6317,151.7465,
600143.SH,金发科技,2004-06-30,0.8103,0.8036,0.8103,0.7858,0.7975,3176419,45726617,-0.0128,-1.5808,14.3957,7.0587,644400000,N/A,2506000000,45000000,0,175000000,27.0863,8.0106,1.6059,149.3478,
600143.SH,金发科技,2004-07-01,0.7975,0.7975,0.8215,0.7864,0.8087,2322919,33765446,0.0111,1.3966,14.5358,5.162,653400000,N/A,2541000000,45000000,0,175000000,27.4646,8.1225,1.6283,151.4336,
600143.SH,金发科技,2004-07-02,0.8087,0.8087,0.8087,0.7686,0.7914,2155955,30492217,-0.0173,-2.135,14.1433,4.791,639450000,N/A,2486750000,45000000,0,175000000,26.8783,7.9491,1.5936,148.2005,
600143.SH,金发科技,2004-07-05,0.7914,0.7797,0.7953,0.7741,0.7864,912303,12822045,-0.005,-0.6334,14.0546,2.0273,635400000,N/A,2471000000,45000000,0,175000000,26.708,7.8987,1.5835,147.2619,
600143.SH,金发科技,2004-07-06,0.7864,0.7869,0.8114,0.7842,0.7919,1823281,26202466,0.0056,0.7082,14.3711,4.0517,639900000,N/A,2488500000,45000000,0,175000000,26.8972,7.9547,1.5947,148.3048,
600143.SH,金发科技,2004-07-07,0.7919,0.7892,0.7947,0.783,0.7903,701219,9923326,-0.0017,-0.211,14.1515,1.5583,638550000,N/A,2483250000,45000000,0,175000000,26.8404,7.9379,1.5913,147.992,
600143.SH,金发科技,2004-07-08,0.7903,0.7908,0.8042,0.7842,0.7975,979094,13961469,0.0072,0.9161,14.2596,2.1758,644400000,N/A,2506000000,45000000,0,175000000,27.0863,8.0106,1.6059,149.3478,
600143.SH,金发科技,2004-07-09,0.7975,0.7964,0.8031,0.783,0.788,727454,10313533,-0.0095,-1.1872,14.1776,1.6166,636750000,N/A,2476250000,45000000,0,175000000,26.7648,7.9155,1.5868,147.5748,
600143.SH,金发科技,2004-07-12,0.788,0.7842,0.7842,0.7324,0.7329,3166235,42894029,-0.0551,-6.9965,13.5473,7.0361,592200000,N/A,2303000000,45000000,0,175000000,24.8922,7.3617,1.4758,137.2498,
600143.SH,金发科技,2004-07-13,0.7329,0.7329,0.7402,0.719,0.7207,1480494,19283804,-0.0123,-1.6717,13.0252,3.29,582300000,N/A,2264500000,45000000,0,175000000,24.4761,7.2386,1.4511,134.9553,
600143.SH,金发科技,2004-07-14,0.7207,0.7184,0.7212,0.6856,0.7028,1840449,23076577,-0.0178,-2.473,12.5386,4.0899,567900000,N/A,2208500000,45000000,0,175000000,23.8708,7.0596,1.4152,131.6179,
600143.SH,金发科技,2004-07-15,0.7028,0.6973,0.7229,0.6973,0.7184,1005528,12843975,0.0156,2.2187,12.7734,2.2345,580500000,N/A,2257500000,45000000,0,175000000,24.4004,7.2163,1.4466,134.5381,
600143.SH,金发科技,2004-07-16,0.7184,0.7179,0.7663,0.7112,0.7563,2088118,28083326,0.0379,5.2713,13.4491,4.6403,611100000,N/A,2376500000,45000000,0,175000000,25.6866,7.5967,1.5229,141.6301,
600143.SH,金发科技,2004-07-19,0.7563,0.7691,0.7897,0.7674,0.7708,2338767,32695326,0.0145,1.9146,13.9797,5.1973,622800000,N/A,2422000000,45000000,0,175000000,26.1784,7.7421,1.5521,144.3417,
600143.SH,金发科技,2004-07-20,0.7708,0.7713,0.7741,0.7602,0.7641,770809,10618420,-0.0067,-0.8671,13.7757,1.7129,617400000,N/A,2401000000,45000000,0,175000000,25.9514,7.675,1.5386,143.0902,
600143.SH,金发科技,2004-07-21,0.7641,0.7635,0.7702,0.7591,0.7613,448341,6151121,-0.0028,-0.3644,13.7197,0.9963,615150000,N/A,2392250000,45000000,0,175000000,25.8569,7.647,1.533,142.5687,
600143.SH,金发科技,2004-07-22,0.7613,0.7641,0.7741,0.7312,0.7351,1093409,14764108,-0.0262,-3.4382,13.5028,2.4298,594000000,N/A,2310000000,45000000,0,175000000,24.9679,7.3841,1.4803,137.6669,
600143.SH,金发科技,2004-07-23,0.7351,0.7285,0.7351,0.7207,0.734,824648,10748080,-0.0011,-0.1515,13.0335,1.8326,593100000,N/A,2306500000,45000000,0,175000000,24.93,7.3729,1.478,137.4583,
600143.SH,金发科技,2004-07-26,0.734,0.724,0.7602,0.7129,0.7474,1010120,13522487,0.0134,1.8209,13.387,2.2447,603900000,N/A,2348500000,45000000,0,175000000,25.384,7.5071,1.505,139.9614,
600143.SH,金发科技,2004-07-27,0.7474,0.7479,0.7518,0.7184,0.7273,677217,8934292,-0.02,-2.6826,13.1927,1.5049,587700000,N/A,2285500000,45000000,0,175000000,24.703,7.3058,1.4646,136.2068,
600143.SH,金发科技,2004-07-28,0.7273,0.7324,0.7474,0.7229,0.7468,642329,8480313,0.0195,2.6799,13.2024,1.4274,603450000,N/A,2346750000,45000000,0,175000000,25.3651,7.5016,1.5038,139.8571,
600143.SH,金发科技,2004-07-29,0.7468,0.7479,0.7647,0.7418,0.7608,919120,12474624,0.0139,1.8643,13.5724,2.0425,614700000,N/A,2390500000,45000000,0,175000000,25.8379,7.6414,1.5319,142.4644,
600143.SH,金发科技,2004-07-30,0.7608,0.7563,0.7563,0.7285,0.7351,846104,11208585,-0.0256,-3.3675,13.2473,1.8802,594000000,N/A,2310000000,45000000,0,175000000,24.9679,7.3841,1.4803,137.6669,
600143.SH,金发科技,2004-08-02,0.7351,0.7296,0.7351,0.7134,0.7257,450672,5866533,-0.0095,-1.2879,13.0173,1.0015,586350000,N/A,2280250000,45000000,0,175000000,24.6463,7.289,1.4612,135.894,
600143.SH,金发科技,2004-08-03,0.7257,0.7257,0.7441,0.724,0.7413,413401,5456184,0.0156,2.1489,13.1983,0.9187,598950000,N/A,2329250000,45000000,0,175000000,25.1759,7.4456,1.4926,138.8142,
600143.SH,金发科技,2004-08-04,0.7413,0.7418,0.7713,0.7413,0.758,1381516,18764303,0.0167,2.2539,13.5824,3.07,612450000,N/A,2381750000,45000000,0,175000000,25.7434,7.6134,1.5263,141.9429,
600143.SH,金发科技,2004-08-05,0.758,0.7602,0.7652,0.7435,0.7452,552280,7491095,-0.0128,-1.6899,13.5639,1.2273,602100000,N/A,2341500000,45000000,0,175000000,25.3083,7.4848,1.5005,139.5442,
600143.SH,金发科技,2004-08-06,0.7452,0.7463,0.7686,0.7424,0.7596,899280,12251838,0.0145,1.9432,13.6241,1.9984,613800000,N/A,2387000000,45000000,0,175000000,25.8001,7.6302,1.5296,142.2558,
600143.SH,金发科技,2004-08-09,0.7596,0.7574,0.7647,0.7407,0.7463,466769,6285531,-0.0134,-1.7595,13.466,1.0373,603000000,N/A,2345000000,45000000,0,175000000,25.3462,7.496,1.5027,139.7528,
600143.SH,金发科技,2004-08-10,0.7463,0.7574,0.763,0.7452,0.7518,175034,2357022,0.0056,0.7463,13.4661,0.389,607500000,N/A,2362500000,45000000,0,175000000,25.5353,7.5519,1.5139,140.7957,
600143.SH,金发科技,2004-08-11,0.7518,0.7257,0.7569,0.7257,0.7262,538200,7079318,-0.0256,-3.4074,13.1537,1.196,586800000,N/A,2282000000,45000000,0,175000000,24.6652,7.2946,1.4623,135.9982,
600143.SH,金发科技,2004-08-12,0.7262,0.724,0.7257,0.7179,0.7234,771150,9987088,-0.0028,-0.3834,12.9509,1.7137,584550000,N/A,2273250000,45000000,0,175000000,24.5706,7.2666,1.4567,135.4768,
600143.SH,金发科技,2004-08-13,0.7234,0.7134,0.7312,0.7134,0.7279,509650,6605053,0.0045,0.6159,12.96,1.1326,588150000,N/A,2287250000,45000000,0,175000000,24.722,7.3114,1.4657,136.3111,
600143.SH,金发科技,2004-08-16,0.7279,0.7268,0.7312,0.6906,0.7034,335722,4250623,-0.0245,-3.3665,12.6611,0.746,568350000,N/A,2210250000,45000000,0,175000000,23.8897,7.0652,1.4164,131.7222,
600143.SH,金发科技,2004-08-17,0.7034,0.7006,0.7079,0.695,0.6989,272932,3433319,-0.0045,-0.6334,12.5794,0.6065,564750000,N/A,2196250000,45000000,0,175000000,23.7384,7.0205,1.4074,130.8879,
600143.SH,金发科技,2004-08-18,0.6989,0.6989,0.7129,0.6962,0.6973,393652,4976997,-0.0017,-0.239,12.6431,0.8748,563400000,N/A,2191000000,45000000,0,175000000,23.6816,7.0037,1.404,130.575,
600143.SH,金发科技,2004-08-19,0.6973,0.6906,0.6962,0.6488,0.6527,1047477,12472198,-0.0446,-6.3898,11.9069,2.3277,527400000,N/A,2051000000,45000000,0,175000000,22.1684,6.5562,1.3143,122.2316,
600143.SH,金发科技,2004-08-20,0.6527,0.641,0.6549,0.641,0.6527,337782,3919051,0,0,11.6023,0.7506,527400000,N/A,2051000000,45000000,0,175000000,22.1684,6.5562,1.3143,122.2316,
600143.SH,金发科技,2004-08-23,0.6527,0.6432,0.6533,0.6304,0.6332,268328,3056404,-0.0195,-2.9863,11.3906,0.5963,511650000,N/A,1989750000,45000000,0,175000000,21.5064,6.3604,1.2751,118.5813,
600143.SH,金发科技,2004-08-24,0.6332,0.6232,0.6449,0.6226,0.6349,375289,4270799,0.0017,0.2639,11.38,0.834,513000000,N/A,1995000000,45000000,0,175000000,21.5631,6.3772,1.2784,118.8942,
600143.SH,金发科技,2004-08-25,0.6349,0.6366,0.6366,0.6193,0.6215,290269,3254922,-0.0134,-2.1053,11.2135,0.645,502200000,N/A,1953000000,45000000,0,175000000,21.1092,6.2429,1.2515,116.3911,
