´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
600432.SH,*ST¼ª¶÷,2003-09-05,N/A,1.7216,2.3859,1.7216,2.0598,40063704,373668691,N/A,N/A,9.3269,66.7728,610200000,N/A,1932300000,60000000,0,190000000,57.5624,10.4684,5.3906,58.6934,
600432.SH,*ST¼ª¶÷,2003-09-08,2.0598,1.9808,2.157,1.9666,2.1489,24803623,252432823,0.0891,4.3265,10.1773,41.3394,636600000,N/A,2015900000,60000000,0,190000000,60.0528,10.9213,5.6238,61.2328,
600432.SH,*ST¼ª¶÷,2003-09-09,2.1489,2.1368,2.1732,2.074,2.1043,13123906,137285858,-0.0446,-2.0735,10.4607,21.8732,623400000,N/A,1974100000,60000000,0,190000000,58.8076,10.6948,5.5072,59.9631,
600432.SH,*ST¼ª¶÷,2003-09-10,2.1043,2.0962,2.2036,2.076,2.1286,13036725,138012363,0.0243,1.155,10.5864,21.7279,630600000,N/A,1996900000,60000000,0,190000000,59.4868,10.8183,5.5708,60.6557,
600432.SH,*ST¼ª¶÷,2003-09-11,2.1286,2.1286,2.1489,2.076,2.0881,6763185,70202478,-0.0405,-1.9029,10.3801,11.272,618600000,N/A,1958900000,60000000,0,190000000,58.3548,10.6125,5.4648,59.5014,
600432.SH,*ST¼ª¶÷,2003-09-12,2.0881,2.078,2.0821,1.9605,1.9869,9884393,97745240,-0.1013,-4.8497,9.8888,16.474,588600000,N/A,1863900000,60000000,0,190000000,55.5248,10.0978,5.1997,56.6158,
600432.SH,*ST¼ª¶÷,2003-09-15,1.9869,1.9889,2.0537,1.9788,2.0314,8756153,87454179,0.0446,2.2426,9.9877,14.5936,601800000,N/A,1905700000,60000000,0,190000000,56.77,10.3242,5.3163,57.8855,
600432.SH,*ST¼ª¶÷,2003-09-16,2.0314,2.0254,2.0497,1.9889,2.0355,4046596,40398012,0.0041,0.1994,9.9832,6.7443,603000000,N/A,1909500000,60000000,0,190000000,56.8832,10.3448,5.3269,58.0009,
600432.SH,*ST¼ª¶÷,2003-09-17,2.0355,2.0355,2.0416,1.8492,1.8917,8965400,85440226,-0.1438,-7.0647,9.53,14.9423,560400000,N/A,1774600000,60000000,0,190000000,52.8645,9.614,4.9506,53.9033,
600432.SH,*ST¼ª¶÷,2003-09-18,1.8917,1.8735,1.8978,1.8188,1.839,6537126,59770284,-0.0527,-2.7837,9.1432,10.8952,544800000,N/A,1725200000,60000000,0,190000000,51.3929,9.3464,4.8128,52.4028,
