´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
601099.SH,Ì«Æ½Ñó,2007-12-28,N/A,24.4374,26.0312,22.0468,22.2699,12222442,540803085,N/A,N/A,44.2467,29.1011,1760640000,N/A,63018895590.08,42000000,0,1503313349,477.6985,108.6204,272.3773,96.3508,
601099.SH,Ì«Æ½Ñó,2008-01-02,22.2699,20.6284,21.7812,20.5327,21.3402,6140985,242440566,-0.9297,-4.1746,39.4791,14.6214,1687140000,N/A,60388097229.33,42000000,0,1503313349,99.1269,29.8199,57.4024,20.9824,
601099.SH,Ì«Æ½Ñó,2008-01-03,21.3402,20.9684,21.1968,20.453,20.8462,3119371,122290791,-0.4941,-2.3152,39.2037,7.4271,1648080000,N/A,58990015814.76,42000000,0,1503313349,96.8319,29.1295,56.0734,20.4966,
601099.SH,Ì«Æ½Ñó,2008-01-04,20.8462,20.8462,22.9287,20.7187,22.9287,5520705,229441968,2.0825,9.9898,41.5603,13.1445,1812720000,N/A,64883004142.84,42000000,0,1503313349,106.5053,32.0395,61.6751,22.5442,
601099.SH,Ì«Æ½Ñó,2008-01-07,22.9287,23.3696,25.2237,23.1146,24.5065,7333079,338846275,1.5778,6.8814,46.2079,17.4597,1937460000,N/A,69347844789.37,42000000,0,1503313349,113.8343,34.2443,65.9191,24.0955,
601099.SH,Ì«Æ½Ñó,2008-01-08,24.5065,24.464,25.0218,23.6937,24.1558,3750764,172246416,-0.3506,-1.4307,45.923,8.9304,1909740000,N/A,68355657979.03,42000000,0,1503313349,112.2056,33.7543,64.976,23.7508,
601099.SH,Ì«Æ½Ñó,2008-01-09,24.1558,23.8743,24.4321,23.683,24.1505,2222365,100312096,-0.0053,-0.022,45.1375,5.2913,1909320000,N/A,68340624845.54,42000000,0,1503313349,112.1809,33.7469,64.9617,23.7456,
601099.SH,Ì«Æ½Ñó,2008-01-10,24.1505,24.2302,24.6818,23.7521,23.768,2204019,99567291,-0.3825,-1.5838,45.1753,5.2477,1879080000,N/A,67258239234.26,42000000,0,1503313349,110.4042,33.2124,63.9329,23.3695,
601099.SH,Ì«Æ½Ñó,2008-01-11,23.768,23.6937,23.8955,22.833,23.2315,2445712,106786755,-0.5366,-2.2575,43.6628,5.8231,1836660000,N/A,65739892751.77,42000000,0,1503313349,107.9119,32.4626,62.4896,22.8419,
601099.SH,Ì«Æ½Ñó,2008-01-14,23.2315,23.2315,23.7733,23.1093,23.3962,1272559,56142341,0.1647,0.7089,44.1177,3.0299,1849680000,N/A,66205919889.96,42000000,0,1503313349,108.6768,32.6928,62.9326,23.0039,
601099.SH,Ì«Æ½Ñó,2008-01-15,23.3962,23.3802,23.3802,22.3124,22.663,2624871,111629161,-0.7331,-3.1335,42.5275,6.2497,1791720000,N/A,64131347468.34,42000000,0,1503313349,105.2714,31.6683,60.9606,22.283,
601099.SH,Ì«Æ½Ñó,2008-01-16,22.663,22.5834,22.5834,21.6218,21.659,1595211,65626723,-1.0041,-4.4304,41.1398,3.7981,1712340000,N/A,61290085238.73,42000000,0,1503313349,100.6075,30.2653,58.2598,21.2958,
601099.SH,Ì«Æ½Ñó,2008-01-17,21.659,21.3402,22.3602,21.3402,22.3071,1526869,62921519,0.6481,2.9924,41.2095,3.6354,1763580000,N/A,63124127524.51,42000000,0,1503313349,103.6181,31.171,60.0031,21.9331,
601099.SH,Ì«Æ½Ñó,2008-01-18,22.3071,22.1902,22.679,21.898,22.3124,1007904,42368579,0.0053,0.0238,42.0363,2.3998,1764000000,N/A,63139160658,42000000,0,1503313349,103.6428,31.1784,60.0174,21.9383,
601099.SH,Ì«Æ½Ñó,2008-01-21,22.3124,21.2605,21.9405,20.5327,20.8302,1029172,41180590,-1.4822,-6.6429,40.0133,2.4504,1646820000,N/A,58944916414.29,42000000,0,1503313349,96.7579,29.1073,56.0306,20.481,
601099.SH,Ì«Æ½Ñó,2008-01-22,20.8302,20.538,20.538,18.7477,18.7477,1294027,46722385,-2.0825,-9.9974,36.1062,3.081,1482180000,N/A,53051928086.21,42000000,0,1503313349,87.0846,26.1973,50.4289,18.4334,
601099.SH,Ì«Æ½Ñó,2008-01-23,18.7477,18.1687,19.2896,17.9615,19.1249,1453683,51409709,0.3772,2.0119,35.3651,3.4612,1512000000,N/A,54119280564,42000000,0,1503313349,88.8366,26.7243,51.4435,18.8042,
601099.SH,Ì«Æ½Ñó,2008-01-24,19.1249,19.2206,19.2949,18.1793,18.6521,1208247,42631897,-0.4728,-2.4722,35.2841,2.8768,1474620000,N/A,52781331683.39,42000000,0,1503313349,86.6404,26.0637,50.1717,18.3394,
601099.SH,Ì«Æ½Ñó,2008-01-25,18.6521,18.6521,20.5168,18.0677,20.5168,2366547,87517564,1.8647,9.9972,36.9811,5.6346,1622040000,N/A,58057961538.38,42000000,0,1503313349,95.302,28.6693,55.1875,20.1728,
601099.SH,Ì«Æ½Ñó,2008-01-28,20.5168,20.4424,20.4424,18.4662,18.5671,1652977,59751553,-1.9497,-9.5028,36.1478,3.9357,1467900000,N/A,52540801547.55,42000000,0,1503313349,86.2456,25.9449,49.9431,18.2558,
601099.SH,Ì«Æ½Ñó,2008-01-29,18.5671,18.2749,19.5977,18.2749,19.2418,880365,31538291,0.6747,3.6338,35.8241,2.0961,1521240000,N/A,54450009500.78,42000000,0,1503313349,89.3795,26.8877,51.7579,18.9192,
601099.SH,Ì«Æ½Ñó,2008-01-30,19.2418,19.5499,19.6509,18.3706,18.9549,733689,26357342,-0.2869,-1.4909,35.9244,1.7469,1498560000,N/A,53638220292.32,42000000,0,1503313349,88.047,26.4868,50.9862,18.6371,
601099.SH,Ì«Æ½Ñó,2008-01-31,18.9549,18.6256,19.4968,18.5299,19.0346,723781,25977187,0.0797,0.4204,35.8909,1.7233,1504860000,N/A,53863717294.67,42000000,0,1503313349,88.4171,26.5981,51.2006,18.7154,
601099.SH,Ì«Æ½Ñó,2008-02-01,19.0346,19.2684,19.3268,17.2656,17.664,895455,30837343,-1.3706,-7.2007,34.4376,2.132,1396500000,N/A,49985168854.25,42000000,0,1503313349,82.0505,24.6829,47.5138,17.3678,
601099.SH,Ì«Æ½Ñó,2008-02-04,17.664,17.9296,19.2046,17.9296,19.1834,1059713,37396637,1.5194,8.6015,35.2894,2.5231,1516620000,N/A,54284645032.39,42000000,0,1503313349,89.1081,26.806,51.6007,18.8617,
601099.SH,Ì«Æ½Ñó,2008-02-05,19.1834,18.9124,18.9921,18.3812,18.5724,667701,23473265,-0.6109,-3.1847,35.1554,1.5898,1468320000,N/A,52555834681.04,42000000,0,1503313349,86.2703,25.9523,49.9574,18.261,
601099.SH,Ì«Æ½Ñó,2008-02-13,18.5724,18.8593,18.8593,18.1687,18.4609,382110,13314970,-0.1116,-0.6007,34.8459,0.9098,1459500000,N/A,52240138877.75,42000000,0,1503313349,85.752,25.7964,49.6573,18.1513,
601099.SH,Ì«Æ½Ñó,2008-02-14,18.4609,18.4609,18.8274,18.4609,18.6734,443849,15583231,0.2125,1.1511,35.1093,1.0568,1476300000,N/A,52841464217.35,42000000,0,1503313349,86.7391,26.0933,50.2289,18.3603,
601099.SH,Ì«Æ½Ñó,2008-02-15,18.6734,18.5937,18.5937,17.749,18.1634,619061,20959899,-0.51,-2.7312,33.8576,1.474,1435980000,N/A,51398283402.31,42000000,0,1503313349,84.3701,25.3807,48.857,17.8588,
601099.SH,Ì«Æ½Ñó,2008-02-18,18.1634,18.2749,18.6999,18.0731,18.3812,647408,22359929,0.2178,1.1992,34.5376,1.5414,1453200000,N/A,52014641875.4,42000000,0,1503313349,85.3819,25.6851,49.4429,18.073,
601099.SH,Ì«Æ½Ñó,2008-02-19,18.3812,18.3812,18.9549,18.089,18.9443,917343,32109288,0.5631,3.0636,35.0025,2.1841,1497720000,N/A,53608154025.34,42000000,0,1503313349,87.9976,26.4719,50.9577,18.6266,
601099.SH,Ì«Æ½Ñó,2008-02-20,18.9443,19.0612,19.0612,18.2749,18.3015,950725,33331244,-0.6428,-3.3932,35.0588,2.2636,1446900000,N/A,51789144873.05,42000000,0,1503313349,85.0117,25.5737,49.2286,17.9946,
601099.SH,Ì«Æ½Ñó,2008-02-21,18.3015,18.0624,18.1421,17.6906,17.8659,815526,27451514,-0.4356,-2.3803,33.6611,1.9417,1412460000,N/A,50556427926.87,42000000,0,1503313349,82.9882,24.965,48.0568,17.5663,
601099.SH,Ì«Æ½Ñó,2008-02-22,17.8659,17.7702,17.7702,16.9999,17.0318,838092,27287786,-0.8341,-4.6685,32.5594,1.9955,1346520000,N/A,48196225968.94,42000000,0,1503313349,79.114,23.7995,45.8133,16.7462,
601099.SH,Ì«Æ½Ñó,2008-02-25,17.0318,17.0637,17.4674,15.7196,15.7568,759128,23068894,-1.275,-7.486,30.3887,1.8074,1245720000,N/A,44588273931.34,42000000,0,1503313349,73.1915,22.0179,42.3837,15.4926,
601099.SH,Ì«Æ½Ñó,2008-02-26,15.7568,15.9534,16.7077,15.7249,16.0756,622231,18795875,0.3187,2.0229,30.2072,1.4815,1270920000,N/A,45490261940.74,42000000,0,1503313349,74.6721,22.4633,43.2411,15.806,
601099.SH,Ì«Æ½Ñó,2008-02-27,16.0756,16.1499,17.1009,15.9374,16.8671,710283,22376469,0.7916,4.924,31.5036,1.6911,1333500000,N/A,47730198830.75,42000000,0,1503313349,78.349,23.5694,45.3703,16.5843,
