代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
603889.SH,新澳股份,2014-12-31,N/A,7.0431,8.4524,7.0431,8.4524,51950,1329978,N/A,N/A,25.6011,0.1947,689678000,N/A,2757678000,26680000,0,106680000,28.4988,6.0747,1.9303,34.8052,
603889.SH,新澳股份,2015-01-05,8.4524,9.2993,9.2993,9.2993,9.2993,42650,1212966,0.8469,10.0193,28.44,0.1599,758779200,N/A,3033979200,26680000,0,106680000,26.7021,3.1348,1.9799,8.054,
603889.SH,新澳股份,2015-01-06,9.2993,10.2279,10.2279,10.2279,10.2279,150000,4692000,0.9286,9.9859,31.28,0.5622,834550400,N/A,3336950400,26680000,0,106680000,29.3685,3.4478,2.1776,8.8583,
603889.SH,新澳股份,2015-01-07,10.2279,11.2513,11.2513,10.1363,10.1461,14468915,470346258,-0.0817,-0.7992,32.5074,54.2313,827880400,N/A,3310280400,26680000,0,106680000,29.1338,3.4203,2.1602,8.7875,
603889.SH,新澳股份,2015-01-08,10.1461,9.6786,10.0938,9.4203,9.6197,7271988,214823953,-0.5264,-5.1885,29.5413,27.2563,784925600,N/A,3138525600,26680000,0,106680000,27.6222,3.2428,2.0481,8.3315,
603889.SH,新澳股份,2015-01-09,9.6197,9.417,9.538,9.2044,9.211,6096272,173888185,-0.4087,-4.2488,28.5237,22.8496,751575600,N/A,3005175600,26680000,0,106680000,26.4486,3.105,1.9611,7.9775,
603889.SH,新澳股份,2015-01-12,9.211,9.0279,9.1162,8.6649,8.6976,4728138,127809596,-0.5134,-5.5733,27.0317,17.7217,709688000,N/A,2837688000,26680000,0,106680000,24.9745,2.932,1.8518,7.5329,
603889.SH,新澳股份,2015-01-13,8.6976,8.6486,8.9559,8.6486,8.8742,3432302,92922633,0.1766,2.0301,27.073,12.8647,724095200,N/A,2895295200,26680000,0,106680000,25.4815,2.9915,1.8894,7.6858,
603889.SH,新澳股份,2015-01-14,8.8742,8.7598,9.0246,8.6944,8.7303,3006437,81210200,-0.1439,-1.6212,27.0121,11.2685,712356000,N/A,2848356000,26680000,0,106680000,25.0684,2.943,1.8588,7.5612,
603889.SH,新澳股份,2015-01-15,8.7303,8.7303,9.2437,8.7303,9.1652,5687618,157813076,0.4349,4.9813,27.7468,21.3179,747840400,N/A,2990240400,26680000,0,106680000,26.3171,3.0896,1.9514,7.9379,
603889.SH,新澳股份,2015-01-16,9.1652,8.9919,9.3025,8.9265,9.126,4230854,117884536,-0.0392,-0.4281,27.8631,15.8578,744638800,N/A,2977438800,26680000,0,106680000,26.2044,3.0764,1.943,7.9039,
603889.SH,新澳股份,2015-01-19,9.126,8.9919,9.5935,8.8317,9.2666,5861630,166367720,0.1406,1.5407,28.3825,21.9701,756111200,N/A,3023311200,26680000,0,106680000,26.6082,3.1238,1.973,8.0257,
603889.SH,新澳股份,2015-01-20,9.2666,9.2535,10.1331,9.1914,9.9925,7918606,235018747,0.7259,7.8335,29.6793,29.6799,815340800,N/A,3260140800,26680000,0,106680000,28.6925,3.3685,2.1275,8.6544,
