代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600074.SH,保千里,1997-06-23,N/A,1.3686,1.4197,1.2402,1.2527,13807200,172198347,N/A,N/A,12.4716,51.1378,324000000,N/A,1080000000,27000000,0,90000000,45.5216,11.7455,5.6344,N/A,
600074.SH,保千里,1997-06-24,1.2527,1.2527,1.2736,1.2057,1.2371,4262700,50609979,-0.0157,-1.25,11.8728,15.7878,319950000,N/A,1066500000,27000000,0,90000000,44.9526,11.5987,5.5639,N/A,
600074.SH,保千里,1997-06-25,1.2371,1.2329,1.2527,1.1974,1.211,2599500,30122871,-0.0261,-2.1097,11.5879,9.6278,313200000,N/A,1044000000,27000000,0,90000000,44.0042,11.354,5.4465,N/A,
600074.SH,保千里,1997-06-26,1.211,1.2235,1.2412,1.2057,1.2214,2434700,28533634,0.0104,0.8621,11.7196,9.0174,315900000,N/A,1053000000,27000000,0,90000000,44.3836,11.4519,5.4935,N/A,
600074.SH,保千里,1997-06-27,1.2214,1.2224,1.2287,1.1076,1.1212,2459800,27285154,-0.1002,-8.2051,11.0924,9.1104,289980000,N/A,966600000,27000000,0,90000000,40.7418,10.5122,5.0428,N/A,
600074.SH,保千里,1997-07-02,1.1212,1.1984,1.1995,1.0857,1.164,2487400,27611396,0.0428,3.8175,11.1005,9.2126,301050000,N/A,1003500000,27000000,0,90000000,42.2971,10.9135,5.2353,N/A,
600074.SH,保千里,1997-07-03,1.164,1.1692,1.1796,1.0836,1.1212,1177900,12656280,-0.0428,-3.6771,10.7448,4.3626,289980000,N/A,966600000,27000000,0,90000000,40.7418,10.5122,5.0428,N/A,
600074.SH,保千里,1997-07-04,1.1212,1.117,1.1473,1.0867,1.0961,977400,10393248,-0.0251,-2.2346,10.6336,3.62,283500000,N/A,945000000,27000000,0,90000000,39.8314,10.2773,4.9301,N/A,
600074.SH,保千里,1997-07-07,1.0961,1.0951,1.117,1.0241,1.0335,1110200,11566465,-0.0626,-5.7143,10.4184,4.1119,267300000,N/A,891000000,27000000,0,90000000,37.5553,9.69,4.6483,N/A,
600074.SH,保千里,1997-07-08,1.0335,1.023,1.0627,0.9604,1.0178,1125400,10874098,-0.0157,-1.5152,9.6624,4.1681,263250000,N/A,877500000,27000000,0,90000000,36.9863,9.5432,4.5779,N/A,
600074.SH,保千里,1997-07-09,1.0178,1.023,1.0335,0.9709,1.0126,754200,7244009,-0.0052,-0.5128,9.6049,2.7933,261900000,N/A,873000000,27000000,0,90000000,36.7966,9.4943,4.5544,N/A,
600074.SH,保千里,1997-07-10,1.0126,1.0283,1.0826,0.9823,1.0324,1111100,10995210,0.0198,1.9588,9.8958,4.1152,267030000,N/A,890100000,27000000,0,90000000,37.5174,9.6803,4.6437,N/A,
600074.SH,保千里,1997-07-11,1.0324,1.0314,1.0794,1.021,1.0721,1083300,10964884,0.0397,3.8423,10.1217,4.0122,277290000,N/A,924300000,27000000,0,90000000,38.9589,10.0522,4.8221,N/A,
600074.SH,保千里,1997-07-14,1.0721,1.093,1.1107,1.0554,1.0878,1399600,14505614,0.0157,1.4606,10.3641,5.1837,281340000,N/A,937800000,27000000,0,90000000,39.5279,10.199,4.8925,N/A,
600074.SH,保千里,1997-07-15,1.0878,1.0857,1.0857,1.0314,1.0408,951200,9556328,-0.047,-4.3186,10.0466,3.523,269190000,N/A,897300000,27000000,0,90000000,37.8209,9.7586,4.6812,N/A,
600074.SH,保千里,1997-07-16,1.0408,1.0439,1.0742,1.0418,1.0533,841700,8500070,0.0125,1.2036,10.0987,3.1174,272430000,N/A,908100000,27000000,0,90000000,38.2761,9.876,4.7376,N/A,
600074.SH,保千里,1997-07-17,1.0533,1.0533,1.0544,1.0283,1.0398,813800,8119307,-0.0136,-1.2884,9.977,3.0141,268920000,N/A,896400000,27000000,0,90000000,37.7829,9.7488,4.6765,N/A,
600074.SH,保千里,1997-07-18,1.0398,1.046,1.0648,1.0314,1.0523,694800,7004535,0.0125,1.2048,10.0814,2.5733,272160000,N/A,907200000,27000000,0,90000000,38.2381,9.8662,4.7329,N/A,
600074.SH,保千里,1997-07-21,1.0523,1.0439,1.0805,1.0439,1.0523,847800,8620635,0,0,10.1682,3.14,272160000,N/A,907200000,27000000,0,90000000,38.2381,9.8662,4.7329,N/A,
600074.SH,保千里,1997-07-22,1.0523,1.093,1.093,1.0439,1.0773,944700,9711962,0.0251,2.381,10.2805,3.4989,278640000,N/A,928800000,27000000,0,90000000,39.1486,10.1011,4.8455,N/A,
600074.SH,保千里,1997-07-23,1.0773,1.093,1.0961,1.0439,1.0491,685000,7010177,-0.0282,-2.6163,10.2338,2.537,271350000,N/A,904500000,27000000,0,90000000,38.1243,9.8369,4.7188,N/A,
600074.SH,保千里,1997-07-24,1.0491,1.0491,1.0627,1.0105,1.0137,824300,8152149,-0.0355,-3.3831,9.8898,3.053,262170000,N/A,873900000,27000000,0,90000000,36.8346,9.5041,4.5591,N/A,
600074.SH,保千里,1997-07-25,1.0137,1.0095,1.0418,1.0043,1.023,536000,5258923,0.0094,0.9269,9.8114,1.9852,264600000,N/A,882000000,27000000,0,90000000,37.176,9.5922,4.6014,N/A,
600074.SH,保千里,1997-07-28,1.023,1.0178,1.0304,0.9928,0.9969,452000,4382354,-0.0261,-2.551,9.6955,1.6741,257850000,N/A,859500000,27000000,0,90000000,36.2276,9.3475,4.484,N/A,
