¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
603066.SH,“Ù∑…¥¢¥Ê,2015-06-11,N/A,14.8816,17.854,14.8816,17.854,5700,101732,N/A,N/A,17.8477,0.0228,447500000,N/A,1790000000,25000000,0,100000000,29.1577,4.5015,3.7736,49.6517,
603066.SH,“Ù∑…¥¢¥Ê,2015-06-12,17.854,19.6394,19.6394,19.6394,19.6394,2300,45287,1.7854,10,19.69,0.0092,492250000,N/A,1969000000,25000000,0,100000000,32.0734,4.9516,4.151,54.6168,
603066.SH,“Ù∑…¥¢¥Ê,2015-06-15,19.6394,21.6043,21.6043,21.6043,21.6043,2700,58482,1.9649,10.0051,21.66,0.0108,541500000,N/A,2166000000,25000000,0,100000000,35.2824,5.447,4.5663,60.0813,
603066.SH,“Ù∑…¥¢¥Ê,2015-06-16,21.6043,23.7687,23.7687,23.7687,23.7687,7700,183491,2.1644,10.0185,23.83,0.0308,595750000,N/A,2383000000,25000000,0,100000000,38.8171,5.9927,5.0237,66.1005,
603066.SH,“Ù∑…¥¢¥Ê,2015-06-17,23.7687,26.1426,26.1426,26.1426,26.1426,12300,322383,2.3739,9.9874,26.21,0.0492,655250000,N/A,2621000000,25000000,0,100000000,42.694,6.5912,5.5255,72.7022,
603066.SH,“Ù∑…¥¢¥Ê,2015-06-18,26.1426,28.7558,28.7558,28.7558,28.7558,6200,178746,2.6133,9.9962,28.83,0.0248,720750000,N/A,2883000000,25000000,0,100000000,46.9617,7.2501,6.0778,79.9697,
603066.SH,“Ù∑…¥¢¥Ê,2015-06-19,28.7558,31.6284,31.6284,31.6284,31.6284,71400,2264094,2.8726,9.9896,31.71,0.2856,792750000,N/A,3171000000,25000000,0,100000000,51.653,7.9744,6.685,87.9583,
603066.SH,“Ù∑…¥¢¥Ê,2015-06-23,31.6284,34.7903,34.7903,34.7903,34.7903,35199,1227741,3.1618,9.9968,34.88,0.1408,872000000,N/A,3488000000,25000000,0,100000000,56.8167,8.7716,7.3533,96.7514,
603066.SH,“Ù∑…¥¢¥Ê,2015-06-24,34.7903,38.2713,38.2713,38.2713,38.2713,11400,437418,3.481,10.0057,38.37,0.0456,959250000,N/A,3837000000,25000000,0,100000000,62.5016,9.6492,8.089,106.4321,
603066.SH,“Ù∑…¥¢¥Ê,2015-06-25,38.2713,42.1014,42.1014,42.1014,42.1014,36500,1540665,3.8301,10.0078,42.21,0.146,1055250000,N/A,4221000000,25000000,0,100000000,68.7567,10.6149,8.8986,117.0836,
603066.SH,“Ù∑…¥¢¥Ê,2015-06-26,42.1014,46.3106,46.3106,43.8868,46.3106,7612288,352025321,4.2091,9.9976,46.2444,30.4492,1160750000,N/A,4643000000,25000000,0,100000000,75.6307,11.6761,9.7882,128.7892,
603066.SH,“Ù∑…¥¢¥Ê,2015-06-29,46.3106,43.8868,43.8868,41.6825,41.6825,2648200,111752044,-4.6281,-9.9935,42.1992,10.5928,1044750000,N/A,4179000000,25000000,0,100000000,68.0725,10.5093,8.81,115.9186,
603066.SH,“Ù∑…¥¢¥Ê,2015-06-30,41.6825,37.5133,41.6825,37.5133,40.4058,10781416,417938650,-1.2767,-3.0629,38.7647,43.1257,1012750000,N/A,4051000000,25000000,0,100000000,65.9875,10.1874,8.5402,112.3681,
603066.SH,“Ù∑…¥¢¥Ê,2015-07-01,40.4058,39.3984,43.7671,36.3662,36.3662,8744190,348839605,-4.0396,-9.9975,39.8939,34.9768,911500000,N/A,3646000000,25000000,0,100000000,59.3904,9.1689,7.6864,101.1341,
603066.SH,“Ù∑…¥¢¥Ê,2015-07-02,36.3662,33.4936,35.7179,32.7256,32.7256,4831408,161941537,-3.6406,-10.011,33.5185,19.3256,820250000,N/A,3281000000,25000000,0,100000000,53.4448,8.251,6.9169,91.0096,
603066.SH,“Ù∑…¥¢¥Ê,2015-07-03,32.7256,30.0425,32.4962,29.454,29.454,4416220,133968517,-3.2716,-9.997,30.3356,17.6649,738250000,N/A,2953000000,25000000,0,100000000,48.102,7.4261,6.2254,81.9114,
603066.SH,“Ù∑…¥¢¥Ê,2015-07-06,29.454,32.3964,32.3964,26.5116,26.7011,6270480,188208028,-2.7529,-9.3464,30.0149,25.0819,669250000,N/A,2677000000,25000000,0,100000000,43.6062,6.7321,5.6435,74.2556,
603066.SH,“Ù∑…¥¢¥Ê,2015-07-07,26.7011,25.3347,25.4843,24.028,24.028,3098000,75622182,-2.6731,-10.0112,24.41,12.392,602250000,N/A,2409000000,25000000,0,100000000,39.2407,6.0581,5.0786,66.8217,
603066.SH,“Ù∑…¥¢¥Ê,2015-07-08,24.028,21.6242,21.6242,21.6242,21.6242,794500,17224760,-2.4038,-10.0042,21.68,3.178,542000000,N/A,2168000000,25000000,0,100000000,35.315,5.452,4.5705,60.1368,
603066.SH,“Ù∑…¥¢¥Ê,2015-07-09,21.6242,19.8289,23.7886,19.8289,23.7886,3622578,81680130,2.1644,10.0092,22.5475,14.4903,596250000,N/A,2385000000,25000000,0,100000000,38.8497,5.9977,5.028,66.156,
603066.SH,“Ù∑…¥¢¥Ê,2015-07-10,23.7886,26.1725,26.1725,26.1725,26.1725,766700,20118208,2.3839,10.021,26.24,3.0668,656000000,N/A,2624000000,25000000,0,100000000,42.7428,6.5988,5.5318,72.7855,
