´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
600265.SH,*ST¾°¹È,2000-08-25,N/A,11.3305,15.0672,11.3064,13.91,28734100,590782125,N/A,N/A,20.5603,71.8353,923200000,N/A,2423400000,40000000,0,105000000,105.6185,24.0875,14.995,-434.8705,
600265.SH,*ST¾°¹È,2000-08-28,13.91,13.2531,13.91,13.0482,13.3857,13316600,296527412,-0.5243,-3.7695,22.2675,33.2915,888400000,N/A,2332050000,40000000,0,105000000,101.6372,23.1796,14.4298,-418.4781,
600265.SH,*ST¾°¹È,2000-08-29,13.3857,13.3495,14.7056,13.2892,14.35,11243400,266116716,0.9643,7.204,23.6687,28.1085,952400000,N/A,2500050000,40000000,0,105000000,108.9591,24.8494,15.4693,-448.6251,
600265.SH,*ST¾°¹È,2000-08-30,14.35,14.4283,14.796,13.9823,14.0908,8177200,196504613,-0.2592,-1.806,24.0308,20.443,935200000,N/A,2454900000,40000000,0,105000000,106.9914,24.4006,15.19,-440.523,
600265.SH,*ST¾°¹È,2000-08-31,14.0908,13.8678,14.4585,13.8015,13.8196,4891900,114382571,-0.2712,-1.9247,23.382,12.2298,917200000,N/A,2407650000,40000000,0,105000000,104.9321,23.931,14.8976,-432.0442,
600265.SH,*ST¾°¹È,2000-09-01,13.8196,13.7895,14.1571,13.5544,13.5605,3188300,72565882,-0.2592,-1.8753,22.7601,7.9707,900000000,N/A,2362500000,40000000,0,105000000,102.9643,23.4822,14.6182,-423.9422,
600265.SH,*ST¾°¹È,2000-09-04,13.5605,13.7292,13.9221,13.3375,13.9221,2381100,53765958,0.3616,2.6667,22.5803,5.9527,924000000,N/A,2425500000,40000000,0,105000000,105.71,24.1084,15.008,-435.2473,
600265.SH,*ST¾°¹È,2000-09-05,13.9221,14.0426,14.0727,13.018,13.0361,2842400,63198794,-0.8859,-6.3636,22.2343,7.106,865200000,N/A,2271150000,40000000,0,105000000,98.983,22.5742,14.053,-407.5498,
600265.SH,*ST¾°¹È,2000-09-06,13.0361,12.8854,12.9578,12.0839,12.1984,2585734,53802732,-0.8377,-6.4263,20.8075,6.4643,809600000,N/A,2125200000,40000000,0,105000000,92.6221,21.1236,13.1499,-381.3596,
600265.SH,*ST¾°¹È,2000-09-07,12.1984,12.2406,12.7529,12.2406,12.4696,1249200,25867000,0.2712,2.2233,20.7069,3.123,827600000,N/A,2172450000,40000000,0,105000000,94.6814,21.5932,13.4423,-389.8384,
600265.SH,*ST¾°¹È,2000-09-08,12.4696,12.4696,12.5359,11.9392,12.1622,1710100,34472469,-0.3074,-2.465,20.1582,4.2752,807200000,N/A,2118900000,40000000,0,105000000,92.3475,21.0609,13.1109,-380.229,
600265.SH,*ST¾°¹È,2000-09-11,12.1622,12.0537,12.2707,11.8006,12.1441,1355400,26995295,-0.0181,-0.1487,19.9168,3.3885,806000000,N/A,2115750000,40000000,0,105000000,92.2103,21.0296,13.0914,-379.6638,
600265.SH,*ST¾°¹È,2000-09-12,12.1441,12.2225,12.2225,11.9031,11.9935,881500,17517789,-0.1507,-1.2407,19.8727,2.2038,796000000,N/A,2089500000,40000000,0,105000000,91.0662,20.7687,12.929,-374.9533,
600265.SH,*ST¾°¹È,2000-09-13,11.9935,12.0236,12.337,11.9031,12.12,897900,18060515,0.1266,1.0553,20.1142,2.2447,804400000,N/A,2111550000,40000000,0,105000000,92.0272,20.9879,13.0654,-378.9101,
600265.SH,*ST¾°¹È,2000-09-14,12.12,12.0537,12.4636,12.0537,12.2104,739500,15075624,0.0904,0.7459,20.3862,1.8488,810400000,N/A,2127300000,40000000,0,105000000,92.7136,21.1444,13.1629,-381.7364,
600265.SH,*ST¾°¹È,2000-09-15,12.2104,12.1743,12.2888,11.9211,11.9633,660000,13178353,-0.2471,-2.0237,19.9672,1.65,794000000,N/A,2084250000,40000000,0,105000000,90.8374,20.7165,12.8965,-374.0112,
600265.SH,*ST¾°¹È,2000-09-18,11.9633,11.9633,12.0537,11.439,11.5113,1928400,37068997,-0.452,-3.7783,19.2227,4.821,764000000,N/A,2005500000,40000000,0,105000000,87.4053,19.9338,12.4092,-359.8798,
600265.SH,*ST¾°¹È,2000-09-19,11.5113,11.4511,11.4511,10.8604,11.1135,1007700,18637821,-0.3978,-3.4555,18.4954,2.5192,737600000,N/A,1936200000,40000000,0,105000000,84.385,19.245,11.9804,-347.4442,
600265.SH,*ST¾°¹È,2000-09-20,11.1135,11.1497,11.3245,10.8182,11.2461,1196300,21823603,0.1326,1.1931,18.2426,2.9907,746400000,N/A,1959300000,40000000,0,105000000,85.3917,19.4746,12.1234,-351.5894,
600265.SH,*ST¾°¹È,2000-09-21,11.2461,11.21,11.222,10.8966,10.9147,600100,10993039,-0.3315,-2.9475,18.3187,1.5003,724400000,N/A,1901550000,40000000,0,105000000,82.8748,18.9006,11.766,-341.2263,
600265.SH,*ST¾°¹È,2000-09-22,10.9147,10.8544,10.987,10.7097,10.8243,957700,17135556,-0.0904,-0.8283,17.8924,2.3942,718400000,N/A,1885800000,40000000,0,105000000,82.1884,18.744,11.6686,-338.4001,
600265.SH,*ST¾°¹È,2000-09-25,10.8243,10.7881,10.9689,10.7278,10.7881,328600,5906631,-0.0362,-0.3341,17.9751,0.8215,716000000,N/A,1879500000,40000000,0,105000000,81.9138,18.6814,11.6296,-337.2696,
600265.SH,*ST¾°¹È,2000-09-26,10.7881,10.776,11.0834,10.776,10.993,493600,8976872,0.2049,1.8994,18.1865,1.234,729600000,N/A,1915200000,40000000,0,105000000,83.4697,19.0362,11.8505,-343.6758,
600265.SH,*ST¾°¹È,2000-09-27,10.993,10.8966,11.1979,10.8966,11.1618,652300,11970816,0.1688,1.5351,18.3517,1.6307,740800000,N/A,1944600000,40000000,0,105000000,84.7511,19.3285,12.0324,-348.9515,
600265.SH,*ST¾°¹È,2000-09-28,11.1618,11.1497,11.1557,10.8484,10.8785,538400,9797419,-0.2833,-2.5378,18.1973,1.346,722000000,N/A,1895250000,40000000,0,105000000,82.6003,18.838,11.7271,-340.0959,
600265.SH,*ST¾°¹È,2000-09-29,10.8785,10.8785,11.3185,10.8484,11.2823,750500,13941219,0.4038,3.7119,18.5759,1.8763,748800000,N/A,1965600000,40000000,0,105000000,85.6663,19.5372,12.1624,-352.7199,
600265.SH,*ST¾°¹È,2000-10-09,11.2823,11.3908,11.445,11.1497,11.445,611800,11488415,0.1627,1.4423,18.7781,1.5295,759600000,N/A,1993950000,40000000,0,105000000,86.9019,19.819,12.3378,-357.8072,
600265.SH,*ST¾°¹È,2000-10-10,11.445,11.4872,11.4993,11.2702,11.3667,592100,11163788,-0.0783,-0.6846,18.8546,1.4803,754400000,N/A,1980300000,40000000,0,105000000,86.307,19.6833,12.2533,-355.3578,
600265.SH,*ST¾°¹È,2000-10-11,11.3667,11.3908,11.3968,11.1497,11.1798,647200,12046875,-0.1868,-1.6437,18.6138,1.618,742000000,N/A,1947750000,40000000,0,105000000,84.8884,19.3598,12.0519,-349.5168,
600265.SH,*ST¾°¹È,2000-10-12,11.1798,11.1678,11.2702,10.9629,10.9749,750800,13803347,-0.2049,-1.8329,18.3849,1.877,728400000,N/A,1912050000,40000000,0,105000000,83.3324,19.0049,11.831,-343.1105,
600265.SH,*ST¾°¹È,2000-10-13,10.9749,10.9689,11.204,10.8785,11.1196,733500,13357223,0.1446,1.318,18.2103,1.8337,738000000,N/A,1937250000,40000000,0,105000000,84.4307,19.2554,11.9869,-347.6326,
600265.SH,*ST¾°¹È,2000-10-16,11.1196,11.1196,11.1196,11.1196,11.1196,N/A,N/A,0,0,N/A,N/A,738000000,N/A,1937250000,40000000,0,105000000,84.4307,19.2554,11.9869,-347.6326,
600265.SH,*ST¾°¹È,2000-10-17,11.1196,11.0894,11.1135,10.9086,10.9388,275600,5005228,-0.1808,-1.626,18.1612,0.689,726000000,N/A,1905750000,40000000,0,105000000,83.0579,18.9423,11.792,-341.98,
600265.SH,*ST¾°¹È,2000-10-18,10.9388,10.8484,11.1015,10.8484,10.9629,520400,9448910,0.0241,0.2204,18.157,1.301,727600000,N/A,1909950000,40000000,0,105000000,83.2409,18.9841,11.818,-342.7337,
