代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600705.SH,中航资本,1996-05-16,N/A,0.4344,0.4982,0.4247,0.4733,23056100,244162000,N/A,N/A,10.5899,71.6919,360192000,N/A,1440320000,32160000,0,128600000,47.5337,3.9242,10.9773,N/A,
600705.SH,中航资本,1996-05-17,0.4733,0.4619,0.4944,0.4619,0.4788,12633300,142269864,0.0055,1.1607,11.2615,39.2826,364372800,N/A,1457038000,32160000,0,128600000,48.0855,3.9698,11.1047,N/A,
600705.SH,中航资本,1996-05-20,0.4788,0.4902,0.5388,0.4902,0.524,13084600,160489056,0.0452,9.444,12.2655,40.6859,398784000,N/A,1594640000,32160000,0,128600000,52.6266,4.3447,12.1534,N/A,
600705.SH,中航资本,1996-05-21,0.524,0.5202,0.5316,0.4986,0.5008,7756400,94977876,-0.0232,-4.4355,12.2451,24.1182,381096000,N/A,1523910000,32160000,0,128600000,50.2924,4.1519,11.6143,N/A,
600705.SH,中航资本,1996-05-22,0.5008,0.4986,0.5198,0.4906,0.5092,5164000,61780175,0.0085,1.6878,11.9636,16.0572,387528000,N/A,1549630000,32160000,0,128600000,51.1412,4.222,11.8104,N/A,
600705.SH,中航资本,1996-05-23,0.5092,0.5092,0.5101,0.467,0.4712,3440300,39749000,-0.038,-7.4689,11.5539,10.6975,358584000,N/A,1433890000,32160000,0,128600000,47.3215,3.9067,10.9283,N/A,
600705.SH,中航资本,1996-05-24,0.4712,0.467,0.4763,0.4526,0.4564,3063200,33834813,-0.0148,-3.139,11.0456,9.5249,347328000,N/A,1388880000,32160000,0,128600000,45.8361,3.7841,10.5852,N/A,
600705.SH,中航资本,1996-05-27,0.4564,0.4648,0.4754,0.4593,0.4699,1479500,16413546,0.0135,2.963,11.094,4.6004,357619200,N/A,1430032000,32160000,0,128600000,47.1942,3.8962,10.8989,N/A,
600705.SH,中航资本,1996-05-28,0.4699,0.4724,0.4817,0.4648,0.4817,1594900,17796056,0.0118,2.518,11.1581,4.9593,366624000,N/A,1466040000,32160000,0,128600000,48.3826,3.9943,11.1733,N/A,
600705.SH,中航资本,1996-05-29,0.4817,0.4817,0.4877,0.4741,0.4817,1377400,15687881,0,0,11.3895,4.283,366624000,N/A,1466040000,32160000,0,128600000,48.3826,3.9943,11.1733,N/A,
600705.SH,中航资本,1996-05-30,0.4817,0.4712,0.4801,0.4239,0.4754,1100000,12273885,-0.0063,-1.3158,11.1581,3.4204,361800000,N/A,1446750000,32160000,0,128600000,47.7459,3.9417,11.0263,N/A,
600705.SH,中航资本,1996-05-31,0.4754,0.4746,0.5113,0.4657,0.494,3086300,36072723,0.0186,3.9111,11.688,9.5967,375950400,N/A,1503334000,32160000,0,128600000,49.6133,4.0959,11.4575,N/A,
600705.SH,中航资本,1996-06-03,0.494,0.4953,0.5029,0.4775,0.483,2734600,31802227,-0.011,-2.2241,11.6296,8.5031,367588800,N/A,1469898000,32160000,0,128600000,48.5099,4.0048,11.2027,N/A,
600705.SH,中航资本,1996-06-04,0.483,0.4839,0.4986,0.483,0.4927,1837900,21388071,0.0097,2.0122,11.6372,5.7149,374985600,N/A,1499476000,32160000,0,128600000,49.486,4.0854,11.4281,N/A,
600705.SH,中航资本,1996-06-05,0.4927,0.4944,0.5232,0.4881,0.521,3733800,44751545,0.0283,5.7461,11.9855,11.6101,396532800,N/A,1585638000,32160000,0,128600000,52.3296,4.3201,12.0848,N/A,
600705.SH,中航资本,1996-06-06,0.521,0.5219,0.5253,0.4864,0.4953,3014500,36116391,-0.0258,-4.9473,11.9809,9.3734,376915200,N/A,1507192000,32160000,0,128600000,49.7407,4.1064,11.4869,N/A,
600705.SH,中航资本,1996-06-07,0.4953,0.5071,0.5189,0.4902,0.4927,2626900,31132319,-0.0025,-0.5119,11.8514,8.1682,374985600,N/A,1499476000,32160000,0,128600000,49.486,4.0854,11.4281,N/A,
600705.SH,中航资本,1996-06-10,0.4927,0.4902,0.4902,0.4479,0.472,2827700,31287373,-0.0207,-4.2024,11.0646,8.7926,359227200,N/A,1436462000,32160000,0,128600000,47.4064,3.9137,10.9479,N/A,
600705.SH,中航资本,1996-06-11,0.472,0.4661,0.4839,0.4657,0.4691,1967800,22000227,-0.003,-0.6267,11.1801,6.1188,356976000,N/A,1427460000,32160000,0,128600000,47.1093,3.8892,10.8793,N/A,
600705.SH,中航资本,1996-06-12,0.4691,0.4737,0.4805,0.4682,0.4695,1638700,18354949,0.0004,0.0901,11.2009,5.0955,357297600,N/A,1428746000,32160000,0,128600000,47.1518,3.8927,10.8891,N/A,
600705.SH,中航资本,1996-06-13,0.4695,0.4712,0.4779,0.4598,0.4695,1439700,16047290,0,0,11.1463,4.4767,357297600,N/A,1428746000,32160000,0,128600000,47.1518,3.8927,10.8891,N/A,
600705.SH,中航资本,1996-06-14,0.4695,0.4716,0.4796,0.4585,0.4691,1708900,19069616,-0.0004,-0.09,11.159,5.3137,356976000,N/A,1427460000,32160000,0,128600000,47.1093,3.8892,10.8793,N/A,
600705.SH,中航资本,1996-06-17,0.4691,0.4691,0.4691,0.4484,0.4501,872800,9490817,-0.019,-4.0541,10.874,2.7139,342504000,N/A,1369590000,32160000,0,128600000,45.1995,3.7315,10.4382,N/A,
