¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
600966.SH,≤©ª„÷Ω“µ,2004-06-08,N/A,1.8526,2.1325,1.8526,2.0689,33062053,450206038,N/A,N/A,13.617,47.2315,977900000,N/A,2514600000,70000000,0,180000000,38.3466,7.5299,2.6092,69.7012,
600966.SH,≤©ª„÷Ω“µ,2004-06-09,2.0689,2.0111,2.0378,1.863,1.8778,13244058,173791253,-0.191,-9.2341,13.1222,18.9201,887600000,N/A,2282400000,70000000,0,180000000,34.8057,6.8346,2.3682,63.2649,
600966.SH,≤©ª„÷Ω“µ,2004-06-10,1.8778,1.8512,1.8512,1.6957,1.7327,10406335,124034527,-0.1451,-7.7287,11.9191,14.8662,819000000,N/A,2106000000,70000000,0,180000000,32.1157,6.3064,2.1852,58.3753,
600966.SH,≤©ª„÷Ω“µ,2004-06-11,1.7327,1.7327,1.8127,1.7327,1.7401,6419379,76730831,0.0074,0.4274,11.953,9.1705,822500000,N/A,2115000000,70000000,0,180000000,32.2529,6.3333,2.1945,58.6248,
600966.SH,≤©ª„÷Ω“µ,2004-06-14,1.7401,1.7312,1.7312,1.6557,1.6631,4990577,56383037,-0.077,-4.4255,11.2979,7.1294,786100000,N/A,2021400000,70000000,0,180000000,30.8255,6.053,2.0974,56.0304,
600966.SH,≤©ª„÷Ω“µ,2004-06-15,1.6631,1.6586,1.6957,1.629,1.672,4105032,45993105,0.0089,0.5343,11.2041,5.8643,790300000,N/A,2032200000,70000000,0,180000000,30.9902,6.0854,2.1086,56.3297,
600966.SH,≤©ª„÷Ω“µ,2004-06-16,1.672,1.6675,1.6912,1.6483,1.6749,2887773,32510270,0.003,0.1771,11.2579,4.1254,791700000,N/A,2035800000,70000000,0,180000000,31.0451,6.0961,2.1124,56.4295,
600966.SH,≤©ª„÷Ω“µ,2004-06-17,1.6749,1.6779,1.7268,1.666,1.6779,3587606,40838565,0.003,0.1768,11.3832,5.1252,793100000,N/A,2039400000,70000000,0,180000000,31.1,6.1069,2.1161,56.5293,
600966.SH,≤©ª„÷Ω“µ,2004-06-18,1.6779,1.6734,1.6779,1.6112,1.629,3416858,37873806,-0.0489,-2.9126,11.0844,4.8812,770000000,N/A,1980000000,70000000,0,180000000,30.1942,5.929,2.0545,54.8828,
600966.SH,≤©ª„÷Ω“µ,2004-06-21,1.629,1.6142,1.7105,1.5876,1.6957,5471610,61129303,0.0666,4.0909,11.1721,7.8166,801500000,N/A,2061000000,70000000,0,180000000,31.4294,6.1716,2.1385,57.128,
600966.SH,≤©ª„÷Ω“µ,2004-06-22,1.6957,1.7031,1.7697,1.6809,1.7179,6589595,76971549,0.0222,1.31,11.6808,9.4137,812000000,N/A,2088000000,70000000,0,180000000,31.8412,6.2525,2.1665,57.8764,
600966.SH,≤©ª„÷Ω“µ,2004-06-23,1.7179,1.7149,1.7149,1.6675,1.6883,2705066,30770040,-0.0296,-1.7241,11.375,3.8644,798000000,N/A,2052000000,70000000,0,180000000,31.2922,6.1447,2.1292,56.8785,
600966.SH,≤©ª„÷Ω“µ,2004-06-24,1.6883,1.6883,1.7031,1.6601,1.6631,2177678,24608740,-0.0252,-1.4912,11.3004,3.111,786100000,N/A,2021400000,70000000,0,180000000,30.8255,6.053,2.0974,56.0304,
600966.SH,≤©ª„÷Ω“µ,2004-06-25,1.6631,1.6557,1.6734,1.5846,1.5876,3131258,34117726,-0.0755,-4.5414,10.8959,4.4732,750400000,N/A,1929600000,70000000,0,180000000,29.4256,5.7781,2.0022,53.4858,
600966.SH,≤©ª„÷Ω“µ,2004-06-28,1.5876,1.5772,1.5994,1.4365,1.4839,3305953,33630355,-0.1037,-6.5299,10.1727,4.7228,701400000,N/A,1803600000,70000000,0,180000000,27.5042,5.4008,1.8714,49.9932,
600966.SH,≤©ª„÷Ω“µ,2004-06-29,1.4839,1.4513,1.5283,1.4513,1.5135,2206051,22223279,0.0296,1.996,10.0738,3.1515,715400000,N/A,1839600000,70000000,0,180000000,28.0532,5.5086,1.9088,50.9911,
600966.SH,≤©ª„÷Ω“µ,2004-06-30,1.5135,1.5165,1.5165,1.4676,1.4706,1376250,13840215,-0.0429,-2.8376,10.0565,1.9661,695100000,N/A,1787400000,70000000,0,180000000,27.2571,5.3523,1.8546,49.5442,
600966.SH,≤©ª„÷Ω“µ,2004-07-01,1.4706,1.4706,1.5565,1.4706,1.5461,3845840,39566337,0.0755,5.136,10.2881,5.4941,730800000,N/A,1879200000,70000000,0,180000000,28.657,5.6272,1.9499,52.0888,
