代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600136.SH,当代明诚,1998-03-03,N/A,5.5722,5.8634,5.3377,5.4509,18525400,256590919,N/A,N/A,13.8508,74.1016,337000000,N/A,1280600000,25000000,0,95000000,47.2,9.975,12.9601,N/A,
600136.SH,当代明诚,1998-03-04,5.4509,5.3619,5.9968,5.3579,5.8634,10405200,149979674,0.4125,7.5668,14.4139,41.6208,362500000,N/A,1377500000,25000000,0,95000000,50.7716,10.7298,13.9407,N/A,
600136.SH,当代明诚,1998-03-05,5.8634,5.831,6.0575,5.6571,5.8634,5498400,79098154,0,0,14.3857,21.9936,362500000,N/A,1377500000,25000000,0,95000000,50.7716,10.7298,13.9407,N/A,
600136.SH,当代明诚,1998-03-06,5.8634,5.8229,6.2192,5.8027,5.9281,4646800,69357614,0.0647,1.1034,14.9259,18.5872,366500000,N/A,1392700000,25000000,0,95000000,51.3318,10.8482,14.0946,N/A,
600136.SH,当代明诚,1998-03-09,5.9281,5.9847,6.0655,5.7542,5.7623,3040600,44177156,-0.1658,-2.7967,14.5291,12.1624,356250000,N/A,1353750000,25000000,0,95000000,49.8962,10.5448,13.7004,N/A,
600136.SH,当代明诚,1998-03-10,5.7623,5.7421,5.8148,5.6127,5.641,2269300,31919172,-0.1213,-2.1053,14.0656,9.0772,348750000,N/A,1325250000,25000000,0,95000000,48.8457,10.3228,13.4119,N/A,
600136.SH,当代明诚,1998-03-11,5.641,5.6005,5.7704,5.5641,5.6005,1791200,25058294,-0.0404,-0.7168,13.9897,7.1648,346250000,N/A,1315750000,25000000,0,95000000,48.4956,10.2488,13.3158,N/A,
600136.SH,当代明诚,1998-03-12,5.6005,5.6612,5.8957,5.6612,5.7218,1644300,23494378,0.1213,2.1661,14.2884,6.5772,353750000,N/A,1344250000,25000000,0,95000000,49.546,10.4708,13.6042,N/A,
600136.SH,当代明诚,1998-03-13,5.7218,5.734,5.9038,5.6369,5.8512,1169700,16538598,0.1294,2.2615,14.1392,4.6788,361750000,N/A,1374650000,25000000,0,95000000,50.6665,10.7076,13.9119,N/A,
600136.SH,当代明诚,1998-03-16,5.8512,6.0251,6.4376,5.9483,6.4376,6893500,108937118,0.5863,10.0207,15.8029,27.574,398000000,N/A,1512400000,25000000,0,95000000,55.7437,11.7806,15.306,N/A,
600136.SH,当代明诚,1998-03-17,6.4376,6.6195,7.0805,6.5993,7.0805,6144900,104079743,0.6429,9.9874,16.9376,24.5796,437750000,N/A,1663450000,25000000,0,95000000,61.311,12.9572,16.8346,N/A,
600136.SH,当代明诚,1998-03-18,7.0805,7.2584,7.7801,6.9552,7.1654,6033900,110153006,0.0849,1.1993,18.2557,24.1356,443000000,N/A,1683400000,25000000,0,95000000,62.0464,13.1126,17.0365,N/A,
600136.SH,当代明诚,1998-03-19,7.1654,7.1573,7.4808,6.8743,7.0401,4330400,76914708,-0.1254,-1.7494,17.7616,17.3216,435250000,N/A,1653950000,25000000,0,95000000,60.9609,12.8832,16.7385,N/A,
600136.SH,当代明诚,1998-03-20,7.0401,7.0401,7.7437,6.9996,7.7437,4334000,79858024,0.7036,9.9943,18.4259,17.336,478750000,N/A,1819250000,25000000,0,95000000,67.0535,14.1707,18.4114,N/A,
600136.SH,当代明诚,1998-03-23,7.7437,7.683,8.4918,7.6547,8.2896,4920600,98218535,0.5459,7.0496,19.9607,19.6824,512500000,N/A,1947500000,25000000,0,95000000,71.7805,15.1697,19.7093,N/A,
600136.SH,当代明诚,1998-03-24,8.2896,8.0874,8.33,7.7235,7.8448,4810200,94846317,-0.4448,-5.3659,19.7177,19.2408,485000000,N/A,1843000000,25000000,0,95000000,67.9288,14.3557,18.6517,N/A,
600136.SH,当代明诚,1998-03-25,7.8448,7.8448,8.4311,7.8448,8.1885,3805100,76254171,0.3437,4.3814,20.04,15.2204,506250000,N/A,1923750000,25000000,0,95000000,70.9051,14.9847,19.4689,N/A,
600136.SH,当代明诚,1998-03-26,8.1885,8.33,8.5929,7.493,7.6345,3982800,79127515,-0.554,-6.7654,19.8673,15.9312,472000000,N/A,1793600000,25000000,0,95000000,66.1081,13.9709,18.1518,N/A,
600136.SH,当代明诚,1998-03-27,7.6345,7.6669,7.8407,7.2382,7.7962,4775500,88984512,0.1617,2.1186,18.6335,19.102,482000000,N/A,1831600000,25000000,0,95000000,67.5087,14.2669,18.5364,N/A,
600136.SH,当代明诚,1998-03-30,7.7962,7.958,8.0267,7.4808,7.6224,2662700,50403265,-0.1739,-2.2303,18.9294,10.6508,471250000,N/A,1790750000,25000000,0,95000000,66.003,13.9487,18.1229,N/A,
600136.SH,当代明诚,1998-03-31,7.6224,7.6022,8.3624,7.4808,8.047,3774800,75165389,0.4246,5.5703,19.9124,15.0992,497500000,N/A,1890500000,25000000,0,95000000,69.6796,14.7257,19.1324,N/A,
600136.SH,当代明诚,1998-04-01,8.047,8.0874,8.1278,7.7639,7.9256,2187100,42871527,-0.1213,-1.5075,19.602,8.7484,490000000,N/A,1862000000,25000000,0,95000000,68.6291,14.5037,18.844,N/A,
600136.SH,当代明诚,1998-04-02,7.9256,7.9256,8.1278,7.5617,7.8246,2860000,55010048,-0.1011,-1.2755,19.2343,11.44,483750000,N/A,1838250000,25000000,0,95000000,67.7538,14.3187,18.6037,N/A,
600136.SH,当代明诚,1998-04-03,7.8246,7.865,7.9459,7.4808,7.683,2211200,41806766,-0.1415,-1.8088,18.9068,8.8448,475000000,N/A,1805000000,25000000,0,95000000,66.5283,14.0597,18.2672,N/A,
600136.SH,当代明诚,1998-04-06,7.683,7.6507,7.8852,7.3595,7.8246,2402200,44910631,0.1415,1.8421,18.6956,9.6088,483750000,N/A,1838250000,25000000,0,95000000,67.7538,14.3187,18.6037,N/A,
600136.SH,当代明诚,1998-04-07,7.8246,7.683,8.4877,7.683,8.0267,3794600,76852014,0.2022,2.584,20.253,15.1784,496250000,N/A,1885750000,25000000,0,95000000,69.5045,14.6887,19.0844,N/A,
600136.SH,当代明诚,1998-04-08,8.0267,8.0065,8.1683,7.683,7.8003,2426400,46894637,-0.2264,-2.8212,19.3268,9.7056,482250000,N/A,1832550000,25000000,0,95000000,67.5437,14.2743,18.546,N/A,
600136.SH,当代明诚,1998-04-09,7.8003,7.7235,7.8852,7.4808,7.683,2343600,44227840,-0.1173,-1.5034,18.8718,9.3744,475000000,N/A,1805000000,25000000,0,95000000,66.5283,14.0597,18.2672,N/A,
600136.SH,当代明诚,1998-04-10,7.683,7.683,8.0267,7.6264,7.7437,1751700,33867676,0.0607,0.7895,19.3342,7.0068,478750000,N/A,1819250000,25000000,0,95000000,67.0535,14.1707,18.4114,N/A,
600136.SH,当代明诚,1998-04-13,7.7437,7.8852,8.5201,7.7437,8.2815,5002300,101739100,0.5378,6.9452,20.3385,20.0092,512000000,N/A,1945600000,25000000,0,95000000,71.7105,15.1549,19.6901,N/A,
600136.SH,当代明诚,1998-04-14,8.2815,8.2896,8.3947,7.9459,8.0025,1908400,38339440,-0.279,-3.3691,20.0898,7.6336,494750000,N/A,1880050000,25000000,0,95000000,69.2944,14.6443,19.0267,N/A,
600136.SH,当代明诚,1998-04-15,8.0025,7.9823,8.3098,7.9701,8.1885,1285000,25936928,0.186,2.3244,20.1844,5.14,506250000,N/A,1923750000,25000000,0,95000000,70.9051,14.9847,19.4689,N/A,
600136.SH,当代明诚,1998-04-16,8.1885,8.2289,8.8557,8.2289,8.3219,3117700,65861428,0.1334,1.6296,21.125,12.4708,514500000,N/A,1955100000,25000000,0,95000000,72.0606,15.2289,19.7862,N/A,
600136.SH,当代明诚,1998-04-17,8.3219,8.2855,8.33,7.7639,7.8407,2043300,40307574,-0.4812,-5.7823,19.7267,8.1732,484750000,N/A,1842050000,25000000,0,95000000,67.8938,14.3483,18.6421,N/A,
600136.SH,当代明诚,1998-04-20,7.8407,7.683,7.8893,7.6022,7.6264,1236300,23517858,-0.2143,-2.7334,19.0228,4.9452,471500000,N/A,1791700000,25000000,0,95000000,66.038,13.9561,18.1326,N/A,
600136.SH,当代明诚,1998-04-21,7.6264,7.6426,7.8812,7.6426,7.7316,890100,17017762,0.1051,1.3786,19.1189,3.5604,478000000,N/A,1816400000,25000000,0,95000000,66.9484,14.1485,18.3825,N/A,
600136.SH,当代明诚,1998-04-22,7.7316,7.7235,8.0065,7.6749,7.9863,937200,18040251,0.2548,3.295,19.2491,3.7488,493750000,N/A,1876250000,25000000,0,95000000,69.1544,14.6147,18.9882,N/A,
600136.SH,当代明诚,1998-04-23,7.9863,8.0631,8.0834,7.7639,7.7962,736200,14270567,-0.1901,-2.3797,19.3841,2.9448,482000000,N/A,1831600000,25000000,0,95000000,67.5087,14.2669,18.5364,N/A,
600136.SH,当代明诚,1998-04-24,7.7962,7.8043,7.9256,7.6022,7.6183,1251300,23875841,-0.1779,-2.2822,19.0808,5.0052,471000000,N/A,1789800000,25000000,0,95000000,65.968,13.9413,18.1133,N/A,
600136.SH,当代明诚,1998-04-27,7.6183,7.5617,7.7437,7.3595,7.7437,1401400,25938989,0.1254,1.6454,18.5093,5.6056,478750000,N/A,1819250000,25000000,0,95000000,67.0535,14.1707,18.4114,N/A,
600136.SH,当代明诚,1998-04-28,7.7437,7.679,7.8852,7.4444,7.7275,1309600,24787057,-0.0162,-0.2089,18.9272,5.2384,477750000,N/A,1815450000,25000000,0,95000000,66.9134,14.1411,18.3729,N/A,
600136.SH,当代明诚,1998-04-29,7.7275,7.683,7.8003,7.5294,7.6547,830300,15681206,-0.0728,-0.9419,18.8862,3.3212,473250000,N/A,1798350000,25000000,0,95000000,66.2831,14.0079,18.1999,N/A,
600136.SH,当代明诚,1998-04-30,7.6547,7.6426,8.0065,7.5617,7.7639,936800,18000018,0.1092,1.4263,19.2144,3.7472,480000000,N/A,1824000000,25000000,0,95000000,67.2286,14.2077,18.4594,N/A,
600136.SH,当代明诚,1998-05-04,7.7639,7.7962,8.0874,7.6183,8.0834,1920400,37529827,0.3195,4.1146,19.5427,7.6816,499750000,N/A,1899050000,25000000,0,95000000,69.9947,14.7923,19.219,N/A,
600136.SH,当代明诚,1998-05-05,8.0834,8.1197,8.1278,7.8043,7.8246,872300,17136851,-0.2588,-3.2016,19.6456,3.4892,483750000,N/A,1838250000,25000000,0,95000000,67.7538,14.3187,18.6037,N/A,
600136.SH,当代明诚,1998-05-06,7.8246,7.7518,7.8852,7.6426,7.7841,715800,13644907,-0.0404,-0.5168,19.0625,2.8632,481250000,N/A,1828750000,25000000,0,95000000,67.4036,14.2447,18.5075,N/A,
600136.SH,当代明诚,1998-05-07,7.7841,7.7558,7.7558,7.4404,7.4606,947800,17745550,-0.3235,-4.1558,18.7229,3.7912,461250000,N/A,1752750000,25000000,0,95000000,64.6024,13.6527,17.7384,N/A,
600136.SH,当代明诚,1998-05-08,7.4606,7.4404,7.6022,7.4,7.5981,963700,17839990,0.1375,1.8428,18.512,3.8548,469750000,N/A,1785050000,25000000,0,95000000,65.7929,13.9043,18.0653,N/A,
