¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
600830.SH,œ„“Á»⁄Õ®,1994-02-24,N/A,0.7964,0.8311,0.7555,0.8209,6895800,54027000,N/A,N/A,7.8348,54.2976,102108000,N/A,407628000,12700000,0,50700000,39.3949,6.0709,1.3926,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-02-25,0.8209,0.8372,0.878,0.825,0.8678,7034000,58836000,0.047,5.7214,8.3645,55.3858,107950000,N/A,430950000,12700000,0,50700000,41.6489,6.4183,1.4722,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-02-28,0.8678,0.8678,0.8678,0.7964,0.8035,2773100,22593000,-0.0643,-7.4118,8.1472,21.8354,99949000,N/A,399009000,12700000,0,50700000,38.562,5.9426,1.3631,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-01,0.8035,0.7964,0.8015,0.7443,0.7443,951200,7174000,-0.0592,-7.3698,7.5421,7.4898,92583000,N/A,369603000,12700000,0,50700000,35.72,5.5046,1.2627,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-02,0.7443,0.7433,0.78,0.7086,0.7331,1386500,10155000,-0.0112,-1.5089,7.3242,10.9173,91186000,N/A,364026000,12700000,0,50700000,35.181,5.4216,1.2436,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-03,0.7331,0.7402,0.7678,0.7229,0.7423,819600,5930000,0.0092,1.2535,7.2352,6.4535,92329000,N/A,368589000,12700000,0,50700000,35.622,5.4895,1.2592,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-04,0.7423,0.7351,0.8035,0.7269,0.7862,4038500,30729000,0.0439,5.9147,7.609,31.7992,97790000,N/A,390390000,12700000,0,50700000,37.729,5.8142,1.3337,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-07,0.7862,0.8015,0.8086,0.7882,0.7943,837700,6548000,0.0082,1.039,7.8166,6.5961,98806000,N/A,394446000,12700000,0,50700000,38.121,5.8746,1.3475,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-08,0.7943,0.8056,0.8056,0.7351,0.7606,1466300,11019000,-0.0337,-4.2416,7.5148,11.5457,94615000,N/A,377715000,12700000,0,50700000,36.504,5.6254,1.2904,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-09,0.7606,0.7555,0.8045,0.731,0.8015,3683400,28015000,0.0408,5.3691,7.6057,29.0031,99695000,N/A,397995000,12700000,0,50700000,38.464,5.9275,1.3597,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-10,0.8015,0.7964,0.7994,0.7259,0.7259,2373700,17859000,-0.0756,-9.4268,7.5237,18.6906,90297000,N/A,360477000,12700000,0,50700000,34.8381,5.3687,1.2315,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-11,0.7259,0.7259,0.7402,0.7045,0.729,1249900,8846000,0.0031,0.4219,7.0774,9.8417,90678000,N/A,361998000,12700000,0,50700000,34.985,5.3913,1.2367,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-14,0.729,0.7657,0.8066,0.7504,0.7964,2633600,20102000,0.0674,9.2437,7.6329,20.737,99060000,N/A,395460000,12700000,0,50700000,38.219,5.8897,1.351,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-15,0.7964,0.8076,0.8352,0.7688,0.7964,3740900,29350000,0,0,7.8457,29.4559,99060000,N/A,395460000,12700000,0,50700000,38.219,5.8897,1.351,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-16,0.7964,0.8066,0.9373,0.8066,0.9158,9219000,79091000,0.1195,15,8.5791,72.5906,113919000,N/A,454779000,12700000,0,50700000,43.9518,6.7732,1.5536,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-17,0.9158,0.9066,0.9087,0.8178,0.8576,4300800,36430000,-0.0582,-6.3545,8.4705,33.8646,106680000,N/A,425880000,12700000,0,50700000,41.1589,6.3428,1.4549,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-18,0.8576,0.8219,0.8382,0.7657,0.7872,1714800,13449000,-0.0704,-8.2143,7.8429,13.5024,97917000,N/A,390897000,12700000,0,50700000,37.778,5.8217,1.3354,N/A,
600830.SH,œ„“Á»⁄Õ®,1994-03-21,0.7872,0.7657,0.8117,0.7555,0.7657,1035000,8032000,-0.0214,-2.7237,7.7604,8.1496,95250000,N/A,380250000,12700000,0,50700000,36.749,5.6632,1.299,N/A,
