¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
601100.SH,∫„¡¢“∫—π,2011-10-28,N/A,14.5808,15.2781,14.0736,15.0752,66347839,1546351315,N/A,N/A,23.3067,78.9855,1997520000,N/A,9987600000,84000000,0,420000000,43.6663,18.9146,12.2247,201.0663,
601100.SH,∫„¡¢“∫—π,2011-10-31,15.0752,15.6902,16.0705,15.2845,15.5887,34531918,850092341,0.5135,3.4062,24.6176,41.1094,2065560000,N/A,10327800000,84000000,0,420000000,45.1537,19.5589,12.6411,207.9151,
601100.SH,∫„¡¢“∫—π,2011-11-01,15.5887,15.817,16.1973,15.538,15.7346,26333826,656522625,0.1458,0.9353,24.9308,31.3498,2084880000,N/A,10424400000,84000000,0,420000000,45.576,19.7418,12.7594,209.8598,
601100.SH,∫„¡¢“∫—π,2011-11-02,15.7346,15.4683,16.3812,15.3288,16.2924,22286307,558689980,0.5579,3.5455,25.0688,26.5313,2158800000,N/A,10794000000,84000000,0,420000000,47.192,20.4418,13.2118,217.3004,
601100.SH,∫„¡¢“∫—π,2011-11-03,16.2924,15.9755,16.1973,15.2908,15.4176,28360661,702329338,-0.8748,-5.3696,24.7642,33.7627,2042880000,N/A,10214400000,84000000,0,420000000,44.6579,19.3441,12.5023,205.6322,
601100.SH,∫„¡¢“∫—π,2011-11-04,15.4176,15.7219,15.9755,15.4683,15.6141,18550764,459297823,0.1965,1.2747,24.759,22.0842,2068920000,N/A,10344600000,84000000,0,420000000,45.2272,19.5907,12.6617,208.2533,
601100.SH,∫„¡¢“∫—π,2011-11-07,15.6141,15.4049,15.462,14.866,14.8914,15055149,358211824,-0.7227,-4.6285,23.7933,17.9228,1973160000,N/A,9865800000,84000000,0,420000000,43.1338,18.684,12.0757,198.6143,
601100.SH,∫„¡¢“∫—π,2011-11-08,14.8914,14.8343,15.2654,14.809,15.145,10603255,250849043,0.2536,1.7029,23.6577,12.6229,2006760000,N/A,10033800000,84000000,0,420000000,43.8683,19.0021,12.2813,201.9964,
601100.SH,∫„¡¢“∫—π,2011-11-09,15.145,15.1513,15.2464,14.8977,15.202,7839781,186629165,0.0571,0.3767,23.8054,9.3331,2014320000,N/A,10071600000,84000000,0,420000000,44.0336,19.0737,12.3276,202.7574,
601100.SH,∫„¡¢“∫—π,2011-11-10,15.202,15.0245,15.3669,14.8724,14.9231,8099292,193114696,-0.2789,-1.8349,23.8434,9.642,1977360000,N/A,9886800000,84000000,0,420000000,43.2256,18.7237,12.1014,199.0371,
