股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
上证转债,000139,2016-06-13,258.28,257.12,258.28,257.05,15211,169919262.0,0.48,-0.46,-1.2,0.0
上证转债,000139,2016-06-14,257.12,257.48,257.57,256.65,11728,131847453.0,0.36,0.14,0.36,0.0
上证转债,000139,2016-06-15,257.47,258.24,258.52,256.99,11516,129998776.0,0.59,0.3,0.76,0.0
上证转债,000139,2016-06-16,258.17,257.41,258.24,256.98,15413,172056623.0,0.49,-0.32,-0.83,0.0
上证转债,000139,2016-06-17,257.41,257.39,258.05,257.16,14970,170362988.0,0.35,-0.01,-0.02,0.0
上证转债,000139,2016-06-20,257.44,257.37,257.83,256.93,9347,105363607.0,0.35,-0.01,-0.02,0.0
上证转债,000139,2016-06-21,257.38,257.57,257.88,257.07,10916,124693738.0,0.31,0.08,0.2,0.0
上证转债,000139,2016-06-22,257.57,258.09,258.15,257.37,9999,111085359.0,0.3,0.2,0.52,0.0
上证转债,000139,2016-06-23,258.17,258.47,258.5,257.65,13902,160626316.0,0.33,0.15,0.38,0.0
上证转债,000139,2016-06-24,258.47,258.07,258.61,257.19,16220,185103086.0,0.55,-0.15,-0.4,0.0
上证转债,000139,2016-06-27,258.07,258.06,258.37,257.87,12492,143518766.0,0.19,0.0,-0.01,0.0
上证转债,000139,2016-06-28,258.06,258.59,258.61,257.47,14881,170076079.0,0.44,0.21,0.53,0.0
上证转债,000139,2016-06-29,258.64,259.88,260.05,258.51,31911,365319872.0,0.6,0.5,1.29,0.0
上证转债,000139,2016-06-30,259.82,259.59,259.92,259.23,30051,348960768.0,0.27,-0.11,-0.29,0.0
上证转债,000139,2016-07-01,259.59,259.54,259.77,259.22,10531,119238371.0,0.21,-0.02,-0.05,0.0
上证转债,000139,2016-07-04,259.46,262.81,262.99,259.36,44362,508831760.0,1.4,1.26,3.27,0.0
上证转债,000139,2016-07-05,262.84,264.16,265.29,262.51,51206,586008432.0,1.06,0.51,1.35,0.0
上证转债,000139,2016-07-06,264.2,264.95,265.04,263.35,30258,351940080.0,0.64,0.3,0.79,0.0
上证转债,000139,2016-07-07,264.98,264.74,265.27,263.94,35128,404978688.0,0.5,-0.08,-0.21,0.0
上证转债,000139,2016-07-08,264.51,262.61,264.51,261.93,48893,569998000.0,0.97,-0.8,-2.13,0.0
上证转债,000139,2016-07-11,262.61,262.07,263.27,261.92,31475,364339696.0,0.51,-0.21,-0.54,0.0
上证转债,000139,2016-07-12,262.07,262.72,262.79,260.9,39090,454317008.0,0.72,0.25,0.65,0.0
上证转债,000139,2016-07-13,263.32,265.81,265.97,262.99,56736,657204304.0,1.13,1.18,3.09,0.0
上证转债,000139,2016-07-14,265.8,266.01,266.43,265.36,28810,340493776.0,0.4,0.08,0.2,0.0
上证转债,000139,2016-07-15,266.01,265.55,266.63,265.49,12144,141142128.0,0.43,-0.17,-0.46,0.0
上证转债,000139,2016-07-18,265.55,264.89,265.93,264.67,15728,181846705.0,0.47,-0.25,-0.66,0.0
