股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
深振业Ａ,000006,2016-06-13,6.07,5.79,6.08,5.79,154725,111363539.0,4.74,-5.39,-0.33,1.15
深振业Ａ,000006,2016-06-14,5.79,5.8,5.83,5.74,98059,69158443.0,1.55,0.17,0.01,0.73
深振业Ａ,000006,2016-06-15,5.75,5.93,6.0,5.7,118400,84878203.0,5.17,2.24,0.13,0.88
深振业Ａ,000006,2016-06-16,5.93,5.86,5.96,5.83,110063,78531961.0,2.19,-1.18,-0.07,0.82
深振业Ａ,000006,2016-06-17,5.91,6.09,6.25,5.88,205603,147449100.0,6.31,3.92,0.23,1.53
深振业Ａ,000006,2016-06-20,6.0,5.99,6.05,5.92,102546,73067002.0,2.13,-1.64,-0.1,0.77
深振业Ａ,000006,2016-06-21,6.04,5.98,6.12,5.92,111132,79847678.0,3.34,-0.17,-0.01,0.83
深振业Ａ,000006,2016-06-22,5.92,6.12,6.21,5.92,156942,113720430.0,4.85,2.34,0.14,1.17
深振业Ａ,000006,2016-06-23,6.14,6.09,6.25,6.06,168187,122590177.0,3.1,-0.49,-0.03,1.25
深振业Ａ,000006,2016-06-24,6.07,6.2,6.31,5.87,290269,210806083.0,7.22,1.81,0.11,2.17
深振业Ａ,000006,2016-06-27,6.15,6.26,6.28,6.12,181804,133776956.0,2.58,0.97,0.06,1.36
深振业Ａ,000006,2016-06-28,6.24,6.33,6.4,6.16,255012,190250779.0,3.83,1.12,0.07,1.9
深振业Ａ,000006,2016-06-29,6.35,6.26,6.42,6.23,172019,127612096.0,3.0,-1.11,-0.07,1.28
深振业Ａ,000006,2016-06-30,6.26,6.23,6.3,6.19,123297,91004514.0,1.76,-0.48,-0.03,0.92
深振业Ａ,000006,2016-07-01,6.26,6.19,6.3,6.19,112011,82648051.0,1.77,-0.64,-0.04,0.83
深振业Ａ,000006,2016-07-04,6.1,6.32,6.34,6.1,195279,144800806.0,3.88,2.1,0.13,1.45
深振业Ａ,000006,2016-07-05,6.33,6.37,6.44,6.28,194972,146265749.0,2.53,0.79,0.05,1.45
深振业Ａ,000006,2016-07-06,6.41,6.57,6.84,6.39,425299,329786560.0,7.06,3.14,0.2,3.16
深振业Ａ,000006,2016-07-07,6.48,6.42,6.5,6.32,218714,165015592.0,2.74,-2.28,-0.15,1.63
深振业Ａ,000006,2016-07-08,6.42,6.45,6.48,6.34,161534,121909673.0,2.18,0.47,0.03,1.2
深振业Ａ,000006,2016-07-11,6.45,6.36,6.48,6.35,146938,110937627.0,2.02,-1.4,-0.09,1.09
深振业Ａ,000006,2016-07-12,6.36,6.45,6.45,6.25,191654,143686820.0,3.14,1.42,0.09,1.42
深振业Ａ,000006,2016-07-13,6.42,6.56,6.59,6.42,275501,210989733.0,2.64,1.71,0.11,2.05
深振业Ａ,000006,2016-07-14,6.5,6.5,6.61,6.45,164199,125959843.0,2.44,-0.91,-0.06,1.22
深振业Ａ,000006,2016-07-15,6.52,6.5,6.6,6.48,104282,80047007.0,1.85,0.0,0.0,0.78
深振业Ａ,000006,2016-07-18,6.5,6.39,6.5,6.36,101940,77079723.0,2.15,-1.69,-0.11,0.76
深振业Ａ,000006,2016-07-19,6.38,6.51,6.54,6.37,146155,111233463.0,2.66,1.88,0.12,1.09
深振业Ａ,000006,2016-07-20,6.5,6.49,6.58,6.45,155532,119166632.0,2.0,-0.31,-0.02,1.16
深振业Ａ,000006,2016-07-21,6.48,6.54,6.68,6.48,175263,135036821.0,3.08,0.77,0.05,1.3
深振业Ａ,000006,2016-07-22,6.52,6.44,6.56,6.41,114114,87136309.0,2.29,-1.53,-0.1,0.85
深振业Ａ,000006,2016-07-25,6.44,6.47,6.53,6.39,85018,64720171.0,2.17,0.47,0.03,0.63
深振业Ａ,000006,2016-07-26,6.44,6.53,6.53,6.44,126792,96888931.0,1.39,0.93,0.06,0.94
深振业Ａ,000006,2016-07-27,6.53,6.26,6.6,6.12,256470,192421816.0,7.35,-4.13,-0.27,1.91
深振业Ａ,000006,2016-07-28,6.31,6.29,6.34,6.12,142661,105354913.0,3.51,0.48,0.03,1.06
深振业Ａ,000006,2016-07-29,6.31,6.29,6.41,6.24,113884,84909195.0,2.7,0.0,0.0,0.85
深振业Ａ,000006,2016-08-01,6.23,6.08,6.23,6.02,118111,85568912.0,3.34,-3.34,-0.21,0.88
深振业Ａ,000006,2016-08-02,6.09,6.23,6.24,6.07,84038,61330308.0,2.8,2.47,0.15,0.62
深振业Ａ,000006,2016-08-03,6.29,6.97,6.97,6.27,610141,485934112.0,11.24,11.88,0.74,4.54
深振业Ａ,000006,2016-08-04,7.09,7.22,7.29,6.93,1219023,1004160896.0,5.16,3.59,0.25,9.06
深振业Ａ,000006,2016-08-05,7.07,7.05,7.24,7.03,669760,552021296.0,2.91,-2.35,-0.17,4.98
深振业Ａ,000006,2016-08-08,7.04,7.1,7.42,6.99,692357,576164960.0,6.1,0.71,0.05,5.15
深振业Ａ,000006,2016-08-09,7.03,7.19,7.31,6.97,554871,458431056.0,4.79,1.27,0.09,4.12
深振业Ａ,000006,2016-08-10,7.11,7.03,7.18,6.98,421508,345793664.0,2.78,-2.23,-0.16,3.13
深振业Ａ,000006,2016-08-11,7.05,6.96,7.18,6.92,445970,366166000.0,3.7,-1.0,-0.07,3.32
深振业Ａ,000006,2016-08-12,6.97,7.19,7.22,6.8,617371,505501680.0,6.03,3.3,0.23,4.59
深振业Ａ,000006,2016-08-15,7.26,7.41,7.68,7.2,856128,733781344.0,6.68,3.06,0.22,6.36
深振业Ａ,000006,2016-08-16,7.4,7.58,7.96,7.22,893396,778114912.0,9.99,2.29,0.17,6.64
深振业Ａ,000006,2016-08-17,7.58,7.67,8.04,7.49,938075,841006080.0,7.26,1.19,0.09,6.97
深振业Ａ,000006,2016-08-18,7.54,7.87,8.22,7.46,937684,842813504.0,9.91,2.61,0.2,6.97
深振业Ａ,000006,2016-08-19,7.78,7.61,7.82,7.55,521728,458621712.0,3.43,-3.3,-0.26,3.88
深振业Ａ,000006,2016-08-22,7.55,7.37,7.67,7.33,336572,289935904.0,4.47,-3.15,-0.24,2.5
