股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中证500ETF沽12月5000,90002320,2023-06-27,0.0138,0.0108,0.0166,0.0108,685,99791.0,0.0,0.0,0.0,0.0
中证500ETF沽12月5000,90002320,2023-06-28,0.011,0.011,0.0153,0.011,392,52461.0,39.81,1.85,0.0002,0.0
中证500ETF沽12月5000,90002320,2023-06-29,0.0114,0.0106,0.0134,0.0106,179,20682.0,25.45,-3.64,-0.0004,0.0
中证500ETF沽12月5000,90002320,2023-06-30,0.0107,0.0096,0.0112,0.0096,314,32987.0,15.09,-9.43,-0.001,0.0
中证500ETF沽12月5000,90002320,2023-07-03,0.0098,0.008,0.01,0.008,518,45132.0,20.83,-16.67,-0.0016,0.0
中证500ETF沽12月5000,90002320,2023-07-04,0.008,0.0072,0.0085,0.0072,147,12466.0,16.25,-10.0,-0.0008,0.0
中证500ETF沽12月5000,90002320,2023-07-05,0.0079,0.0074,0.0079,0.0073,166,12246.0,8.33,2.78,0.0002,0.0
中证500ETF沽12月5000,90002320,2023-07-06,0.008,0.0082,0.0084,0.007,168,12094.0,18.42,7.89,0.0006,0.0
中证500ETF沽12月5000,90002320,2023-07-07,0.0083,0.0095,0.0103,0.0083,246,24215.0,24.1,14.46,0.0012,0.0
中证500ETF沽12月5000,90002320,2023-07-10,0.0087,0.0086,0.0087,0.008,67,5610.0,7.61,-6.52,-0.0006,0.0
中证500ETF沽12月5000,90002320,2023-07-11,0.0072,0.0061,0.0072,0.0061,165,11426.0,13.58,-24.69,-0.002,0.0
中证500ETF沽12月5000,90002320,2023-07-12,0.0061,0.0071,0.0071,0.006,384,25145.0,18.03,16.39,0.001,0.0
中证500ETF沽12月5000,90002320,2023-07-13,0.0069,0.0052,0.0069,0.0052,414,22654.0,23.94,-26.76,-0.0019,0.0
中证500ETF沽12月5000,90002320,2023-07-14,0.0051,0.0052,0.0057,0.0051,53,2920.0,11.54,0.0,0.0,0.0
中证500ETF沽12月5000,90002320,2023-07-17,0.0053,0.0053,0.0065,0.0053,153,9602.0,23.08,1.92,0.0001,0.0
中证500ETF沽12月5000,90002320,2023-07-18,0.0055,0.0051,0.006,0.0051,15,862.0,16.98,-3.77,-0.0002,0.0
中证500ETF沽12月5000,90002320,2023-07-19,0.0051,0.0057,0.0062,0.0051,66,4006.0,21.57,11.76,0.0006,0.0
中证500ETF沽12月5000,90002320,2023-07-20,0.0057,0.0086,0.0086,0.0055,158,10812.0,54.39,50.88,0.0029,0.0
中证500ETF沽12月5000,90002320,2023-07-21,0.0086,0.0073,0.0089,0.0072,193,16167.0,19.77,-15.12,-0.0013,0.0
中证500ETF沽12月5000,90002320,2023-07-24,0.008,0.0072,0.0087,0.0072,180,14916.0,20.55,-1.37,-0.0001,0.0
中证500ETF沽12月5000,90002320,2023-07-25,0.0063,0.0054,0.0063,0.0054,23,1273.0,12.5,-25.0,-0.0018,0.0
中证500ETF沽12月5000,90002320,2023-07-26,0.0063,0.0048,0.0063,0.0048,94,4821.0,27.78,-11.11,-0.0006,0.0
中证500ETF沽12月5000,90002320,2023-07-27,0.005,0.0042,0.005,0.0036,520,19771.0,29.17,-12.5,-0.0006,0.0
中证500ETF沽12月5000,90002320,2023-07-28,0.0048,0.0036,0.0048,0.0036,223,9089.0,28.57,-14.29,-0.0006,0.0
中证500ETF沽12月5000,90002320,2023-07-31,0.0034,0.0026,0.0037,0.0025,427,12094.0,33.33,-27.78,-0.001,0.0
中证500ETF沽12月5000,90002320,2023-08-01,0.0031,0.0025,0.0031,0.0025,73,2039.0,20.0,-16.67,-0.0005,0.0
中证500ETF沽12月5000,90002320,2023-08-02,0.0024,0.0025,0.0025,0.0024,5,122.0,4.17,4.17,0.0001,0.0
中证500ETF沽12月5000,90002320,2023-08-03,0.0025,0.0027,0.0029,0.0025,22,622.0,16.0,8.0,0.0002,0.0
中证500ETF沽12月5000,90002320,2023-08-04,0.0031,0.0023,0.0032,0.0023,400,10467.0,33.33,-14.81,-0.0004,0.0
中证500ETF沽12月5000,90002320,2023-08-07,0.0026,0.003,0.003,0.0026,80,2280.0,16.67,25.0,0.0006,0.0
中证500ETF沽12月5000,90002320,2023-08-08,0.0029,0.0033,0.0034,0.0029,161,5159.0,17.24,13.79,0.0004,0.0
中证500ETF沽12月5000,90002320,2023-08-09,0.0034,0.0036,0.0037,0.0032,205,7102.0,16.13,16.13,0.0005,0.0
中证500ETF沽12月5000,90002320,2023-08-10,0.0036,0.0034,0.0037,0.003,109,3801.0,20.0,-2.86,-0.0001,0.0
中证500ETF沽12月5000,90002320,2023-08-11,0.0039,0.0061,0.0063,0.0039,537,29882.0,72.73,84.85,0.0028,0.0
中证500ETF沽12月5000,90002320,2023-08-14,0.0072,0.0055,0.0098,0.0055,476,38404.0,70.49,-9.84,-0.0006,0.0
中证500ETF沽12月5000,90002320,2023-08-15,0.0056,0.0064,0.009,0.0048,372,25284.0,76.36,16.36,0.0009,0.0
中证500ETF沽12月5000,90002320,2023-08-16,0.0064,0.0082,0.0084,0.0064,271,20694.0,31.25,28.13,0.0018,0.0
中证500ETF沽12月5000,90002320,2023-08-17,0.0085,0.0072,0.0113,0.007,590,56067.0,52.44,-12.2,-0.001,0.0
中证500ETF沽12月5000,90002320,2023-08-18,0.0066,0.0116,0.0121,0.0066,264,25077.0,76.39,61.11,0.0044,0.0
中证500ETF沽12月5000,90002320,2023-08-21,0.0121,0.0163,0.0168,0.0104,413,55203.0,55.17,40.52,0.0047,0.0
中证500ETF沽12月5000,90002320,2023-08-22,0.0163,0.0146,0.0208,0.0138,1079,177965.0,42.94,-10.43,-0.0017,0.0
中证500ETF沽12月5000,90002320,2023-08-23,0.0156,0.0203,0.0222,0.0146,650,115118.0,52.05,39.04,0.0057,0.0
中证500ETF沽12月5000,90002320,2023-08-24,0.0207,0.0183,0.0207,0.0153,288,52234.0,26.6,-9.85,-0.002,0.0
中证500ETF沽12月5000,90002320,2023-08-25,0.0184,0.0285,0.0323,0.0175,1507,351136.0,80.87,55.74,0.0102,0.0
中证500ETF沽12月5000,90002320,2023-08-28,0.0142,0.0235,0.0256,0.003,2580,420302.0,79.3,-17.54,-0.005,0.0
中证500ETF沽12月5000,90002320,2023-08-29,0.0232,0.0131,0.0232,0.0107,846,118158.0,53.19,-44.26,-0.0104,0.0
中证500ETF沽12月5000,90002320,2023-08-30,0.0128,0.0115,0.013,0.0115,183,22418.0,11.45,-12.21,-0.0016,0.0
中证500ETF沽12月5000,90002320,2023-08-31,0.0117,0.0112,0.0117,0.011,72,7979.0,5.93,-5.08,-0.0006,0.0
中证500ETF沽12月5000,90002320,2023-09-01,0.0112,0.0097,0.0112,0.0095,3,304.0,15.18,-13.39,-0.0015,0.0
中证500ETF沽12月5000,90002320,2023-09-04,0.0096,0.0073,0.0096,0.0069,163,12032.0,27.84,-24.74,-0.0024,0.0
中证500ETF沽12月5000,90002320,2023-09-05,0.0077,0.0084,0.0084,0.0069,237,18166.0,20.55,15.07,0.0011,0.0
中证500ETF沽12月5000,90002320,2023-09-06,0.0087,0.0078,0.009,0.0078,62,5535.0,14.29,-7.14,-0.0006,0.0
中证500ETF沽12月5000,90002320,2023-09-07,0.0079,0.0114,0.0116,0.0079,182,18695.0,47.44,46.15,0.0036,0.0
中证500ETF沽12月5000,90002320,2023-09-08,0.0127,0.0109,0.0127,0.0104,92,10236.0,20.18,-4.39,-0.0005,0.0
中证500ETF沽12月5000,90002320,2023-09-11,0.0115,0.0082,0.0115,0.0078,262,24717.0,33.94,-24.77,-0.0027,0.0
中证500ETF沽12月5000,90002320,2023-09-12,0.0092,0.0074,0.0092,0.0074,232,19646.0,21.95,-9.76,-0.0008,0.0
中证500ETF沽12月5000,90002320,2023-09-13,0.0077,0.0105,0.0115,0.0077,260,27182.0,51.35,41.89,0.0031,0.0
中证500ETF沽12月5000,90002320,2023-09-14,0.0103,0.0098,0.0103,0.0098,62,6331.0,4.76,-6.67,-0.0007,0.0
中证500ETF沽12月5000,90002320,2023-09-15,0.0098,0.0113,0.0121,0.0098,312,32431.0,23.47,15.31,0.0015,0.0
中证500ETF沽12月5000,90002320,2023-09-18,0.0109,0.0099,0.0109,0.0094,146,14454.0,13.27,-12.39,-0.0014,0.0
中证500ETF沽12月5000,90002320,2023-09-19,0.0105,0.0103,0.0111,0.01,126,13862.0,11.11,4.04,0.0004,0.0
中证500ETF沽12月5000,90002320,2023-09-20,0.0112,0.0108,0.0112,0.0098,298,30218.0,13.59,4.85,0.0005,0.0
中证500ETF沽12月5000,90002320,2023-09-21,0.0118,0.0118,0.0126,0.0106,792,91563.0,18.52,9.26,0.001,0.0
中证500ETF沽12月5000,90002320,2023-09-22,0.0128,0.0088,0.0128,0.0088,79,8676.0,33.9,-25.42,-0.003,0.0
中证500ETF沽12月5000,90002320,2023-09-25,0.009,0.0085,0.009,0.0085,32,2845.0,5.68,-3.41,-0.0003,0.0
中证500ETF沽12月5000,90002320,2023-09-26,0.0082,0.0082,0.0082,0.0078,11,870.0,4.71,-3.53,-0.0003,0.0
中证500ETF沽12月5000,90002320,2023-09-27,0.0079,0.0074,0.008,0.0074,474,36741.0,7.41,-8.64,-0.0007,0.0
中证500ETF沽12月5000,90002320,2023-09-28,0.0074,0.0065,0.0074,0.0065,70,5035.0,12.16,-12.16,-0.0009,0.0
中证500ETF沽12月5000,90002320,2023-10-09,0.0068,0.0053,0.0068,0.0053,143,8651.0,20.83,-26.39,-0.0019,0.0
中证500ETF沽12月5000,90002320,2023-10-10,0.0053,0.0054,0.0054,0.0052,22,1147.0,3.77,1.89,0.0001,0.0
中证500ETF沽12月5000,90002320,2023-10-11,0.0054,0.0046,0.0054,0.0038,31,1348.0,29.63,-14.81,-0.0008,0.0
中证500ETF沽12月5000,90002320,2023-10-12,0.0045,0.0037,0.0045,0.0032,613,22430.0,28.26,-19.57,-0.0009,0.0
中证500ETF沽12月5000,90002320,2023-10-13,0.0043,0.004,0.0043,0.0035,13,475.0,21.62,8.11,0.0003,0.0
中证500ETF沽12月5000,90002320,2023-10-16,0.004,0.0059,0.0059,0.004,181,9543.0,47.5,47.5,0.0019,0.0
中证500ETF沽12月5000,90002320,2023-10-17,0.0056,0.0052,0.0056,0.0049,282,15088.0,11.86,-11.86,-0.0007,0.0
中证500ETF沽12月5000,90002320,2023-10-18,0.0053,0.0073,0.0073,0.0053,257,15876.0,38.46,40.38,0.0021,0.0
中证500ETF沽12月5000,90002320,2023-10-19,0.0074,0.0116,0.0116,0.006,1154,105443.0,76.71,58.9,0.0043,0.0
中证500ETF沽12月5000,90002320,2023-10-20,0.0121,0.0161,0.0177,0.0106,1847,238421.0,62.83,42.48,0.0048,0.0
中证500ETF沽12月5000,90002320,2023-10-23,0.0169,0.0366,0.0431,0.0169,3727,1067888.0,162.73,127.33,0.0205,0.0
中证500ETF沽12月5000,90002320,2023-10-24,0.0324,0.0229,0.0353,0.0203,1853,521596.0,40.98,-37.43,-0.0137,0.0
中证500ETF沽12月5000,90002320,2023-10-25,0.0208,0.0156,0.0208,0.0139,1272,192663.0,30.13,-31.88,-0.0073,0.0
中证500ETF沽12月5000,90002320,2023-10-26,0.0169,0.0141,0.0181,0.0118,581,97999.0,40.38,-9.62,-0.0015,0.0
中证500ETF沽12月5000,90002320,2023-10-27,0.014,0.008,0.014,0.0071,862,84448.0,48.94,-43.26,-0.0061,0.0
中证500ETF沽12月5000,90002320,2023-10-30,0.008,0.0064,0.008,0.0059,493,31630.0,26.25,-20.0,-0.0016,0.0
中证500ETF沽12月5000,90002320,2023-10-31,0.0063,0.0062,0.007,0.0061,426,27115.0,14.06,-3.13,-0.0002,0.0
中证500ETF沽12月5000,90002320,2023-11-01,0.0058,0.0055,0.0065,0.0055,443,26397.0,16.13,-11.29,-0.0007,0.0
中证500ETF沽12月5000,90002320,2023-11-02,0.0055,0.007,0.0071,0.0055,188,12180.0,27.59,20.69,0.0012,0.0
