股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
380金融,000110,2016-06-13,5008.55,4866.52,5035.55,4863.37,1332514,1143574688.0,3.39,-4.1,-208.24,0.0
380金融,000110,2016-06-14,4859.63,4899.4,4913.38,4856.04,1067649,885411280.0,1.18,0.68,32.88,0.0
380金融,000110,2016-06-15,4857.03,5009.09,5016.41,4844.21,1374728,1186381776.0,3.51,2.24,109.69,0.0
380金融,000110,2016-06-16,4995.35,4973.2,5000.25,4946.02,1126641,941096736.0,1.08,-0.72,-35.89,0.0
380金融,000110,2016-06-17,4976.31,4993.36,5029.29,4975.65,1070980,918773408.0,1.08,0.41,20.16,0.0
380金融,000110,2016-06-20,5007.75,5020.26,5024.31,4966.69,1098774,949433888.0,1.15,0.54,26.9,0.0
380金融,000110,2016-06-21,5033.14,4988.28,5063.9,4971.01,1095700,938167488.0,1.85,-0.64,-31.98,0.0
380金融,000110,2016-06-22,4982.33,5019.57,5021.04,4949.12,851282,704889568.0,1.44,0.63,31.29,0.0
380金融,000110,2016-06-23,5017.49,5023.07,5042.55,4992.52,1270963,1048468000.0,1.0,0.07,3.5,0.0
380金融,000110,2016-06-24,5028.3,4992.78,5070.64,4887.39,2227558,1938441792.0,3.65,-0.6,-30.29,0.0
380金融,000110,2016-06-27,4954.38,5063.41,5065.67,4952.39,1467328,1281343008.0,2.27,1.41,70.63,0.0
380金融,000110,2016-06-28,5042.97,5086.97,5092.15,5006.75,1571908,1276745328.0,1.69,0.47,23.56,0.0
380金融,000110,2016-06-29,5092.17,5120.58,5133.62,5083.16,1886592,1544732960.0,0.99,0.66,33.61,0.0
380金融,000110,2016-06-30,5121.56,5112.49,5130.79,5094.65,1337928,1137558368.0,0.71,-0.16,-8.09,0.0
380金融,000110,2016-07-01,5110.17,5121.94,5136.13,5094.88,1198951,971234976.0,0.81,0.18,9.45,0.0
380金融,000110,2016-07-04,5092.06,5227.36,5247.48,5083.03,1929168,1690095184.0,3.21,2.06,105.42,0.0
380金融,000110,2016-07-05,5233.01,5271.85,5273.55,5215.57,1875234,1521165312.0,1.11,0.85,44.49,0.0
380金融,000110,2016-07-06,5271.78,5269.2,5316.27,5248.27,1949287,1528287200.0,1.29,-0.05,-2.65,0.0
380金融,000110,2016-07-07,5258.47,5237.33,5260.76,5194.05,1611254,1269253936.0,1.27,-0.6,-31.87,0.0
380金融,000110,2016-07-08,5236.78,5229.08,5243.91,5209.15,1383573,1107970128.0,0.66,-0.16,-8.25,0.0
380金融,000110,2016-07-11,5222.56,5205.01,5247.5,5190.15,2099556,1822082224.0,1.1,-0.46,-24.07,0.0
380金融,000110,2016-07-12,5187.31,5230.98,5233.77,5129.52,1846078,1563687664.0,2.0,0.5,25.97,0.0
380金融,000110,2016-07-13,5249.74,5298.58,5310.59,5246.7,2088638,1760106896.0,1.22,1.29,67.6,0.0
380金融,000110,2016-07-14,5299.81,5309.51,5315.87,5270.73,1502876,1349305616.0,0.85,0.21,10.93,0.0
380金融,000110,2016-07-15,5308.2,5301.6,5331.49,5298.38,1582880,1471014688.0,0.62,-0.15,-7.91,0.0
380金融,000110,2016-07-18,5302.6,5264.64,5309.86,5249.93,1322631,1156372064.0,1.13,-0.7,-36.96,0.0
380金融,000110,2016-07-19,5287.53,5307.04,5310.04,5256.49,1442480,1306449712.0,1.02,0.81,42.4,0.0
380金融,000110,2016-07-20,5310.08,5317.28,5345.06,5296.27,1872660,1959911776.0,0.92,0.19,10.24,0.0
380金融,000110,2016-07-21,5300.38,5360.92,5375.36,5300.38,2185960,2195036176.0,1.41,0.82,43.64,0.0
380金融,000110,2016-07-22,5353.54,5342.54,5364.05,5331.08,1831213,1799178288.0,0.62,-0.34,-18.38,0.0
380金融,000110,2016-07-25,5333.17,5363.64,5381.07,5314.13,1848512,1810763392.0,1.25,0.39,21.1,0.0
380金融,000110,2016-07-26,5364.1,5403.68,5406.03,5353.8,1653876,1481661440.0,0.97,0.75,40.04,0.0
380金融,000110,2016-07-27,5401.72,5238.6,5438.96,5166.14,3082285,2706152208.0,5.05,-3.05,-165.08,0.0
380金融,000110,2016-07-28,5246.93,5299.12,5301.0,5178.82,2675616,2329877968.0,2.33,1.16,60.52,0.0
380金融,000110,2016-07-29,5277.99,5228.74,5280.39,5210.89,1813161,1544759248.0,1.31,-1.33,-70.38,0.0
380金融,000110,2016-08-01,5198.94,5122.68,5201.29,5078.56,1783079,1458661984.0,2.35,-2.03,-106.06,0.0
380金融,000110,2016-08-02,5126.4,5194.19,5195.18,5115.62,1291611,1127544800.0,1.55,1.4,71.51,0.0
380金融,000110,2016-08-03,5175.97,5295.59,5307.38,5164.17,2552565,2001862336.0,2.76,1.95,101.4,0.0
380金融,000110,2016-08-04,5279.8,5322.34,5334.33,5260.07,2272963,1728468464.0,1.4,0.51,26.75,0.0
380金融,000110,2016-08-05,5325.35,5361.6,5422.93,5325.35,2654060,2267901632.0,1.83,0.74,39.26,0.0
380金融,000110,2016-08-08,5337.43,5416.52,5422.92,5321.14,2870927,2383549920.0,1.9,1.02,54.92,0.0
380金融,000110,2016-08-09,5402.7,5426.34,5427.87,5373.89,2008840,1723123168.0,1.0,0.18,9.82,0.0
380金融,000110,2016-08-10,5418.05,5371.58,5423.59,5361.91,1920949,1684663376.0,1.14,-1.01,-54.76,0.0
380金融,000110,2016-08-11,5362.08,5294.16,5376.53,5291.76,1606986,1378415216.0,1.58,-1.44,-77.42,0.0
380金融,000110,2016-08-12,5288.36,5492.1,5493.51,5283.99,3980988,3109405216.0,3.96,3.74,197.94,0.0
380金融,000110,2016-08-15,5501.07,5669.59,5695.27,5495.66,6089062,4934348288.0,3.63,3.23,177.49,0.0
380金融,000110,2016-08-16,5668.39,5651.0,5692.7,5630.17,4074342,3464581136.0,1.1,-0.33,-18.59,0.0
380金融,000110,2016-08-17,5629.49,5635.31,5650.7,5592.97,3036777,2729389328.0,1.02,-0.28,-15.69,0.0
380金融,000110,2016-08-18,5627.65,5738.01,5880.41,5626.04,5553201,4787154432.0,4.51,1.82,102.7,0.0
380金融,000110,2016-08-19,5714.3,5703.87,5723.17,5654.12,3195862,2835576160.0,1.2,-0.59,-34.14,0.0
380金融,000110,2016-08-22,5692.96,5642.02,5718.47,5636.02,2931126,2649311952.0,1.45,-1.08,-61.85,0.0
380金融,000110,2016-08-23,5614.94,5628.55,5654.76,5593.8,1932241,1649922160.0,1.08,-0.24,-13.47,0.0
380金融,000110,2016-08-24,5641.61,5609.28,5684.84,5602.16,2301259,2125482144.0,1.47,-0.34,-19.27,0.0
380金融,000110,2016-08-25,5573.07,5567.97,5574.54,5493.21,2148502,1820267920.0,1.45,-0.74,-41.31,0.0
380金融,000110,2016-08-26,5571.58,5573.66,5614.09,5551.28,1915639,1737525552.0,1.13,0.1,5.69,0.0
380金融,000110,2016-08-29,5566.25,5561.64,5597.26,5548.7,1752432,1569489264.0,0.87,-0.22,-12.02,0.0
380金融,000110,2016-08-30,5557.46,5514.86,5557.46,5504.31,1925590,1726732336.0,0.96,-0.84,-46.78,0.0
380金融,000110,2016-08-31,5518.47,5560.87,5587.16,5497.8,2030879,1588848640.0,1.62,0.83,46.01,0.0
380金融,000110,2016-09-01,5558.42,5478.07,5559.74,5476.16,1950210,1672511552.0,1.5,-1.49,-82.8,0.0
380金融,000110,2016-09-02,5477.7,5461.02,5501.05,5429.29,1502800,1316935952.0,1.31,-0.31,-17.05,0.0
